,,,,Number of,Conditioned,,,LSC Margins,,Source Margin,Peak Cooling,Proposed Model Site Electric Use,,,,,,,,,,,,,,,Proposed Model Site Fuel Use,,,,,,Proposed Model LSC,,,,,,,,,,,,,,Proposed Model Source Energy,,,,,,,,,,,,Proposed Model Electric Demand,,,,,,,,,,,,,,Standard Model Site Electric Use,,,,,,,,,,,,Standard Model Site Fuel Use,,,,,Standard Model LSC,,,,,,,,,,,Standard Model Source Energy,,,,,,,,,,Standard Model Electric Demand,,,,,,,,,,,Software Versions,,,,Savings Results,,,,Calculated SSFs,,Compliance Total LSC Results By Fuel ($/ft2-yr),,,,Source Energy Results By Fuel (kBtu/ft2-yr),,,,Proposed PV Scaling,,,Self Utilization Credit,,HVAC Systems,,HVAC Total Capacities (kBtuh),,,,Proposed Model Site Electric CO2 Emissions,,,,,,,,,,,,,Proposed Model Site Fuel CO2 Emissions,,,,,Standard Model Site Electric CO2 Emissions,,,,,,,,,,Standard Model Site Fuel CO2 Emissions,,,,Proposed Model PV,,,,Standard Model PV,,,,Proposed Model Battery,,
,Project,,Climate,Dwelling,Area,,Pass /,Efficiency,Total,Total,Elec Margin,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,Self Util. Credit,PV,Battery,Flexibility,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Eff Total,PeakCool,Spc Heat,Wtr Heat,Flexibility,Appl & Cook,TOTAL Comp,Eff Total,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,Self Util. Credit,PV,Battery,Flexibility,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Eff Total,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,PV,Battery,Flexibility,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,Self Util. Credit,PV,Battery,Flexibility,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Eff Total,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,PV,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Eff Total,PeakCool,Spc Heat,Wtr Heat,Appl & Cook,TOTAL Comp,Eff Total,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,PV,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Eff Total,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,PV,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,PV,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Eff Total,Compliance,,End User,Fuel,Total Demand,Compliance Demand,Total LSC,Efficiency LSC,Proposed,Standard,Proposed Model,,Standard Model,,Proposed Model,,Standard Model,,Max PV,PV Scale,Scaled PV,LSC Margin,Battery,# Systems,# Equipment,Proposed Design,,Standard Design,,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,Self Util. Credit,PV,Battery,Flexibility,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Wtr Heat,Flexibility,Appl & Cook,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,PV,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Wtr Heat,Appl & Cook,TOTAL,Size,Generation,Export,Export,Size,Generation,Export,Export,Compliance Cap,Power,Control
Run Date/Time,Path/File,Run Title,Zone,Units,(ft2),Analysis Type,Fail,($/ft2-yr),($/ft2-yr),(kBtu/ft2-yr),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),Ruleset,CSE,Application,Type,(kW),(kW),(%),(%),(frac),(frac),Electric,Gas,Electric,Gas,Electric,Gas,Electric,Gas,Ratio,Factor,Total kW,($/ft2-yr),Ratio,(count),(count),Heating,Cooling,Heating,Cooling,(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kWdc),(kWh/yr),(kWh/yr),(%),(kWdc),(kWh/yr),(kWh/yr),(%),(kWh),(kW),
"2025-11-05 18:53:21","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W01R01.ribd25","",1,1,2100,"Proposed and Standard","PASS",0.00,0.00,4.07,n/a,3183.42,0,273.185,1694.77,0,-3765.72,0,0,505.557,886.681,2025.88,119.621,4923.4,5151.38,,0,0,0,43.1492,43.1492,0,11.68,0,0.87,5.49,0,-5.03,0,0,1.78,5.27,6.7,0.42,27.18,18.04,4.13,0,0.22,1.35,-0.85,0,0,0.5,2.54,1.76,0.12,9.77,0.708909,0,0.0311948,0.157683,0,-0.00625822,0,0,0.0586259,0.0827799,0.245105,0.0202483,1.29829,0.897787,3183.9,0,273.185,1694.77,-3765.72,505.557,886.681,2025.88,119.621,4923.88,5151.86,,0,0,43.1492,43.1492,0,11.68,0,0.87,5.49,-5.03,1.78,5.27,6.7,0.42,27.18,18.04,4.11,0,0.22,5.44,-0.85,0.5,2.54,1.76,0.12,13.84,0.709029,0,0.0311948,0.157683,-0.00625822,0.0586259,0.0827799,0.245105,0.0202483,1.29841,0.897907,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.000119924,0.000119919,,,,,18.04,0,18.04,0,5.7,0,4.39,5.38,1,1,2.9353,,,1,1,31.572,32.033,31.526,31.9857,918.903,0,49.2879,300.349,0,-284.722,0,0,110.404,150.091,391.385,27.6732,1663.37,0,0,0,252.315,252.315,459.525,0,24.644,150.174,-94.9074,55.2018,75.0455,195.692,13.8366,879.212,0,0,252.315,252.315,2.9353,3766.82,1852.19,49.1712,2.9353,3766.82,1852.19,49.1712,0,0,"",
"2025-11-05 18:54:14","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W01R02.ribd25","",2,1,2100,"Proposed and Standard","PASS",0.00,0.00,4.10,n/a,2025.03,0,276.719,1434.71,0,-3826.93,0,0,505.557,916.918,2025.88,119.621,3477.5,3736.46,,0,0,0,43.1492,43.1492,0,7.83,0,0.88,4.64,0,-5.03,0,0,1.77,5.36,6.7,0.42,22.57,13.35,2.97,0,0.22,1.17,-0.83,0,0,0.5,2.56,1.76,0.12,8.47,0.577072,0,0.0315984,0.143503,0,-0.0067231,0,0,0.0586259,0.0850344,0.245105,0.0202483,1.15446,0.752173,2025.86,0,276.719,1434.71,-3826.93,505.557,916.919,2025.88,119.621,3478.33,3737.28,,0,0,43.1492,43.1492,0,7.83,0,0.88,4.64,-5.03,1.77,5.36,6.7,0.42,22.57,13.35,2.95,0,0.22,5.29,-0.83,0.5,2.56,1.76,0.12,12.57,0.577327,0,0.0315984,0.143503,-0.0067231,0.0586259,0.0850343,0.245105,0.0202483,1.15472,0.752428,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.000255393,0.000255405,,,,,13.35,0,13.35,0,4.36,0,3.23,5.23,1,1,2.5241,,,1,1,33.255,33.75,33.0957,33.5874,660.785,0,49.9256,259.699,0,-276.538,0,0,110.404,154.518,391.385,27.6732,1377.85,0,0,0,252.315,252.315,330.532,0,24.9628,129.849,-92.1793,55.2018,77.2588,195.692,13.8366,735.155,0,0,252.315,252.315,2.5241,3828.05,1919.24,50.1363,2.5241,3828.05,1919.24,50.1362,0,0,"",
"2025-11-05 18:55:07","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W01R03.ribd25","",3,1,2100,"Proposed and Standard","PASS",0.00,0.00,4.14,n/a,1143.11,0,276.719,1340.55,0,-3853.61,0,0,505.557,915.097,2025.88,119.621,2472.93,2760.38,,0,0,0,43.1492,43.1492,0,4.75,0,0.88,4.3,0,-4.98,0,0,1.79,5.35,6.7,0.42,19.21,9.93,1.86,0,0.22,1.06,-0.88,0,0,0.5,2.56,1.76,0.12,7.2,0.455993,0,0.0315984,0.125685,0,-0.00732401,0,0,0.0586259,0.0854441,0.245105,0.0202483,1.01537,0.613276,1143.24,0,276.719,1340.55,-3853.61,505.557,915.097,2025.88,119.621,2473.05,2760.5,,0,0,43.1492,43.1492,0,4.75,0,0.88,4.3,-4.98,1.79,5.35,6.7,0.42,19.21,9.93,1.84,0,0.22,5.22,-0.88,0.5,2.56,1.76,0.12,11.34,0.456045,0,0.0315984,0.125685,-0.00732401,0.0586259,0.0854441,0.245105,0.0202483,1.01543,0.613328,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",5.20755e-05,5.20695e-05,,,,,9.93,0,9.93,0,3.14,0,2.12,5.16,1,1,2.4388,,,1,1,26.389,26.743,26.3678,26.7222,414.167,0,49.9256,234.544,0,-294.595,0,0,110.404,154.828,391.385,27.6732,1088.33,0,0,0,252.315,252.315,207.107,0,24.9628,117.272,-98.1983,55.2018,77.4141,195.692,13.8366,593.288,0,0,252.315,252.315,2.4388,3854.73,1987.51,51.5603,2.4388,3854.73,1987.51,51.5604,0,0,"",
"2025-11-05 18:56:01","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W01R04.ribd25","",4,1,2100,"Proposed and Standard","PASS",0.00,0.00,3.93,13,1640.42,115.637,277.42,1308.78,0,-4070.87,0,0,505.557,939.075,2025.88,119.621,2861.53,3342.26,67.8847,0,0,0,43.1492,43.1492,0,6.26,0.45,0.89,4.17,0,-5.42,0,0,1.76,5.44,6.66,0.42,20.63,11.77,2.49,0.07,0.23,1.09,-0.97,0,0,0.5,2.57,1.76,0.12,7.86,0.554151,0,0.0316784,0.14335,0,-0.0104123,0,0,0.0586259,0.0865783,0.245105,0.0202483,1.12932,0.72918,1640.51,115.652,277.42,1308.78,-4070.87,505.557,939.075,2025.88,119.621,2861.63,3342.36,67.8945,0,0,43.1492,43.1492,0,6.26,0.45,0.89,4.17,-5.42,1.76,5.44,6.66,0.42,20.63,11.77,2.47,0.07,0.23,5.04,-0.97,0.5,2.57,1.76,0.12,11.79,0.554192,0,0.0316784,0.143352,-0.0104123,0.0586259,0.0865783,0.245105,0.0202483,1.12937,0.729222,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",4.21414e-05,4.21299e-05,,,,,11.77,0,11.77,0,3.88,0,2.83,4.98,1,1,2.4406,,,1,1,22.971,23.256,22.9422,23.2267,552.927,15.0205,50.052,241.879,0,-323.601,0,0,110.404,157.59,391.385,27.6732,1223.33,0,0,0,252.315,252.315,276.479,7.51123,25.026,120.94,-107.867,55.2018,78.7949,195.692,13.8366,665.615,0,0,252.315,252.315,2.4406,4072.06,2054.29,50.4483,2.4406,4072.06,2054.29,50.4484,0,0,"",
"2025-11-05 18:56:57","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W01R05.ribd25","",5,1,2100,"Proposed and Standard","PASS",0.00,0.00,4.18,n/a,1005.81,0,275.223,1350.46,0,-3778.39,0,0,505.557,916.22,2025.88,119.621,2420.37,2631.49,,0,0,0,43.1492,43.1492,0,3.92,0,0.88,4.31,0,-5.12,0,0,1.78,5.35,6.7,0.42,18.24,9.11,1.6,0,0.22,1.05,-0.94,0,0,0.5,2.56,1.76,0.12,6.87,0.379476,0,0.0314275,0.12667,0,-0.0109659,0,0,0.0586259,0.0854399,0.245105,0.0202483,0.936027,0.537574,1006.03,0,275.223,1350.46,-3778.39,505.557,916.22,2025.88,119.621,2420.6,2631.71,,0,0,43.1492,43.1492,0,3.92,0,0.88,4.31,-5.12,1.78,5.35,6.7,0.42,18.24,9.11,1.58,0,0.22,5.25,-0.94,0.5,2.56,1.76,0.12,11.05,0.379555,0,0.0314275,0.12667,-0.0109659,0.0586259,0.0854399,0.245105,0.0202483,0.936106,0.537653,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",7.9527e-05,7.9488e-05,,,,,9.11,0,9.11,0,2.87,0,1.86,5.19,1,1,2.2885,,,1,1,29.503,29.921,29.4486,29.8659,356.252,0,49.6556,233.974,0,-314.99,0,0,110.404,155.291,391.385,27.6732,1009.64,0,0,0,252.315,252.315,178.166,0,24.8278,116.987,-104.997,55.2018,77.6456,195.692,13.8366,557.361,0,0,252.315,252.315,2.2885,3779.5,1890.67,50.0244,2.2885,3779.5,1890.67,50.0244,0,0,"",
"2025-11-05 18:57:53","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W01R06.ribd25","",6,1,2100,"Proposed and Standard","PASS",0.00,0.00,3.91,n/a,298.802,40.0001,280.199,1024.38,0,-4161.79,0,0,505.557,953.801,2025.88,119.621,1086.45,1643.38,17.1996,0,0,0,43.1492,43.1492,0,1.2,0.17,0.9,3.23,0,-5.34,0,0,1.74,5.48,6.66,0.42,14.46,5.5,0.56,0.03,0.23,0.79,-1.06,0,0,0.5,2.58,1.76,0.12,5.51,0.103769,0.00414217,0.0319958,0.100149,0,-0.0137137,0,0,0.0586259,0.0902141,0.245105,0.0202483,0.640535,0.240056,299.113,40.0549,280.199,1024.38,-4161.79,505.557,953.801,2025.88,119.621,1086.82,1643.74,17.2236,0,0,43.1492,43.1492,0,1.2,0.17,0.9,3.23,-5.34,1.74,5.48,6.66,0.42,14.46,5.5,0.55,0.03,0.23,4.71,-1.06,0.5,2.58,1.76,0.12,9.42,0.103879,0.00414206,0.0319958,0.100149,-0.0137137,0.0586259,0.0902141,0.245105,0.0202483,0.640645,0.240166,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.000109901,0.000109884,,,,,5.5,0,5.5,0,1.61,0,0.87,4.65,1,1,2.4774,,,1,1,28.103,28.493,27.8703,28.2554,124.596,6.07797,50.5535,174.762,0,-353.665,0,0,110.404,161.809,391.385,27.6732,693.595,0,0,0,252.315,252.315,62.3629,3.04268,25.2768,87.3811,-117.888,55.2018,80.9046,195.692,13.8366,405.811,0,0,252.315,252.315,2.4774,4163.01,2253.65,54.1351,2.4774,4163.01,2253.63,54.1346,0,0,"",
"2025-11-05 18:58:50","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W01R07.ribd25","",7,1,2100,"Proposed and Standard","PASS",0.00,0.00,3.86,n/a,242.586,101.579,279.635,995.452,0,-3737.19,0,0,505.557,962.623,2025.88,119.621,1495.75,1619.25,49.8029,0,0,0,43.1492,43.1492,0,0.84,0.54,0.89,3.12,0,-4.89,0,0,1.8,5.55,6.71,0.42,14.98,5.39,0.41,0.07,0.23,0.77,-1,0,0,0.5,2.57,1.76,0.12,5.43,0.0506859,0.00526871,0.0319313,0.0970014,0,-0.0134549,0,0,0.0586259,0.0911628,0.245105,0.0202483,0.586574,0.184887,242.696,101.637,279.635,995.452,-3737.19,505.557,962.623,2025.88,119.621,1495.91,1619.42,49.8345,0,0,43.1492,43.1492,0,0.84,0.54,0.89,3.12,-4.89,1.8,5.55,6.71,0.42,14.98,5.39,0.39,0.07,0.23,4.64,-1,0.5,2.58,1.76,0.12,9.29,0.0507113,0.00526797,0.0319313,0.0970014,-0.0134549,0.0586259,0.0911628,0.245105,0.0202483,0.586599,0.184912,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",2.46416e-05,2.46497e-05,,,,,5.39,0,5.39,0,1.48,0,0.75,4.58,1,1,2.3512,,,1,1,28.53,28.929,28.4272,28.8237,90.4309,14.7549,50.4516,170.167,0,-333.601,0,0,110.404,163.267,391.385,27.6732,684.932,0,0,0,252.315,252.315,45.2361,7.38107,25.2258,85.0837,-111.2,55.2018,81.6333,195.692,13.8366,398.091,0,0,252.315,252.315,2.3512,3738.28,1868.69,49.9878,2.3512,3738.28,1868.67,49.9875,0,0,"",
"2025-11-05 18:59:50","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W01R08.ribd25","",8,1,2100,"Proposed and Standard","PASS",0.00,0.00,3.77,35,283.226,452.674,280.731,950.617,0,-4216.05,0,0,505.557,975.515,2025.88,119.621,1377.77,1967.25,174.849,0,0,0,43.1492,43.1492,0,1.15,1.52,0.9,2.99,0,-5.55,0,0,1.73,5.54,6.63,0.42,15.33,6.56,0.53,0.27,0.23,0.75,-1.06,0,0,0.5,2.59,1.76,0.12,5.69,0.109568,0.0202008,0.0320565,0.0966264,0,-0.0136254,0,0,0.0586259,0.0909087,0.245105,0.0202483,0.659714,0.258451,283.309,452.763,280.731,950.617,-4216.05,505.557,975.515,2025.88,119.621,1377.94,1967.42,174.905,0,0,43.1492,43.1492,0,1.15,1.52,0.9,2.99,-5.55,1.73,5.54,6.63,0.42,15.33,6.56,0.52,0.27,0.23,4.53,-1.06,0.5,2.59,1.76,0.12,9.46,0.109603,0.0201983,0.0320565,0.0966264,-0.0136254,0.0586259,0.0909088,0.245105,0.0202483,0.659746,0.258484,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",3.26046e-05,3.25645e-05,,,,,6.56,0,6.56,0,1.78,0,1.08,4.47,1,1,2.6006,,,1,1,24.353,24.666,24.2406,24.5516,118.705,59.9254,50.6494,167.005,0,-354.899,0,0,110.404,164.201,391.385,27.6732,735.049,0,0,0,252.315,252.315,59.3701,29.9675,25.3247,83.5027,-118.3,55.2018,82.1007,195.692,13.8366,426.697,0,0,252.315,252.315,2.6006,4217.29,2214.78,52.5168,2.6006,4217.29,2214.77,52.5164,0,0,"",
"2025-11-05 19:00:47","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W01R09.ribd25","",9,1,2100,"Proposed and Standard","PASS",0.00,0.00,3.80,35,436.213,459.604,279.34,976.201,0,-4460.36,0,0,505.557,967.718,2025.88,119.621,1309.77,2151.36,173.737,0,0,0,43.1492,43.1492,0,1.76,1.57,0.89,3.07,0,-5.78,0,0,1.72,5.51,6.63,0.42,15.79,7.29,0.81,0.27,0.23,0.78,-1.11,0,0,0.5,2.58,1.76,0.12,5.94,0.163894,0.0195626,0.0318976,0.0984047,0,-0.016141,0,0,0.0586259,0.0902984,0.245105,0.0202483,0.711895,0.313759,436.271,459.656,279.34,976.201,-4460.36,505.557,967.718,2025.88,119.621,1309.88,2151.47,173.769,0,0,43.1492,43.1492,0,1.76,1.57,0.89,3.07,-5.78,1.72,5.51,6.63,0.42,15.79,7.29,0.8,0.27,0.23,4.58,-1.11,0.5,2.59,1.76,0.12,9.74,0.163922,0.0195619,0.0318976,0.0984047,-0.016141,0.0586259,0.0902984,0.245105,0.0202483,0.711923,0.313786,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",2.7506e-05,2.74724e-05,,,,,7.29,0,7.29,0,2.09,0,1.36,4.52,1,1,2.6473,,,1,1,24.103,24.411,24.0436,24.3507,180.192,59.878,50.3984,172.636,0,-371.354,0,0,110.404,162.925,391.385,27.6732,784.137,0,0,0,252.315,252.315,90.1082,29.942,25.1992,86.3182,-123.785,55.2018,81.4623,195.692,13.8366,453.976,0,0,252.315,252.315,2.6473,4461.67,2381.95,53.3869,2.6473,4461.67,2381.94,53.3867,0,0,"",
"2025-11-05 19:01:42","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W01R10.ribd25","",10,1,2100,"Proposed and Standard","PASS",0.00,0.00,3.72,53,453.278,704.25,278.413,957.676,0,-4566.66,0,0,505.557,972.658,2025.88,119.621,1450.67,2393.62,266.144,0,0,0,43.1492,43.1492,0,1.84,2.25,0.89,3.02,0,-6.05,0,0,1.73,5.53,6.63,0.42,16.26,8,0.81,0.36,0.23,0.77,-1.14,0,0,0.5,2.59,1.76,0.12,6,0.192692,0.0211647,0.0317918,0.0998995,0,-0.0172325,0,0,0.0586259,0.0902856,0.245105,0.0202483,0.74258,0.345548,453.371,704.358,278.413,957.676,-4566.66,505.557,972.658,2025.88,119.621,1450.87,2393.82,266.201,0,0,43.1492,43.1492,0,1.84,2.25,0.89,3.02,-6.05,1.73,5.53,6.63,0.42,16.26,8,0.8,0.36,0.23,4.5,-1.14,0.5,2.59,1.76,0.12,9.72,0.192739,0.021164,0.0317918,0.0998994,-0.0172325,0.0586259,0.0902857,0.245105,0.0202483,0.742626,0.345594,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",4.58091e-05,4.57856e-05,,,,,8,0,8,0,2.17,0,1.45,4.44,1,1,2.7267,,,1,1,26.033,26.381,25.9345,26.2801,181.058,79.9934,50.2312,170.833,0,-380.364,0,0,110.404,163.401,391.385,27.6732,794.614,0,0,0,252.315,252.315,90.5483,40.0017,25.1156,85.4165,-126.788,55.2018,81.7004,195.692,13.8366,460.725,0,0,252.315,252.315,2.7267,4568,2380.24,52.1068,2.7267,4568,2380.22,52.1063,0,0,"",
