;  2025 CBECC Climate Zone (weather) Run Set,,,,,,
; CBECC Batch Processing - Run Set Definitions,,,,,,
;,,,,,,
1,; Batch Run Set Format Version ID,,,,,
;,,,,,,
;  Run Set Description,,,,,,
Run each T24N project in every CZ w/ CZ appended to output filename (last updated 11/18/20),,,,,,
;,,,,,,
;,,,,,,
;,Run Set Table Key:,,,,,
;,A,"used to describe which file(s), residing in the batch Input directory (& subdirectories), that are to be processed",,,,
;,,with data described on this row of the run set table. For example:,,,,
;,,*,processes ALL input files using this run set row,,,
;,,<specific filename>,processes only the input files with this name,,,
;,,XYZ*,"Processes all input files whose names begin with ""XYZ"" (case insensistive)",,,
;,B,used to identify a specific subdirectory used to process & save the output batch runs to (for this run set row),,,,
;,,(leaving blank means Output project files will be stored in the main Output directory specified in the batch inputs),,,,
;,C,used to specify the output batch run filename (for this run set row),,,,
;,,"when beginning w/ ellipsis ('…'), the text specified will be APPENDED to the default output filename",,,,
;,,(leaving blank means Output project files will be the same as the Input files specified in the batch inputs),,,,
;,,Note:  If BOTH B & C columns are left blank then output projects will overwrite each other anytime multiple,,,,
;,,                  input files are processed for a run set row,,,,
;,D - XX,"Data (numeric, strings or left blank) that feed into the changes made to each model processed for this run set",,,,
;,,row (as referenced in AnalysisAction table below),,,,
;,,,,,,
;,Run Set Table,,,,,
;  Input File(s),Output,Append to,,,,
;     (incl. *),Subdirectory,Filename,Proj:RunTitle,Proj:CliZn,Proj:WeatherStation,
InputFN,OutSubdir,AppendOutFN,RunTitle,CZ,Weather,;   <<-- Column titles referenced in 'Run Set Table Column' of AnalysisAction table below
*,,...-CZ1-CALIFORNIA REDWOOD COAST,CZ1-CALIFORNIA REDWOOD COAST,ClimateZone1,CALIFORNIA REDWOOD COAST,
*,,...-CZ1-CRESCENT CITY DEL NORTE,CZ1-CRESCENT CITY DEL NORTE,ClimateZone1,CRESCENT CITY DEL NORTE,
*,,...-CZ1-WOODLEY ISLAND,CZ1-WOODLEY ISLAND,ClimateZone1,WOODLEY ISLAND,
*,,...-CZ2-NAPA COUNTY AP,CZ2-NAPA COUNTY AP,ClimateZone2,NAPA COUNTY AP,
*,,...-CZ2-SONOMA COUNTY AP,CZ2-SONOMA COUNTY AP,ClimateZone2,SONOMA COUNTY AP,
*,,...-CZ2-UKIAH,CZ2-UKIAH,ClimateZone2,UKIAH,
*,,...-CZ3-HAYWARD,CZ3-HAYWARD,ClimateZone3,HAYWARD,
*,,...-CZ3-MONTEREY,CZ3-MONTEREY,ClimateZone3,MONTEREY,
*,,...-CZ3-OAKLAND INTL,CZ3-OAKLAND INTL,ClimateZone3,OAKLAND INTL,
*,,...-CZ3-SALINAS,CZ3-SALINAS,ClimateZone3,SALINAS,
*,,...-CZ3-SAN FRANCISCO INTL,CZ3-SAN FRANCISCO INTL,ClimateZone3,SAN FRANCISCO INTL,
*,,...-CZ3-WATSONVILLE,CZ3-WATSONVILLE,ClimateZone3,WATSONVILLE,
