; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV CARBON ONLY,,,,,,,,,,,,,,,,
; MoDaHr,CZ1 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ2 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ3 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ4 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ5 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ6 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ7 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ8 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ9 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ10 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ11 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ12 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ13 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ14 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ15 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ16 Electricity Long-Run Carbon Emission Factors (ton/MWh)
10101,0.2520238,0.2520238,0.2520238,0.2520238,0.2520238,0.2500871,0.2500871,0.2500871,0.2500871,0.2500871,0.2520238,0.2520238,0.2520238,0.2500871,0.2500871,0.2500871
10102,0.232414689,0.232414689,0.232414689,0.232414689,0.232414689,0.217451444,0.217451444,0.217451444,0.217451444,0.217451444,0.232414689,0.232414689,0.232414689,0.217451444,0.217451444,0.217451444
10103,0.229260162,0.229260162,0.229260162,0.229260162,0.229260162,0.213987504,0.213987504,0.213987504,0.213987504,0.213987504,0.229260162,0.229260162,0.229260162,0.213987504,0.213987504,0.213987504
10104,0.228362089,0.228362089,0.228362089,0.228362089,0.228362089,0.213382321,0.213382321,0.213382321,0.213382321,0.213382321,0.228362089,0.228362089,0.228362089,0.213382321,0.213382321,0.213382321
10105,0.235335126,0.235335126,0.235335126,0.235335126,0.235335126,0.220435264,0.220435264,0.220435264,0.220435264,0.220435264,0.235335126,0.235335126,0.235335126,0.220435264,0.220435264,0.220435264
10106,0.25417873,0.25417873,0.25417873,0.25417873,0.25417873,0.252651157,0.252651157,0.252651157,0.252651157,0.252651157,0.25417873,0.25417873,0.25417873,0.252651157,0.252651157,0.252651157
10107,0.257378033,0.257378033,0.257378033,0.257378033,0.257378033,0.261531356,0.261531356,0.261531356,0.261531356,0.261531356,0.257378033,0.257378033,0.257378033,0.261531356,0.261531356,0.261531356
10108,0.257395141,0.257395141,0.257395141,0.257395141,0.257395141,0.261606755,0.261606755,0.261606755,0.261606755,0.261606755,0.257395141,0.257395141,0.257395141,0.261606755,0.261606755,0.261606755
10109,0.252098885,0.252098885,0.252098885,0.252098885,0.252098885,0.249651387,0.249651387,0.249651387,0.249651387,0.249651387,0.252098885,0.252098885,0.252098885,0.249651387,0.249651387,0.249651387
10110,0.063675867,0.063675867,0.063675867,0.063675867,0.063675867,0.039230815,0.039230815,0.039230815,0.039230815,0.039230815,0.063675867,0.063675867,0.063675867,0.039230815,0.039230815,0.039230815
10111,0.063261733,0.063261733,0.063261733,0.063261733,0.063261733,0.027961128,0.027961128,0.027961128,0.027961128,0.027961128,0.063261733,0.063261733,0.063261733,0.027961128,0.027961128,0.027961128
10112,0.063261976,0.063261976,0.063261976,0.063261976,0.063261976,0.027981442,0.027981442,0.027981442,0.027981442,0.027981442,0.063261976,0.063261976,0.063261976,0.027981442,0.027981442,0.027981442
10113,0.062954359,0.062954359,0.062954359,0.062954359,0.062954359,0.028092777,0.028092777,0.028092777,0.028092777,0.028092777,0.062954359,0.062954359,0.062954359,0.028092777,0.028092777,0.028092777
10114,0.062421623,0.062421623,0.062421623,0.062421623,0.062421623,0.014613171,0.014613171,0.014613171,0.014613171,0.014613171,0.062421623,0.062421623,0.062421623,0.014613171,0.014613171,0.014613171
10115,0.062503445,0.062503445,0.062503445,0.062503445,0.062503445,0.028066128,0.028066128,0.028066128,0.028066128,0.028066128,0.062503445,0.062503445,0.062503445,0.028066128,0.028066128,0.028066128
10116,0.248913726,0.248913726,0.248913726,0.248913726,0.248913726,0.247464404,0.247464404,0.247464404,0.247464404,0.247464404,0.248913726,0.248913726,0.248913726,0.247464404,0.247464404,0.247464404
10117,0.258065465,0.258065465,0.258065465,0.258065465,0.258065465,0.261977364,0.261977364,0.261977364,0.261977364,0.261977364,0.258065465,0.258065465,0.258065465,0.261977364,0.261977364,0.261977364
10118,0.258542826,0.258542826,0.258542826,0.258542826,0.258542826,0.265722384,0.265722384,0.265722384,0.265722384,0.265722384,0.258542826,0.258542826,0.258542826,0.265722384,0.265722384,0.265722384
10119,0.258565159,0.258565159,0.258565159,0.258565159,0.258565159,0.269544212,0.269544212,0.269544212,0.269544212,0.269544212,0.258565159,0.258565159,0.258565159,0.269544212,0.269544212,0.269544212
10120,0.258562832,0.258562832,0.258562832,0.258562832,0.258562832,0.27002979,0.27002979,0.27002979,0.27002979,0.27002979,0.258562832,0.258562832,0.258562832,0.27002979,0.27002979,0.27002979
10121,0.25858581,0.25858581,0.25858581,0.25858581,0.25858581,0.268921287,0.268921287,0.268921287,0.268921287,0.268921287,0.25858581,0.25858581,0.25858581,0.268921287,0.268921287,0.268921287
10122,0.258578977,0.258578977,0.258578977,0.258578977,0.258578977,0.265056491,0.265056491,0.265056491,0.265056491,0.265056491,0.258578977,0.258578977,0.258578977,0.265056491,0.265056491,0.265056491
10123,0.255888359,0.255888359,0.255888359,0.255888359,0.255888359,0.255979741,0.255979741,0.255979741,0.255979741,0.255979741,0.255888359,0.255888359,0.255888359,0.255979741,0.255979741,0.255979741
10124,0.253060255,0.253060255,0.253060255,0.253060255,0.253060255,0.250178543,0.250178543,0.250178543,0.250178543,0.250178543,0.253060255,0.253060255,0.253060255,0.250178543,0.250178543,0.250178543
10201,0.233136198,0.233136198,0.233136198,0.233136198,0.233136198,0.217633827,0.217633827,0.217633827,0.217633827,0.217633827,0.233136198,0.233136198,0.233136198,0.217633827,0.217633827,0.217633827
10202,0.215418798,0.215418798,0.215418798,0.215418798,0.215418798,0.197730213,0.197730213,0.197730213,0.197730213,0.197730213,0.215418798,0.215418798,0.215418798,0.197730213,0.197730213,0.197730213
10203,0.214167518,0.214167518,0.214167518,0.214167518,0.214167518,0.196292485,0.196292485,0.196292485,0.196292485,0.196292485,0.214167518,0.214167518,0.214167518,0.196292485,0.196292485,0.196292485
10204,0.214953521,0.214953521,0.214953521,0.214953521,0.214953521,0.187147151,0.187147151,0.187147151,0.187147151,0.187147151,0.214953521,0.214953521,0.214953521,0.187147151,0.187147151,0.187147151
10205,0.229342613,0.229342613,0.229342613,0.229342613,0.229342613,0.200646317,0.200646317,0.200646317,0.200646317,0.200646317,0.229342613,0.229342613,0.229342613,0.200646317,0.200646317,0.200646317
10206,0.237802229,0.237802229,0.237802229,0.237802229,0.237802229,0.222524208,0.222524208,0.222524208,0.222524208,0.222524208,0.237802229,0.237802229,0.237802229,0.222524208,0.222524208,0.222524208
10207,0.239195429,0.239195429,0.239195429,0.239195429,0.239195429,0.24151761,0.24151761,0.24151761,0.24151761,0.24151761,0.239195429,0.239195429,0.239195429,0.24151761,0.24151761,0.24151761
10208,0.239533952,0.239533952,0.239533952,0.239533952,0.239533952,0.241725858,0.241725858,0.241725858,0.241725858,0.241725858,0.239533952,0.239533952,0.239533952,0.241725858,0.241725858,0.241725858
10209,0.237764288,0.237764288,0.237764288,0.237764288,0.237764288,0.223480138,0.223480138,0.223480138,0.223480138,0.223480138,0.237764288,0.237764288,0.237764288,0.223480138,0.223480138,0.223480138
10210,0.225749529,0.225749529,0.225749529,0.225749529,0.225749529,0.206209817,0.206209817,0.206209817,0.206209817,0.206209817,0.225749529,0.225749529,0.225749529,0.206209817,0.206209817,0.206209817
10211,0.225735494,0.225735494,0.225735494,0.225735494,0.225735494,0.054029553,0.054029553,0.054029553,0.054029553,0.054029553,0.225735494,0.225735494,0.225735494,0.054029553,0.054029553,0.054029553
10212,0.225784709,0.225784709,0.225784709,0.225784709,0.225784709,0.210809082,0.210809082,0.210809082,0.210809082,0.210809082,0.225784709,0.225784709,0.225784709,0.210809082,0.210809082,0.210809082
10213,0.225889323,0.225889323,0.225889323,0.225889323,0.225889323,0.210870862,0.210870862,0.210870862,0.210870862,0.210870862,0.225889323,0.225889323,0.225889323,0.210870862,0.210870862,0.210870862
10214,0.225780519,0.225780519,0.225780519,0.225780519,0.225780519,0.054032433,0.054032433,0.054032433,0.054032433,0.054032433,0.225780519,0.225780519,0.225780519,0.054032433,0.054032433,0.054032433
10215,0.225752564,0.225752564,0.225752564,0.225752564,0.225752564,0.21159572,0.21159572,0.21159572,0.21159572,0.21159572,0.225752564,0.225752564,0.225752564,0.21159572,0.21159572,0.21159572
10216,0.238849857,0.238849857,0.238849857,0.238849857,0.238849857,0.236475669,0.236475669,0.236475669,0.236475669,0.236475669,0.238849857,0.238849857,0.238849857,0.236475669,0.236475669,0.236475669
10217,0.240977906,0.240977906,0.240977906,0.240977906,0.240977906,0.244173794,0.244173794,0.244173794,0.244173794,0.244173794,0.240977906,0.240977906,0.240977906,0.244173794,0.244173794,0.244173794
10218,0.249797544,0.249797544,0.249797544,0.249797544,0.249797544,0.255513549,0.255513549,0.255513549,0.255513549,0.255513549,0.249797544,0.249797544,0.249797544,0.255513549,0.255513549,0.255513549
10219,0.249820455,0.249820455,0.249820455,0.249820455,0.249820455,0.261740881,0.261740881,0.261740881,0.261740881,0.261740881,0.249820455,0.249820455,0.249820455,0.261740881,0.261740881,0.261740881
10220,0.249812789,0.249812789,0.249812789,0.249812789,0.249812789,0.260896891,0.260896891,0.260896891,0.260896891,0.260896891,0.249812789,0.249812789,0.249812789,0.260896891,0.260896891,0.260896891
10221,0.249837157,0.249837157,0.249837157,0.249837157,0.249837157,0.257814612,0.257814612,0.257814612,0.257814612,0.257814612,0.249837157,0.249837157,0.249837157,0.257814612,0.257814612,0.257814612
10222,0.242092449,0.242092449,0.242092449,0.242092449,0.242092449,0.24587533,0.24587533,0.24587533,0.24587533,0.24587533,0.242092449,0.242092449,0.242092449,0.24587533,0.24587533,0.24587533
10223,0.241063694,0.241063694,0.241063694,0.241063694,0.241063694,0.242904195,0.242904195,0.242904195,0.242904195,0.242904195,0.241063694,0.241063694,0.241063694,0.242904195,0.242904195,0.242904195
10224,0.239360692,0.239360692,0.239360692,0.239360692,0.239360692,0.234887897,0.234887897,0.234887897,0.234887897,0.234887897,0.239360692,0.239360692,0.239360692,0.234887897,0.234887897,0.234887897
10301,0.239604498,0.239604498,0.239604498,0.239604498,0.239604498,0.223310632,0.223310632,0.223310632,0.223310632,0.223310632,0.239604498,0.239604498,0.239604498,0.223310632,0.223310632,0.223310632
10302,0.221214268,0.221214268,0.221214268,0.221214268,0.221214268,0.203035749,0.203035749,0.203035749,0.203035749,0.203035749,0.221214268,0.221214268,0.221214268,0.203035749,0.203035749,0.203035749
10303,0.215596613,0.215596613,0.215596613,0.215596613,0.215596613,0.198030468,0.198030468,0.198030468,0.198030468,0.198030468,0.215596613,0.215596613,0.215596613,0.198030468,0.198030468,0.198030468
10304,0.212829106,0.212829106,0.212829106,0.212829106,0.212829106,0.048721212,0.048721212,0.048721212,0.048721212,0.048721212,0.212829106,0.212829106,0.212829106,0.048721212,0.048721212,0.048721212
10305,0.225329924,0.225329924,0.225329924,0.225329924,0.225329924,0.049593735,0.049593735,0.049593735,0.049593735,0.049593735,0.225329924,0.225329924,0.225329924,0.049593735,0.049593735,0.049593735
10306,0.236400631,0.236400631,0.236400631,0.236400631,0.236400631,0.219409724,0.219409724,0.219409724,0.219409724,0.219409724,0.236400631,0.236400631,0.236400631,0.219409724,0.219409724,0.219409724
10307,0.249990983,0.249990983,0.249990983,0.249990983,0.249990983,0.246115082,0.246115082,0.246115082,0.246115082,0.246115082,0.249990983,0.249990983,0.249990983,0.246115082,0.246115082,0.246115082
10308,0.258050708,0.258050708,0.258050708,0.258050708,0.258050708,0.254941124,0.254941124,0.254941124,0.254941124,0.254941124,0.258050708,0.258050708,0.258050708,0.254941124,0.254941124,0.254941124
10309,0.244616384,0.244616384,0.244616384,0.244616384,0.244616384,0.222504276,0.222504276,0.222504276,0.222504276,0.222504276,0.244616384,0.244616384,0.244616384,0.222504276,0.222504276,0.222504276
10310,0.215336091,0.215336091,0.215336091,0.215336091,0.215336091,0.063973307,0.063973307,0.063973307,0.063973307,0.063973307,0.215336091,0.215336091,0.215336091,0.063973307,0.063973307,0.063973307
10311,0.214646468,0.214646468,0.214646468,0.214646468,0.214646468,0.062879489,0.062879489,0.062879489,0.062879489,0.062879489,0.214646468,0.214646468,0.214646468,0.062879489,0.062879489,0.062879489
10312,0.06539314,0.06539314,0.06539314,0.06539314,0.06539314,0.052604631,0.052604631,0.052604631,0.052604631,0.052604631,0.06539314,0.06539314,0.06539314,0.052604631,0.052604631,0.052604631
10313,0.065920634,0.065920634,0.065920634,0.065920634,0.065920634,0.053097604,0.053097604,0.053097604,0.053097604,0.053097604,0.065920634,0.065920634,0.065920634,0.053097604,0.053097604,0.053097604
10314,0.214264156,0.214264156,0.214264156,0.214264156,0.214264156,0.039534184,0.039534184,0.039534184,0.039534184,0.039534184,0.214264156,0.214264156,0.214264156,0.039534184,0.039534184,0.039534184
10315,0.214550844,0.214550844,0.214550844,0.214550844,0.214550844,0.052504059,0.052504059,0.052504059,0.052504059,0.052504059,0.214550844,0.214550844,0.214550844,0.052504059,0.052504059,0.052504059
10316,0.237841538,0.237841538,0.237841538,0.237841538,0.237841538,0.232164572,0.232164572,0.232164572,0.232164572,0.232164572,0.237841538,0.237841538,0.237841538,0.232164572,0.232164572,0.232164572
10317,0.262019684,0.262019684,0.262019684,0.262019684,0.262019684,0.262091696,0.262091696,0.262091696,0.262091696,0.262091696,0.262019684,0.262019684,0.262019684,0.262091696,0.262091696,0.262091696
10318,0.262033311,0.262033311,0.262033311,0.262033311,0.262033311,0.266702881,0.266702881,0.266702881,0.266702881,0.266702881,0.262033311,0.262033311,0.262033311,0.266702881,0.266702881,0.266702881
10319,0.262059821,0.262059821,0.262059821,0.262059821,0.262059821,0.26856218,0.26856218,0.26856218,0.26856218,0.26856218,0.262059821,0.262059821,0.262059821,0.26856218,0.26856218,0.26856218
10320,0.262063738,0.262063738,0.262063738,0.262063738,0.262063738,0.268683749,0.268683749,0.268683749,0.268683749,0.268683749,0.262063738,0.262063738,0.262063738,0.268683749,0.268683749,0.268683749
10321,0.262091959,0.262091959,0.262091959,0.262091959,0.262091959,0.268485226,0.268485226,0.268485226,0.268485226,0.268485226,0.262091959,0.262091959,0.262091959,0.268485226,0.268485226,0.268485226
10322,0.262117583,0.262117583,0.262117583,0.262117583,0.262117583,0.266524778,0.266524778,0.266524778,0.266524778,0.266524778,0.262117583,0.262117583,0.262117583,0.266524778,0.266524778,0.266524778
10323,0.261928138,0.261928138,0.261928138,0.261928138,0.261928138,0.264099016,0.264099016,0.264099016,0.264099016,0.264099016,0.261928138,0.261928138,0.261928138,0.264099016,0.264099016,0.264099016
10324,0.260512383,0.260512383,0.260512383,0.260512383,0.260512383,0.258683785,0.258683785,0.258683785,0.258683785,0.258683785,0.260512383,0.260512383,0.260512383,0.258683785,0.258683785,0.258683785
10401,0.243771669,0.243771669,0.243771669,0.243771669,0.243771669,0.240141072,0.240141072,0.240141072,0.240141072,0.240141072,0.243771669,0.243771669,0.243771669,0.240141072,0.240141072,0.240141072
10402,0.224968335,0.224968335,0.224968335,0.224968335,0.224968335,0.208026385,0.208026385,0.208026385,0.208026385,0.208026385,0.224968335,0.224968335,0.224968335,0.208026385,0.208026385,0.208026385
10403,0.221989392,0.221989392,0.221989392,0.221989392,0.221989392,0.20491715,0.20491715,0.20491715,0.20491715,0.20491715,0.221989392,0.221989392,0.221989392,0.20491715,0.20491715,0.20491715
10404,0.221595195,0.221595195,0.221595195,0.221595195,0.221595195,0.204688046,0.204688046,0.204688046,0.204688046,0.204688046,0.221595195,0.221595195,0.221595195,0.204688046,0.204688046,0.204688046
10405,0.228416738,0.228416738,0.228416738,0.228416738,0.228416738,0.211627448,0.211627448,0.211627448,0.211627448,0.211627448,0.228416738,0.228416738,0.228416738,0.211627448,0.211627448,0.211627448
10406,0.248652068,0.248652068,0.248652068,0.248652068,0.248652068,0.231697433,0.231697433,0.231697433,0.231697433,0.231697433,0.248652068,0.248652068,0.248652068,0.231697433,0.231697433,0.231697433
10407,0.26103575,0.26103575,0.26103575,0.26103575,0.26103575,0.259732674,0.259732674,0.259732674,0.259732674,0.259732674,0.26103575,0.26103575,0.26103575,0.259732674,0.259732674,0.259732674
10408,0.262214081,0.262214081,0.262214081,0.262214081,0.262214081,0.260803024,0.260803024,0.260803024,0.260803024,0.260803024,0.262214081,0.262214081,0.262214081,0.260803024,0.260803024,0.260803024
10409,0.248895947,0.248895947,0.248895947,0.248895947,0.248895947,0.233283621,0.233283621,0.233283621,0.233283621,0.233283621,0.248895947,0.248895947,0.248895947,0.233283621,0.233283621,0.233283621
10410,0.220908191,0.220908191,0.220908191,0.220908191,0.220908191,0.207376635,0.207376635,0.207376635,0.207376635,0.207376635,0.220908191,0.220908191,0.220908191,0.207376635,0.207376635,0.207376635
10411,0.212845332,0.212845332,0.212845332,0.212845332,0.212845332,0.049634287,0.049634287,0.049634287,0.049634287,0.049634287,0.212845332,0.212845332,0.212845332,0.049634287,0.049634287,0.049634287
10412,0.214109028,0.214109028,0.214109028,0.214109028,0.214109028,0.049339157,0.049339157,0.049339157,0.049339157,0.049339157,0.214109028,0.214109028,0.214109028,0.049339157,0.049339157,0.049339157
10413,0.214017077,0.214017077,0.214017077,0.214017077,0.214017077,0.049505323,0.049505323,0.049505323,0.049505323,0.049505323,0.214017077,0.214017077,0.214017077,0.049505323,0.049505323,0.049505323
10414,0.060941228,0.060941228,0.060941228,0.060941228,0.060941228,0.036442904,0.036442904,0.036442904,0.036442904,0.036442904,0.060941228,0.060941228,0.060941228,0.036442904,0.036442904,0.036442904
10415,0.210672285,0.210672285,0.210672285,0.210672285,0.210672285,0.037065474,0.037065474,0.037065474,0.037065474,0.037065474,0.210672285,0.210672285,0.210672285,0.037065474,0.037065474,0.037065474
10416,0.240512547,0.240512547,0.240512547,0.240512547,0.240512547,0.223820534,0.223820534,0.223820534,0.223820534,0.223820534,0.240512547,0.240512547,0.240512547,0.223820534,0.223820534,0.223820534
10417,0.263545451,0.263545451,0.263545451,0.263545451,0.263545451,0.265207889,0.265207889,0.265207889,0.265207889,0.265207889,0.263545451,0.263545451,0.263545451,0.265207889,0.265207889,0.265207889
10418,0.264095531,0.264095531,0.264095531,0.264095531,0.264095531,0.268060336,0.268060336,0.268060336,0.268060336,0.268060336,0.264095531,0.264095531,0.264095531,0.268060336,0.268060336,0.268060336
10419,0.264121893,0.264121893,0.264121893,0.264121893,0.264121893,0.268721298,0.268721298,0.268721298,0.268721298,0.268721298,0.264121893,0.264121893,0.264121893,0.268721298,0.268721298,0.268721298
