; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV Interim GHG Adder Only,,,,,,,,,,,,,,,,
; MoDaHr,Electricity TDV (CZ1; kBtu/kWh),Electricity TDV (CZ2; kBtu/kWh),Electricity TDV (CZ3; kBtu/kWh),Electricity TDV (CZ4; kBtu/kWh),Electricity TDV (CZ5; kBtu/kWh),Electricity TDV (CZ6; kBtu/kWh),Electricity TDV (CZ7; kBtu/kWh),Electricity TDV (CZ8; kBtu/kWh),Electricity TDV (CZ9; kBtu/kWh),Electricity TDV (CZ10; kBtu/kWh),Electricity TDV (CZ11; kBtu/kWh),Electricity TDV (CZ12; kBtu/kWh),Electricity TDV (CZ13; kBtu/kWh),Electricity TDV (CZ14; kBtu/kWh),Electricity TDV (CZ15; kBtu/kWh),Electricity TDV (CZ16; kBtu/kWh)
10101,1.379733181,1.379733181,1.379733181,1.379733181,1.379733181,1.367880714,1.367880714,1.367880714,1.367880714,1.367880714,1.379733181,1.379733181,1.379733181,1.367880714,1.367880714,1.367880714
10102,1.260325207,1.260325207,1.260325207,1.260325207,1.260325207,1.162373059,1.162373059,1.162373059,1.162373059,1.162373059,1.260325207,1.260325207,1.260325207,1.162373059,1.162373059,1.162373059
10103,1.244448861,1.244448861,1.244448861,1.244448861,1.244448861,1.144465886,1.144465886,1.144465886,1.144465886,1.144465886,1.244448861,1.244448861,1.244448861,1.144465886,1.144465886,1.144465886
10104,1.23995697,1.23995697,1.23995697,1.23995697,1.23995697,1.141387786,1.141387786,1.141387786,1.141387786,1.141387786,1.23995697,1.23995697,1.23995697,1.141387786,1.141387786,1.141387786
10105,1.275909359,1.275909359,1.275909359,1.275909359,1.275909359,1.177910505,1.177910505,1.177910505,1.177910505,1.177910505,1.275909359,1.275909359,1.275909359,1.177910505,1.177910505,1.177910505
10106,1.39418047,1.39418047,1.39418047,1.39418047,1.39418047,1.383616621,1.383616621,1.383616621,1.383616621,1.383616621,1.39418047,1.39418047,1.39418047,1.383616621,1.383616621,1.383616621
10107,1.411733167,1.411733167,1.411733167,1.411733167,1.411733167,1.430610886,1.430610886,1.430610886,1.430610886,1.430610886,1.411733167,1.411733167,1.411733167,1.430610886,1.430610886,1.430610886
10108,1.411827514,1.411827514,1.411827514,1.411827514,1.411827514,1.431068107,1.431068107,1.431068107,1.431068107,1.431068107,1.411827514,1.411827514,1.411827514,1.431068107,1.431068107,1.431068107
10109,1.383935118,1.383935118,1.383935118,1.383935118,1.383935118,1.367133812,1.367133812,1.367133812,1.367133812,1.367133812,1.383935118,1.383935118,1.383935118,1.367133812,1.367133812,1.367133812
10110,0.419420119,0.419420119,0.419420119,0.419420119,0.419420119,0.25868335,0.25868335,0.25868335,0.25868335,0.25868335,0.419420119,0.419420119,0.419420119,0.25868335,0.25868335,0.25868335
10111,0.416696995,0.416696995,0.416696995,0.416696995,0.416696995,0.184610159,0.184610159,0.184610159,0.184610159,0.184610159,0.416696995,0.416696995,0.416696995,0.184610159,0.184610159,0.184610159
10112,0.416698265,0.416698265,0.416698265,0.416698265,0.416698265,0.184739668,0.184739668,0.184739668,0.184739668,0.184739668,0.416698265,0.416698265,0.416698265,0.184739668,0.184739668,0.184739668
10113,0.414683311,0.414683311,0.414683311,0.414683311,0.414683311,0.185483181,0.185483181,0.185483181,0.185483181,0.185483181,0.414683311,0.414683311,0.414683311,0.185483181,0.185483181,0.185483181
10114,0.411263462,0.411263462,0.411263462,0.411263462,0.411263462,0.099065947,0.099065947,0.099065947,0.099065947,0.099065947,0.411263462,0.411263462,0.411263462,0.099065947,0.099065947,0.099065947
10115,0.411751187,0.411751187,0.411751187,0.411751187,0.411751187,0.185290354,0.185290354,0.185290354,0.185290354,0.185290354,0.411751187,0.411751187,0.411751187,0.185290354,0.185290354,0.185290354
10116,1.367397288,1.367397288,1.367397288,1.367397288,1.367397288,1.356477025,1.356477025,1.356477025,1.356477025,1.356477025,1.367397288,1.367397288,1.367397288,1.356477025,1.356477025,1.356477025
10117,1.416205629,1.416205629,1.416205629,1.416205629,1.416205629,1.434143165,1.434143165,1.434143165,1.434143165,1.434143165,1.416205629,1.416205629,1.416205629,1.434143165,1.434143165,1.434143165
10118,1.419409299,1.419409299,1.419409299,1.419409299,1.419409299,1.455996122,1.455996122,1.455996122,1.455996122,1.455996122,1.419409299,1.419409299,1.419409299,1.455996122,1.455996122,1.455996122
10119,1.419534994,1.419534994,1.419534994,1.419534994,1.419534994,1.481373278,1.481373278,1.481373278,1.481373278,1.481373278,1.419534994,1.419534994,1.419534994,1.481373278,1.481373278,1.481373278
10120,1.419524625,1.419524625,1.419524625,1.419524625,1.419524625,1.484595861,1.484595861,1.484595861,1.484595861,1.484595861,1.419524625,1.419524625,1.419524625,1.484595861,1.484595861,1.484595861
10121,1.419653674,1.419653674,1.419653674,1.419653674,1.419653674,1.477292003,1.477292003,1.477292003,1.477292003,1.477292003,1.419653674,1.419653674,1.419653674,1.477292003,1.477292003,1.477292003
10122,1.419578321,1.419578321,1.419578321,1.419578321,1.419578321,1.453272921,1.453272921,1.453272921,1.453272921,1.453272921,1.419578321,1.419578321,1.419578321,1.453272921,1.453272921,1.453272921
10123,1.405222079,1.405222079,1.405222079,1.405222079,1.405222079,1.403964468,1.403964468,1.403964468,1.403964468,1.403964468,1.405222079,1.405222079,1.405222079,1.403964468,1.403964468,1.403964468
10124,1.390176514,1.390176514,1.390176514,1.390176514,1.390176514,1.373116693,1.373116693,1.373116693,1.373116693,1.373116693,1.390176514,1.390176514,1.390176514,1.373116693,1.373116693,1.373116693
10201,1.28838041,1.28838041,1.28838041,1.28838041,1.28838041,1.188326122,1.188326122,1.188326122,1.188326122,1.188326122,1.28838041,1.28838041,1.28838041,1.188326122,1.188326122,1.188326122
