; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV Interim GHG Adder Only,,,,,,,,,,,,,,,,
; MoDaHr,Natural Gas TDV (CZ1; kBtu/therm),Natural Gas TDV (CZ2; kBtu/therm),Natural Gas TDV (CZ3; kBtu/therm),Natural Gas TDV (CZ4; kBtu/therm),Natural Gas TDV (CZ5; kBtu/therm),Natural Gas TDV (CZ6; kBtu/therm),Natural Gas TDV (CZ7; kBtu/therm),Natural Gas TDV (CZ8; kBtu/therm),Natural Gas TDV (CZ9; kBtu/therm),Natural Gas TDV (CZ10; kBtu/therm),Natural Gas TDV (CZ11; kBtu/therm),Natural Gas TDV (CZ12; kBtu/therm),Natural Gas TDV (CZ13; kBtu/therm),Natural Gas TDV (CZ14; kBtu/therm),Natural Gas TDV (CZ15; kBtu/therm),Natural Gas TDV (CZ16; kBtu/therm)
10101,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10102,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10103,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10104,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10105,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10106,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10107,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10108,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10109,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10110,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10111,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10112,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10113,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10114,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10115,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10116,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10117,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10118,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10119,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10120,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10121,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10122,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10123,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10124,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10201,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10202,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10203,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10204,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10205,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10206,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10207,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10208,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10209,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10210,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10211,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10212,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10213,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10214,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10215,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10216,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10217,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10218,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10219,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10220,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10221,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10222,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10223,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10224,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10301,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10302,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10303,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10304,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10305,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10306,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10307,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10308,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10309,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10310,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10311,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10312,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10313,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10314,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10315,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10316,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10317,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10318,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10319,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10320,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10321,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10322,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10323,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10324,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10401,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10402,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10403,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10404,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10405,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10406,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10407,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10408,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10409,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10410,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10411,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
10412,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174,31.69832174
