; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE GHG Only,,,,,,,,,,,,,,,,
; MoDaHr,Electricity TDV (CZ1; kBtu/kWh),Electricity TDV (CZ2; kBtu/kWh),Electricity TDV (CZ3; kBtu/kWh),Electricity TDV (CZ4; kBtu/kWh),Electricity TDV (CZ5; kBtu/kWh),Electricity TDV (CZ6; kBtu/kWh),Electricity TDV (CZ7; kBtu/kWh),Electricity TDV (CZ8; kBtu/kWh),Electricity TDV (CZ9; kBtu/kWh),Electricity TDV (CZ10; kBtu/kWh),Electricity TDV (CZ11; kBtu/kWh),Electricity TDV (CZ12; kBtu/kWh),Electricity TDV (CZ13; kBtu/kWh),Electricity TDV (CZ14; kBtu/kWh),Electricity TDV (CZ15; kBtu/kWh),Electricity TDV (CZ16; kBtu/kWh)
10101,4.975423928,4.975423928,4.975423928,4.975423928,4.975423928,4.957654171,4.957654171,4.957654171,4.957654171,4.957654171,4.975423928,4.975423928,4.975423928,4.957654171,4.957654171,4.957654171
10102,4.8452509,4.8452509,4.8452509,4.8452509,4.8452509,4.803505349,4.803505349,4.803505349,4.803505349,4.803505349,4.8452509,4.8452509,4.8452509,4.803505349,4.803505349,4.803505349
10103,4.761650672,4.761650672,4.761650672,4.761650672,4.761650672,4.718595193,4.718595193,4.718595193,4.718595193,4.718595193,4.761650672,4.761650672,4.761650672,4.718595193,4.718595193,4.718595193
10104,4.737572406,4.737572406,4.737572406,4.737572406,4.737572406,4.703232894,4.703232894,4.703232894,4.703232894,4.703232894,4.737572406,4.737572406,4.737572406,4.703232894,4.703232894,4.703232894
10105,4.910025974,4.910025974,4.910025974,4.910025974,4.910025974,4.875354497,4.875354497,4.875354497,4.875354497,4.875354497,4.910025974,4.910025974,4.910025974,4.875354497,4.875354497,4.875354497
10106,4.977779045,4.977779045,4.977779045,4.977779045,4.977779045,4.982329008,4.982329008,4.982329008,4.982329008,4.982329008,4.977779045,4.977779045,4.977779045,4.982329008,4.982329008,4.982329008
10107,5.038770679,5.038770679,5.038770679,5.038770679,5.038770679,5.182416109,5.182416109,5.182416109,5.182416109,5.182416109,5.038770679,5.038770679,5.038770679,5.182416109,5.182416109,5.182416109
10108,5.03909631,5.03909631,5.03909631,5.03909631,5.03909631,5.183266519,5.183266519,5.183266519,5.183266519,5.183266519,5.03909631,5.03909631,5.03909631,5.183266519,5.183266519,5.183266519
10109,4.919009163,4.919009163,4.919009163,4.919009163,4.919009163,4.921152137,4.921152137,4.921152137,4.921152137,4.921152137,4.919009163,4.919009163,4.919009163,4.921152137,4.921152137,4.921152137
10110,0.193030576,0.193030576,0.193030576,0.193030576,0.193030576,0.063236083,0.063236083,0.063236083,0.063236083,0.063236083,0.193030576,0.193030576,0.193030576,0.063236083,0.063236083,0.063236083
