; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE GHG Only,,,,,,,,,,,,,,,,
; MoDaHr,Propane TDV (CZ1; kBtu/therm),Propane TDV (CZ2; kBtu/therm),Propane TDV (CZ3; kBtu/therm),Propane TDV (CZ4; kBtu/therm),Propane TDV (CZ5; kBtu/therm),Propane TDV (CZ6; kBtu/therm),Propane TDV (CZ7; kBtu/therm),Propane TDV (CZ8; kBtu/therm),Propane TDV (CZ9; kBtu/therm),Propane TDV (CZ10; kBtu/therm),Propane TDV (CZ11; kBtu/therm),Propane TDV (CZ12; kBtu/therm),Propane TDV (CZ13; kBtu/therm),Propane TDV (CZ14; kBtu/therm),Propane TDV (CZ15; kBtu/therm),Propane TDV (CZ16; kBtu/therm)
10101,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10102,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10103,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10104,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10105,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10106,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10107,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10108,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10109,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10110,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10111,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10112,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10113,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10114,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10115,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10116,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10117,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10118,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10119,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10120,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
10121,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099,143.3804099
