; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE 42 MMT,,,,,,,,,,,,,,,,
; MoDaHr,Electricity TDV (CZ1; kBtu/kWh),Electricity TDV (CZ2; kBtu/kWh),Electricity TDV (CZ3; kBtu/kWh),Electricity TDV (CZ4; kBtu/kWh),Electricity TDV (CZ5; kBtu/kWh),Electricity TDV (CZ6; kBtu/kWh),Electricity TDV (CZ7; kBtu/kWh),Electricity TDV (CZ8; kBtu/kWh),Electricity TDV (CZ9; kBtu/kWh),Electricity TDV (CZ10; kBtu/kWh),Electricity TDV (CZ11; kBtu/kWh),Electricity TDV (CZ12; kBtu/kWh),Electricity TDV (CZ13; kBtu/kWh),Electricity TDV (CZ14; kBtu/kWh),Electricity TDV (CZ15; kBtu/kWh),Electricity TDV (CZ16; kBtu/kWh)
10101,1.889612587,1.889612587,1.889612587,1.889612587,1.889612587,1.883369471,1.883369471,1.883369471,1.883369471,1.883369471,1.889612587,1.889612587,1.889612587,1.883369471,1.883369471,1.883369471
10102,1.840531482,1.840531482,1.840531482,1.840531482,1.840531482,1.825022276,1.825022276,1.825022276,1.825022276,1.825022276,1.840531482,1.840531482,1.840531482,1.825022276,1.825022276,1.825022276
10103,1.807660084,1.807660084,1.807660084,1.807660084,1.807660084,1.791883342,1.791883342,1.791883342,1.791883342,1.791883342,1.807660084,1.807660084,1.807660084,1.791883342,1.791883342,1.791883342
10104,1.798087466,1.798087466,1.798087466,1.798087466,1.798087466,1.785688704,1.785688704,1.785688704,1.785688704,1.785688704,1.798087466,1.798087466,1.798087466,1.785688704,1.785688704,1.785688704
10105,1.86537991,1.86537991,1.86537991,1.86537991,1.86537991,1.852772394,1.852772394,1.852772394,1.852772394,1.852772394,1.86537991,1.86537991,1.86537991,1.852772394,1.852772394,1.852772394
10106,1.88915908,1.88915908,1.88915908,1.88915908,1.88915908,1.891698817,1.891698817,1.891698817,1.891698817,1.891698817,1.88915908,1.88915908,1.88915908,1.891698817,1.891698817,1.891698817
10107,1.912444346,1.912444346,1.912444346,1.912444346,1.912444346,1.968892664,1.968892664,1.968892664,1.968892664,1.968892664,1.912444346,1.912444346,1.912444346,1.968892664,1.968892664,1.968892664
10108,1.912567763,1.912567763,1.912567763,1.912567763,1.912567763,1.969166526,1.969166526,1.969166526,1.969166526,1.969166526,1.912567763,1.912567763,1.912567763,1.969166526,1.969166526,1.969166526
10109,1.865912628,1.865912628,1.865912628,1.865912628,1.865912628,1.870182804,1.870182804,1.870182804,1.870182804,1.870182804,1.865912628,1.865912628,1.865912628,1.870182804,1.870182804,1.870182804
10110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10116,1.836158414,1.836158414,1.836158414,1.836158414,1.836158414,1.844929253,1.844929253,1.844929253,1.844929253,1.844929253,1.836158414,1.836158414,1.836158414,1.844929253,1.844929253,1.844929253
10117,1.912865799,1.912865799,1.912865799,1.912865799,1.912865799,1.96497904,1.96497904,1.96497904,1.96497904,1.96497904,1.912865799,1.912865799,1.912865799,1.96497904,1.96497904,1.96497904
10118,1.912914335,1.912914335,1.912914335,1.912914335,1.912914335,1.984527302,1.984527302,1.984527302,1.984527302,1.984527302,1.912914335,1.912914335,1.912914335,1.984527302,1.984527302,1.984527302
10119,1.913059825,1.913059825,1.913059825,1.913059825,1.913059825,1.986225795,1.986225795,1.986225795,1.986225795,1.986225795,1.913059825,1.913059825,1.913059825,1.986225795,1.986225795,1.986225795
10120,1.913026994,1.913026994,1.913026994,1.913026994,1.913026994,1.986264554,1.986264554,1.986264554,1.986264554,1.986264554,1.913026994,1.913026994,1.913026994,1.986264554,1.986264554,1.986264554
