; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE 42 MMT,,,,,,,,,,,,,,,,
; MoDaHr,Propane TDV (CZ1; kBtu/therm),Propane TDV (CZ2; kBtu/therm),Propane TDV (CZ3; kBtu/therm),Propane TDV (CZ4; kBtu/therm),Propane TDV (CZ5; kBtu/therm),Propane TDV (CZ6; kBtu/therm),Propane TDV (CZ7; kBtu/therm),Propane TDV (CZ8; kBtu/therm),Propane TDV (CZ9; kBtu/therm),Propane TDV (CZ10; kBtu/therm),Propane TDV (CZ11; kBtu/therm),Propane TDV (CZ12; kBtu/therm),Propane TDV (CZ13; kBtu/therm),Propane TDV (CZ14; kBtu/therm),Propane TDV (CZ15; kBtu/therm),Propane TDV (CZ16; kBtu/therm)
10101,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10102,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10103,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10104,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10105,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10106,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10107,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10108,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10109,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
10110,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519,54.95381519
