; Use with 2009 calendar year and updated CEC weather data      - source file: 2022_TDV_Emissions_Factor_Policy_Comp_20191011.xlsx,,,,,,,,,,,,,,,,
; Version ID: Long Run Marginal Emissions Factors Deep_Decarb,,,,,,,,,,,,,,,,
; MoDaHr,Electricity Long Run Emissions (CZ1; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ2; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ3; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ4; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ5; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ6; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ7; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ8; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ9; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ10; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ11; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ12; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ13; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ14; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ15; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ16; tonnes CO2-e/kWh)
10101,0.000247243,0.000247243,0.000247243,0.000247243,0.000247243,0.000249403,0.000248718,0.000249403,0.000249403,0.000249403,0.000247243,0.000247243,0.000247243,0.000249403,0.000249403,0.000249403
10102,0.000246894,0.000246894,0.000246894,0.000246894,0.000246894,0.000249051,0.000248367,0.000249051,0.000249051,0.000249051,0.000246894,0.000246894,0.000246894,0.000249051,0.000249051,0.000249051
10103,0.000246589,0.000246589,0.000246589,0.000246589,0.000246589,0.000248744,0.00024806,0.000248744,0.000248744,0.000248744,0.000246589,0.000246589,0.000246589,0.000248744,0.000248744,0.000248744
10104,0.000241921,0.000241921,0.000241921,0.000241921,0.000241921,0.000244034,0.000243364,0.000244034,0.000244034,0.000244034,0.000241921,0.000241921,0.000241921,0.000244034,0.000244034,0.000244034
10105,0.00024575,0.00024575,0.00024575,0.00024575,0.00024575,0.000247897,0.000247216,0.000247897,0.000247897,0.000247897,0.00024575,0.00024575,0.00024575,0.000247897,0.000247897,0.000247897
10106,0.000247852,0.000247852,0.000247852,0.000247852,0.000247852,0.000250017,0.00024933,0.000250017,0.000250017,0.000250017,0.000247852,0.000247852,0.000247852,0.000250017,0.000250017,0.000250017
10107,0.000248481,0.000248481,0.000248481,0.000248481,0.000248481,0.000250652,0.000249964,0.000250652,0.000250652,0.000250652,0.000248481,0.000248481,0.000248481,0.000250652,0.000250652,0.000250652
10108,0.000248005,0.000248005,0.000248005,0.000248005,0.000248005,0.000250171,0.000249484,0.000250171,0.000250171,0.000250171,0.000248005,0.000248005,0.000248005,0.000250171,0.000250171,0.000250171
10109,0.000243441,0.000243441,0.000243441,0.000243441,0.000243441,0.000245568,0.000244893,0.000245568,0.000245568,0.000245568,0.000243441,0.000243441,0.000243441,0.000245568,0.000245568,0.000245568
10110,0.000204114,0.000204114,0.000204114,0.000204114,0.000204114,0.000205897,0.000205332,0.000205897,0.000205897,0.000205897,0.000204114,0.000204114,0.000204114,0.000205897,0.000205897,0.000205897
