;,"2013 CEC COMMERCIAL TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,CEBCC-Com rule source (SVN) -  RulesetDev\Rulesets\CEC 2013 Nonres\Rules\Tables\TDVbyCZandFuel.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 2/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10101,4.7274,1.9201,4.3849,4.7098,1.9201,4.3849,4.7128,1.9201,4.3849,4.7128,1.9201,4.3849,4.7304,1.9201,4.3849,4.6161,1.942,4.3849,4.7274,1.9654,4.3849,4.619,1.942,4.3849,4.5926,1.942,4.3849,4.5838,1.942,4.3849,4.7186,1.9201,4.3849,4.7186,1.9201,4.3849,4.7128,1.9201,4.3849,4.5838,1.942,4.3849,4.5926,1.942,4.3849,4.575,1.942,4.3849
10102,4.5604,1.9201,4.3849,4.5457,1.9201,4.3849,4.5487,1.9201,4.3849,4.5457,1.9201,4.3849,4.5633,1.9201,4.3849,4.4637,1.942,4.3849,4.575,1.9654,4.3849,4.4666,1.942,4.3849,4.4402,1.942,4.3849,4.4314,1.942,4.3849,4.5516,1.9201,4.3849,4.5516,1.9201,4.3849,4.5487,1.9201,4.3849,4.4314,1.942,4.3849,4.4402,1.942,4.3849,4.4226,1.942,4.3849
10103,4.49,1.9201,4.3849,4.4754,1.9201,4.3849,4.4783,1.9201,4.3849,4.4754,1.9201,4.3849,4.493,1.9201,4.3849,4.3962,1.942,4.3849,4.5106,1.9654,4.3849,4.4021,1.942,4.3849,4.3728,1.942,4.3849,4.3669,1.942,4.3849,4.4812,1.9201,4.3849,4.4812,1.9201,4.3849,4.4783,1.9201,4.3849,4.3669,1.942,4.3849,4.3728,1.942,4.3849,4.3581,1.942,4.3849
10104,4.4578,1.9201,4.3849,4.4431,1.9201,4.3849,4.4461,1.9201,4.3849,4.4431,1.9201,4.3849,4.4607,1.9201,4.3849,4.3669,1.942,4.3849,4.4783,1.9654,4.3849,4.3699,1.942,4.3849,4.3435,1.942,4.3849,4.3347,1.942,4.3849,4.449,1.9201,4.3849,4.4519,1.9201,4.3849,4.4461,1.9201,4.3849,4.3347,1.942,4.3849,4.3435,1.942,4.3849,4.3259,1.942,4.3849
10105,4.6102,1.9201,4.3849,4.5926,1.9201,4.3849,4.5955,1.9201,4.3849,4.5926,1.9201,4.3849,4.6131,1.9201,4.3849,4.5047,1.942,4.3849,4.6161,1.9654,4.3849,4.5076,1.942,4.3849,4.4783,1.942,4.3849,4.4725,1.942,4.3849,4.5985,1.9201,4.3849,4.6014,1.9201,4.3849,4.5955,1.9201,4.3849,4.4725,1.942,4.3849,4.4812,1.942,4.3849,4.4637,1.942,4.3849
10106,5.1964,1.9201,4.3849,5.1788,1.9201,4.3849,5.1817,1.9201,4.3849,5.1788,1.9201,4.3849,5.1993,1.9201,4.3849,5.0586,1.942,4.3849,5.17,1.9654,4.3849,5.0645,1.942,4.3849,5.0352,1.942,4.3849,5.0293,1.942,4.3849,5.1846,1.9201,4.3849,5.1876,1.9201,4.3849,5.1817,1.9201,4.3849,5.0293,1.942,4.3849,5.0352,1.942,4.3849,5.0205,1.942,4.3849
10107,5.888,1.9201,4.3849,5.8734,1.9201,4.3849,5.8763,1.9201,4.3849,5.8734,1.9201,4.3849,5.891,1.9201,4.3849,5.68,1.942,4.3849,5.7884,1.9654,4.3849,5.6829,1.942,4.3849,5.6565,1.942,4.3849,5.6477,1.942,4.3849,5.8792,1.9201,4.3849,5.8792,1.9201,4.3849,5.8763,1.9201,4.3849,5.6477,1.942,4.3849,5.6565,1.942,4.3849,5.6389,1.942,4.3849
