;,"2013 CEC Residential TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 5/7/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10101,4.7876,1.8476,4.8019,4.7846,1.8476,4.8019,4.7846,1.8476,4.8019,4.7846,1.8476,4.8019,4.7846,1.8476,4.8019,4.5239,1.8666,4.8019,4.7524,1.8084,4.8019,4.5327,1.8666,4.8019,4.4887,1.8666,4.8019,4.4858,1.8666,4.8019,4.7846,1.8476,4.8019,4.7846,1.8476,4.8019,4.7846,1.8476,4.8019,4.4829,1.8666,4.8019,4.4887,1.8666,4.8019,4.4711,1.8666,4.8019
10102,4.7026,1.8476,4.8019,4.6997,1.8476,4.8019,4.6997,1.8476,4.8019,4.6997,1.8476,4.8019,4.6997,1.8476,4.8019,4.4477,1.8666,4.8019,4.6733,1.8084,4.8019,4.4536,1.8666,4.8019,4.4096,1.8666,4.8019,4.4067,1.8666,4.8019,4.6997,1.8476,4.8019,4.6997,1.8476,4.8019,4.6997,1.8476,4.8019,4.4038,1.8666,4.8019,4.4096,1.8666,4.8019,4.395,1.8666,4.8019
10103,4.6645,1.8476,4.8019,4.6645,1.8476,4.8019,4.6645,1.8476,4.8019,4.6645,1.8476,4.8019,4.6616,1.8476,4.8019,4.4125,1.8666,4.8019,4.6411,1.8084,4.8019,4.4184,1.8666,4.8019,4.3745,1.8666,4.8019,4.3715,1.8666,4.8019,4.6616,1.8476,4.8019,4.6616,1.8476,4.8019,4.6645,1.8476,4.8019,4.3686,1.8666,4.8019,4.3745,1.8666,4.8019,4.3598,1.8666,4.8019
10104,4.6352,1.8476,4.8019,4.6352,1.8476,4.8019,4.6352,1.8476,4.8019,4.6352,1.8476,4.8019,4.6352,1.8476,4.8019,4.3832,1.8666,4.8019,4.6118,1.8084,4.8019,4.392,1.8666,4.8019,4.3481,1.8666,4.8019,4.3452,1.8666,4.8019,4.6352,1.8476,4.8019,4.6352,1.8476,4.8019,4.6352,1.8476,4.8019,4.3422,1.8666,4.8019,4.3481,1.8666,4.8019,4.3305,1.8666,4.8019
10105,4.7993,1.8476,4.8019,4.7993,1.8476,4.8019,4.7993,1.8476,4.8019,4.7993,1.8476,4.8019,4.7964,1.8476,4.8019,4.5327,1.8666,4.8019,4.7612,1.8084,4.8019,4.5415,1.8666,4.8019,4.4946,1.8666,4.8019,4.4946,1.8666,4.8019,4.7964,1.8476,4.8019,4.7964,1.8476,4.8019,4.7993,1.8476,4.8019,4.4916,1.8666,4.8019,4.4946,1.8666,4.8019,4.4799,1.8666,4.8019
10106,5.4117,1.8476,4.8019,5.4117,1.8476,4.8019,5.4117,1.8476,4.8019,5.4117,1.8476,4.8019,5.4117,1.8476,4.8019,5.1187,1.8666,4.8019,5.3443,1.8084,4.8019,5.1245,1.8666,4.8019,5.0806,1.8666,4.8019,5.0776,1.8666,4.8019,5.4117,1.8476,4.8019,5.4117,1.8476,4.8019,5.4117,1.8476,4.8019,5.0747,1.8666,4.8019,5.0806,1.8666,4.8019,5.0659,1.8666,4.8019
10107,6.1061,1.8476,4.8019,6.1061,1.8476,4.8019,6.1061,1.8476,4.8019,6.1061,1.8476,4.8019,6.1061,1.8476,4.8019,5.7281,1.8666,4.8019,5.9537,1.8084,4.8019,5.7369,1.8666,4.8019,5.6929,1.8666,4.8019,5.69,1.8666,4.8019,6.1061,1.8476,4.8019,6.1061,1.8476,4.8019,6.1061,1.8476,4.8019,5.6871,1.8666,4.8019,5.69,1.8666,4.8019,5.6754,1.8666,4.8019
