;,"2019 CEC RESIDENTIAL TDV factors by climate zone, fuel and hour   - REVISED TO REFLECT NATIVE E3 UNITS - SAC 8/26/19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,"(this file, sent via e-mail from BAW 2/10/17 - originating from E3 the same day)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 2/10/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10101,26.0732722,223.11,492.61,25.8387991,223.11,492.61,26.0080839,223.11,492.61,25.8565467,223.11,492.61,25.9893124,223.11,492.61,25.1916943,225.26,492.61,25.6527906,218.91,492.61,24.8787222,225.26,492.61,24.7643867,225.26,492.61,24.7824756,225.26,492.61,25.7879454,223.11,492.61,25.8152494,223.11,492.61,25.9551824,223.11,492.61,24.9309411,225.26,492.61,25.0118292,225.26,492.61,25.9940906,225.26,492.61
10102,25.8237819,223.11,492.61,25.5893088,223.11,492.61,25.7585936,223.11,492.61,25.6070564,223.11,492.61,25.7401634,223.11,492.61,24.8862308,225.26,492.61,25.3480097,218.91,492.61,24.5732587,225.26,492.61,24.4589232,225.26,492.61,24.4770121,225.26,492.61,25.5387964,223.11,492.61,25.5657591,223.11,492.61,25.7056921,223.11,492.61,24.6254776,225.26,492.61,24.7063657,225.26,492.61,25.6886271,225.26,492.61
10103,25.6773642,223.11,492.61,25.4428911,223.11,492.61,25.6121759,223.11,492.61,25.4606387,223.11,492.61,25.5937457,223.11,492.61,24.7302567,225.26,492.61,25.1923769,218.91,492.61,24.4176259,225.26,492.61,24.3032904,225.26,492.61,24.3213793,225.26,492.61,25.3923787,223.11,492.61,25.4193414,223.11,492.61,25.5592744,223.11,492.61,24.4695035,225.26,492.61,24.5503916,225.26,492.61,25.5329943,225.26,492.61
10104,25.6377734,223.11,492.61,25.4033003,223.11,492.61,25.5725851,223.11,492.61,25.4210479,223.11,492.61,25.5538136,223.11,492.61,24.7036353,225.26,492.61,25.1657555,218.91,492.61,24.3906632,225.26,492.61,24.2763277,225.26,492.61,24.2944166,225.26,492.61,25.3524466,223.11,492.61,25.3797506,223.11,492.61,25.5196836,223.11,492.61,24.4428821,225.26,492.61,24.5237702,225.26,492.61,25.5060316,225.26,492.61
10105,25.9425543,223.11,492.61,25.7080812,223.11,492.61,25.877366,223.11,492.61,25.7258288,223.11,492.61,25.8589358,223.11,492.61,25.0135357,225.26,492.61,25.4749733,218.91,492.61,24.7005636,225.26,492.61,24.5862281,225.26,492.61,24.604317,225.26,492.61,25.6572275,223.11,492.61,25.6845315,223.11,492.61,25.8244645,223.11,492.61,24.7527825,225.26,492.61,24.8336706,225.26,492.61,25.815932,225.26,492.61
10106,26.1261737,223.11,492.61,25.8913593,223.11,492.61,26.0609854,223.11,492.61,25.9091069,223.11,492.61,26.0422139,223.11,492.61,25.2715585,225.26,492.61,25.7326548,218.91,492.61,24.9589277,225.26,492.61,24.8442509,225.26,492.61,24.8626811,225.26,492.61,25.8408469,223.11,492.61,25.8681509,223.11,492.61,26.0077426,223.11,492.61,25.0108053,225.26,492.61,25.0916934,225.26,492.61,26.0742961,225.26,492.61
10107,26.2483591,223.11,492.61,26.013886,223.11,492.61,26.1831708,223.11,492.61,26.0316336,223.11,492.61,26.1643993,223.11,492.61,25.6370908,225.26,492.61,26.0971632,218.91,492.61,25.3241187,225.26,492.61,25.2097832,225.26,492.61,25.2278721,225.26,492.61,25.9630323,223.11,492.61,25.9903363,223.11,492.61,26.1302693,223.11,492.61,25.3763376,225.26,492.61,25.4572257,225.26,492.61,26.4394871,225.26,492.61
