;,"2019 CEC RESIDENTIAL TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,"(this file, sent via e-mail from BAW 2/10/17 - originating from E3 the same day)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 2/10/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10101,7.6394,2.2311,4.9261,7.5707,2.2311,4.9261,7.6203,2.2311,4.9261,7.5759,2.2311,4.9261,7.6148,2.2311,4.9261,7.3811,2.2526,4.9261,7.5162,2.1891,4.9261,7.2894,2.2526,4.9261,7.2559,2.2526,4.9261,7.2612,2.2526,4.9261,7.5558,2.2311,4.9261,7.5638,2.2311,4.9261,7.6048,2.2311,4.9261,7.3047,2.2526,4.9261,7.3284,2.2526,4.9261,7.6162,2.2526,4.9261
10102,7.5663,2.2311,4.9261,7.4976,2.2311,4.9261,7.5472,2.2311,4.9261,7.5028,2.2311,4.9261,7.5418,2.2311,4.9261,7.2916,2.2526,4.9261,7.4269,2.1891,4.9261,7.1999,2.2526,4.9261,7.1664,2.2526,4.9261,7.1717,2.2526,4.9261,7.4828,2.2311,4.9261,7.4907,2.2311,4.9261,7.5317,2.2311,4.9261,7.2152,2.2526,4.9261,7.2389,2.2526,4.9261,7.5267,2.2526,4.9261
10103,7.5234,2.2311,4.9261,7.4547,2.2311,4.9261,7.5043,2.2311,4.9261,7.4599,2.2311,4.9261,7.4989,2.2311,4.9261,7.2459,2.2526,4.9261,7.3813,2.1891,4.9261,7.1543,2.2526,4.9261,7.1208,2.2526,4.9261,7.1261,2.2526,4.9261,7.4399,2.2311,4.9261,7.4478,2.2311,4.9261,7.4888,2.2311,4.9261,7.1695,2.2526,4.9261,7.1932,2.2526,4.9261,7.4811,2.2526,4.9261
10104,7.5118,2.2311,4.9261,7.4431,2.2311,4.9261,7.4927,2.2311,4.9261,7.4483,2.2311,4.9261,7.4872,2.2311,4.9261,7.2381,2.2526,4.9261,7.3735,2.1891,4.9261,7.1464,2.2526,4.9261,7.1129,2.2526,4.9261,7.1182,2.2526,4.9261,7.4282,2.2311,4.9261,7.4362,2.2311,4.9261,7.4772,2.2311,4.9261,7.1617,2.2526,4.9261,7.1854,2.2526,4.9261,7.4732,2.2526,4.9261
10105,7.6011,2.2311,4.9261,7.5324,2.2311,4.9261,7.5820,2.2311,4.9261,7.5376,2.2311,4.9261,7.5766,2.2311,4.9261,7.3289,2.2526,4.9261,7.4641,2.1891,4.9261,7.2372,2.2526,4.9261,7.2037,2.2526,4.9261,7.2090,2.2526,4.9261,7.5175,2.2311,4.9261,7.5255,2.2311,4.9261,7.5665,2.2311,4.9261,7.2525,2.2526,4.9261,7.2762,2.2526,4.9261,7.5640,2.2526,4.9261
10106,7.6549,2.2311,4.9261,7.5861,2.2311,4.9261,7.6358,2.2311,4.9261,7.5913,2.2311,4.9261,7.6303,2.2311,4.9261,7.4045,2.2526,4.9261,7.5396,2.1891,4.9261,7.3129,2.2526,4.9261,7.2793,2.2526,4.9261,7.2847,2.2526,4.9261,7.5713,2.2311,4.9261,7.5793,2.2311,4.9261,7.6202,2.2311,4.9261,7.3281,2.2526,4.9261,7.3518,2.2526,4.9261,7.6397,2.2526,4.9261
10107,7.6907,2.2311,4.9261,7.6220,2.2311,4.9261,7.6716,2.2311,4.9261,7.6272,2.2311,4.9261,7.6661,2.2311,4.9261,7.5116,2.2526,4.9261,7.6464,2.1891,4.9261,7.4199,2.2526,4.9261,7.3864,2.2526,4.9261,7.3917,2.2526,4.9261,7.6071,2.2311,4.9261,7.6151,2.2311,4.9261,7.6561,2.2311,4.9261,7.4352,2.2526,4.9261,7.4589,2.2526,4.9261,7.7467,2.2526,4.9261
