;,METRIC_002_20180917_2022_TDV_LR_Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,NORESCO Sharefile Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,B,B,B,C,C,C,D,D,D,E,E,E,F,F,F,G,G,G,H,H,H,I,I,I,J,J,J,K,K,K,L,L,L,M,M,M,N,N,N,O,O,O,P,P,P,Q,Q,Q
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10101,28.2473532,268.71,435.87,28.0121975,268.71,435.87,28.1862605,268.71,435.87,28.0234604,268.71,435.87,28.1586152,268.71,435.87,27.2125316,270.99,435.87,27.8060523,264.31,435.87,26.8783989,270.99,435.87,26.7538244,270.99,435.87,26.7770328,270.99,435.87,27.9453027,268.71,435.87,27.9743132,268.71,435.87,28.1238026,268.71,435.87,26.9254983,270.99,435.87,27.013895,270.99,435.87,28.0453036,270.99,435.87
10102,28.2449641,268.71,435.87,28.0098084,268.71,435.87,28.1835301,268.71,435.87,28.02073,268.71,435.87,28.1558848,268.71,435.87,27.2408595,270.99,435.87,27.8340389,264.31,435.87,26.9067268,270.99,435.87,26.7821523,270.99,435.87,26.8053607,270.99,435.87,27.9429136,268.71,435.87,27.9715828,268.71,435.87,28.1214135,268.71,435.87,26.9538262,270.99,435.87,27.0422229,270.99,435.87,28.0736315,270.99,435.87
10103,28.2354077,268.71,435.87,28.0005933,268.71,435.87,28.174315,268.71,435.87,28.0115149,268.71,435.87,28.1466697,268.71,435.87,27.2306205,270.99,435.87,27.8241412,264.31,435.87,26.8964878,270.99,435.87,26.7719133,270.99,435.87,26.795463,270.99,435.87,27.9333572,268.71,435.87,27.9623677,268.71,435.87,28.1118571,268.71,435.87,26.9439285,270.99,435.87,27.0319839,270.99,435.87,28.0637338,270.99,435.87
10104,28.2412098,268.71,435.87,28.0063954,268.71,435.87,28.1801171,268.71,435.87,28.017317,268.71,435.87,28.1524718,268.71,435.87,27.2077534,270.99,435.87,27.8009328,264.31,435.87,26.8736207,270.99,435.87,26.7490462,270.99,435.87,26.7722546,270.99,435.87,27.9391593,268.71,435.87,27.9681698,268.71,435.87,28.1176592,268.71,435.87,26.9207201,270.99,435.87,27.0091168,270.99,435.87,28.0405254,270.99,435.87
10105,28.2531553,268.71,435.87,28.0183409,268.71,435.87,28.1920626,268.71,435.87,28.0292625,268.71,435.87,28.1644173,268.71,435.87,27.2446138,270.99,435.87,27.8377932,264.31,435.87,26.9104811,270.99,435.87,26.7859066,270.99,435.87,26.809115,270.99,435.87,27.9511048,268.71,435.87,27.9801153,268.71,435.87,28.1296047,268.71,435.87,26.9575805,270.99,435.87,27.0459772,270.99,435.87,28.0773858,270.99,435.87
10106,28.2691964,268.71,435.87,28.0340407,268.71,435.87,28.2077624,268.71,435.87,28.0449623,268.71,435.87,28.1804584,268.71,435.87,27.2575832,270.99,435.87,27.8507626,264.31,435.87,26.9234505,270.99,435.87,26.798876,270.99,435.87,26.8220844,270.99,435.87,27.9671459,268.71,435.87,27.9958151,268.71,435.87,28.1456458,268.71,435.87,26.9705499,270.99,435.87,27.0589466,270.99,435.87,28.0903552,270.99,435.87
