;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Existing EDR Envelope look-up tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,2/2/17 - MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,"Federal Register / Vol. 76, No. 123 / Monday, June 27, 2011 / Proposed Rules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,Title 24 Table 151-C Package D ,,,,,,,,,,,,,,DEPARTMENT OF ENERGY / 10 CFR Part 430 / [Docket Number EERE–2011–BT–STD– 0011] / RIN 1904–AC06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,Title 24 Table 146,,,,,,,,,,,,,,Energy Conservation Program: Energy Conservation Standards for Residential Furnaces and Residential Central Air Conditioners and Heat Pumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,Title 24 2005 Joint Appendicies,,,,,,,,,,,,,,"NAECA_Standards_-_Fed_Reg_June_27,_2011.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,3,R Value per Inch chosen as median value of loose fill insulation ,,,,,,,,,,,,,http://buildingsdatabook.eren.doe.gov/TableView.aspx?table=5.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Mod history:,,2/2/17 - MM - populated initial tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABLE ExEDR_AtticFloorInsulationDepth,,,,,,,,,,,,,,,,,,;,Cavity R-value (Using JA 4.2 Table 4.2.1),,,,,,,,,,,,,,,,,,Source data: Assembly U-value through 1991 and Cavity R-value 1998-Present,,,,,,,,,,,,,,,,,,,,
,,Year,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,;,CZ 1,CZ 2,CZ 3,CZ 4,CZ 5,CZ 6,CZ 7,CZ 8,CZ 9,CZ 10,CZ 11,CZ 12,CZ 13,CZ 14,CZ 15,CZ 16,,,CZ 1,CZ 2,CZ 3,CZ 4,CZ 5,CZ 6,CZ 7,CZ 8,CZ 9,CZ 10,CZ 11,CZ 12,CZ 13,CZ 14,CZ 15,CZ 16,,,,,
