;,"2022 CEC Source Energy factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/MSontag - 10/9/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 10/9/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10101,4.657468737,103.11,100,4.657468737,103.11,100,4.657468737,103.11,100,4.657468737,103.11,100,4.657468737,103.11,100,4.698158785,101.66,100,4.685251643,101.66,100,4.698158785,101.66,100,4.698158785,101.66,100,4.698158785,101.66,100,4.657468737,103.11,100,4.657468737,103.11,100,4.657468737,103.11,100,4.698158785,101.66,100,4.698158785,101.66,100,4.698158785,101.66,100
10102,4.650890859,103.11,100,4.650890859,103.11,100,4.650890859,103.11,100,4.650890859,103.11,100,4.650890859,103.11,100,4.691523439,101.66,100,4.678634526,101.66,100,4.691523439,101.66,100,4.691523439,101.66,100,4.691523439,101.66,100,4.650890859,103.11,100,4.650890859,103.11,100,4.650890859,103.11,100,4.691523439,101.66,100,4.691523439,101.66,100,4.691523439,101.66,100
10103,4.645150265,103.11,100,4.645150265,103.11,100,4.645150265,103.11,100,4.645150265,103.11,100,4.645150265,103.11,100,4.685732692,101.66,100,4.672859688,101.66,100,4.685732692,101.66,100,4.685732692,101.66,100,4.685732692,101.66,100,4.645150265,103.11,100,4.645150265,103.11,100,4.645150265,103.11,100,4.685732692,101.66,100,4.685732692,101.66,100,4.685732692,101.66,100
10104,4.557205899,103.11,100,4.557205899,103.11,100,4.557205899,103.11,100,4.557205899,103.11,100,4.557205899,103.11,100,4.597019999,101.66,100,4.584390713,101.66,100,4.597019999,101.66,100,4.597019999,101.66,100,4.597019999,101.66,100,4.557205899,103.11,100,4.557205899,103.11,100,4.557205899,103.11,100,4.597019999,101.66,100,4.597019999,101.66,100,4.597019999,101.66,100
10105,4.629351009,103.11,100,4.629351009,103.11,100,4.629351009,103.11,100,4.629351009,103.11,100,4.629351009,103.11,100,4.669795406,101.66,100,4.656966186,101.66,100,4.669795406,101.66,100,4.669795406,101.66,100,4.669795406,101.66,100,4.629351009,103.11,100,4.629351009,103.11,100,4.629351009,103.11,100,4.669795406,101.66,100,4.669795406,101.66,100,4.669795406,101.66,100
10106,4.668930225,103.11,100,4.668930225,103.11,100,4.668930225,103.11,100,4.668930225,103.11,100,4.668930225,103.11,100,4.709720406,101.66,100,4.696781501,101.66,100,4.709720406,101.66,100,4.709720406,101.66,100,4.709720406,101.66,100,4.668930225,103.11,100,4.668930225,103.11,100,4.668930225,103.11,100,4.709720406,101.66,100,4.709720406,101.66,100,4.709720406,101.66,100
10107,4.680792239,103.11,100,4.680792239,103.11,100,4.680792239,103.11,100,4.680792239,103.11,100,4.680792239,103.11,100,4.721686053,101.66,100,4.708714275,101.66,100,4.721686053,101.66,100,4.721686053,101.66,100,4.721686053,101.66,100,4.680792239,103.11,100,4.680792239,103.11,100,4.680792239,103.11,100,4.721686053,101.66,100,4.721686053,101.66,100,4.721686053,101.66,100
