;,"2022 CEC Nonresidential Source Energy factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/MSontag - 04/22/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC 8/12/20 - revised to confirm to Res table type/format & organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,NK - 04/22/20  - New 2022 TDV (20 yr GWP) multipliers for use with new (2022) weather files. 2022 Electric TDVs: Long Run Marginal Source Energy CH4_Leak_20yr_15RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm
; TABLE SrcbyCZandFuel_CH4Leak_20yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10101,5.089962266,93.13284291,100,5.089962266,93.13284291,100,5.089962266,93.13284291,100,5.089962266,93.13284291,100,5.089962266,93.13284291,100,5.134430801,91.8231482,100,5.120325099,91.8231482,100,5.134430801,91.8231482,100,5.134430801,91.8231482,100,5.134430801,91.8231482,100,5.089962266,93.13284291,100,5.089962266,93.13284291,100,5.089962266,93.13284291,100,5.134430801,91.8231482,100,5.134430801,91.8231482,100,5.134430801,91.8231482,100
10102,5.082914928,93.13284291,100,5.082914928,93.13284291,100,5.082914928,93.13284291,100,5.082914928,93.13284291,100,5.082914928,93.13284291,100,5.127321893,91.8231482,100,5.113235721,91.8231482,100,5.127321893,91.8231482,100,5.127321893,91.8231482,100,5.127321893,91.8231482,100,5.082914928,93.13284291,100,5.082914928,93.13284291,100,5.082914928,93.13284291,100,5.127321893,91.8231482,100,5.127321893,91.8231482,100,5.127321893,91.8231482,100
10103,5.070036346,93.13284291,100,5.070036346,93.13284291,100,5.070036346,93.13284291,100,5.070036346,93.13284291,100,5.070036346,93.13284291,100,5.114330798,91.8231482,100,5.100280316,91.8231482,100,5.114330798,91.8231482,100,5.114330798,91.8231482,100,5.114330798,91.8231482,100,5.070036346,93.13284291,100,5.070036346,93.13284291,100,5.070036346,93.13284291,100,5.114330798,91.8231482,100,5.114330798,91.8231482,100,5.114330798,91.8231482,100
10104,4.899476074,93.13284291,100,4.899476074,93.13284291,100,4.899476074,93.13284291,100,4.899476074,93.13284291,100,4.899476074,93.13284291,100,4.942280423,91.8231482,100,4.928702611,91.8231482,100,4.942280423,91.8231482,100,4.942280423,91.8231482,100,4.942280423,91.8231482,100,4.899476074,93.13284291,100,4.899476074,93.13284291,100,4.899476074,93.13284291,100,4.942280423,91.8231482,100,4.942280423,91.8231482,100,4.942280423,91.8231482,100
