;,2025 Energy Code: Residential Greenhouse Gas Electricity Emissions Hourly Factors,,,,,,,,,,,,,,,,
;,Source:,,https://www.energy.ca.gov/programs-and-topics/programs/building-energy-efficiency-standards/2025-building-energy-efficiency,,,,,,,,,,,,,,
;,Last modified:,,10/25/22 - SAC - created Res table from Res 30 yr tab of:  2025_TDV_Emissions_Factor_20221021.xlsx,,,,,,,,,,,,,,
;,,,11/25/22 - RJ - nonsubstantive unit and presentation cleanup to match final factor tables published on 11/18/22,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,These hourly factors are used to convert predicted site energy use to long run marginal greenhouse gas emissions. ,,,,,,,,,,,,,,,,
;,These hourly factors must be used with a computer program approved for demonstrating compliance with the 2025 Energy Code by the California Energy Commission.,,,,,,,,,,,,,,,,
;,"These hourly factors are formatted to the 2009 calendar year, where January 3rd & 4th are the first weekend of the year.",,,,,,,,,,,,,,,,
;,These hourly factors assume a 30-year period of analysis.,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,Electricity Long Run Emissions by Climate Zone,,,,,,,,,,,,,,,,
;,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
; TABLE 2025Res_CO2ElecEmissionsbyCZ,,,,,,,,,,,,,,,,,
; MoDaHr,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh
; Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec
; CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10101,0.000438895,0.000438895,0.000438895,0.000438895,0.000438895,0.000438895,0.000438895,0.000438895,0.000438895,0.000438895,0.000438895,0.000438895,0.000438895,0.000438895,0.000438895,0.000438895,
10102,0.000380722,0.000380722,0.000380722,0.000380722,0.000380722,0.000380722,0.000380722,0.000380722,0.000380722,0.000380722,0.000380722,0.000380722,0.000380722,0.000380722,0.000380722,0.000380722,
10103,0.000250816,0.000250816,0.000250816,0.000250816,0.000250816,0.000250816,0.000250816,0.000250816,0.000250816,0.000250816,0.000250816,0.000250816,0.000250816,0.000250816,0.000250816,0.000250816,
10104,0.000228285,0.000228285,0.000228285,0.000228285,0.000228285,0.000228285,0.000228285,0.000228285,0.000228285,0.000228285,0.000228285,0.000228285,0.000228285,0.000228285,0.000228285,0.000228285,
10105,0.000223929,0.000223929,0.000223929,0.000223929,0.000223929,0.000223929,0.000223929,0.000223929,0.000223929,0.000223929,0.000223929,0.000223929,0.000223929,0.000223929,0.000223929,0.000223929,
10106,0.000230351,0.000230351,0.000230351,0.000230351,0.000230351,0.000230351,0.000230351,0.000230351,0.000230351,0.000230351,0.000230351,0.000230351,0.000230351,0.000230351,0.000230351,0.000230351,
10107,0.000293441,0.000293441,0.000293441,0.000293441,0.000293441,0.000293441,0.000293441,0.000293441,0.000293441,0.000293441,0.000293441,0.000293441,0.000293441,0.000293441,0.000293441,0.000293441,
10108,0.000230527,0.000230527,0.000230527,0.000230527,0.000230527,0.000230527,0.000230527,0.000230527,0.000230527,0.000230527,0.000230527,0.000230527,0.000230527,0.000230527,0.000230527,0.000230527,
10109,0.000141871,0.000141871,0.000141871,0.000141871,0.000141871,0.000141871,0.000141871,0.000141871,0.000141871,0.000141871,0.000141871,0.000141871,0.000141871,0.000141871,0.000141871,0.000141871,
10110,0.000125878,0.000125878,0.000125878,0.000125878,0.000125878,0.000125878,0.000125878,0.000125878,0.000125878,0.000125878,0.000125878,0.000125878,0.000125878,0.000125878,0.000125878,0.000125878,
10111,0.000149846,0.000149846,0.000149846,0.000149846,0.000149846,0.000149846,0.000149846,0.000149846,0.000149846,0.000149846,0.000149846,0.000149846,0.000149846,0.000149846,0.000149846,0.000149846,
10112,0.000143139,0.000143139,0.000143139,0.000143139,0.000143139,0.000143139,0.000143139,0.000143139,0.000143139,0.000143139,0.000143139,0.000143139,0.000143139,0.000143139,0.000143139,0.000143139,
10113,0.000149566,0.000149566,0.000149566,0.000149566,0.000149566,0.000149566,0.000149566,0.000149566,0.000149566,0.000149566,0.000149566,0.000149566,0.000149566,0.000149566,0.000149566,0.000149566,
10114,0.000152428,0.000152428,0.000152428,0.000152428,0.000152428,0.000152428,0.000152428,0.000152428,0.000152428,0.000152428,0.000152428,0.000152428,0.000152428,0.000152428,0.000152428,0.000152428,
10115,0.000154898,0.000154898,0.000154898,0.000154898,0.000154898,0.000154898,0.000154898,0.000154898,0.000154898,0.000154898,0.000154898,0.000154898,0.000154898,0.000154898,0.000154898,0.000154898,
10116,0.000174358,0.000174358,0.000174358,0.000174358,0.000174358,0.000174358,0.000174358,0.000174358,0.000174358,0.000174358,0.000174358,0.000174358,0.000174358,0.000174358,0.000174358,0.000174358,
10117,0.000204695,0.000204695,0.000204695,0.000204695,0.000204695,0.000204695,0.000204695,0.000204695,0.000204695,0.000204695,0.000204695,0.000204695,0.000204695,0.000204695,0.000204695,0.000204695,
10118,0.000208702,0.000208702,0.000208702,0.000208702,0.000208702,0.000208702,0.000208702,0.000208702,0.000208702,0.000208702,0.000208702,0.000208702,0.000208702,0.000208702,0.000208702,0.000208702,
10119,0.000220589,0.000220589,0.000220589,0.000220589,0.000220589,0.000220589,0.000220589,0.000220589,0.000220589,0.000220589,0.000220589,0.000220589,0.000220589,0.000220589,0.000220589,0.000220589,
