;,"2025 CEC Residential Source Energy factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/JLandsman - 10/21/2022 - ,,,https://willdan.box.com/s/r3420a99kzs1ee8ire1l13q722brqsqp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,11/15/22 - SAC - created combined Res table (interleaved format for CBECC-Res) from Res 30 yr tabs of:  2025_TDV_Source_Energy_20220930.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,For use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
;,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/kWh,kBtu/thrm,kBtu/thrm
; TABLE 2025Res_SrcbyCZandFuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10101,8.29511517,90.53726733,100,8.29511517,90.53726733,100,8.29511517,90.53726733,100,8.29511517,90.53726733,100,8.29511517,90.53726733,100,8.29511517,89.962624,100,8.29511517,89.64436,100,8.29511517,89.962624,100,8.29511517,89.962624,100,8.29511517,89.962624,100,8.29511517,90.53726733,100,8.29511517,90.53726733,100,8.29511517,90.53726733,100,8.29511517,89.962624,100,8.29511517,89.962624,100,8.29511517,89.962624,100
10102,7.195655916,90.53726733,100,7.195655916,90.53726733,100,7.195655916,90.53726733,100,7.195655916,90.53726733,100,7.195655916,90.53726733,100,7.195655916,89.962624,100,7.195655916,89.64436,100,7.195655916,89.962624,100,7.195655916,89.962624,100,7.195655916,89.962624,100,7.195655916,90.53726733,100,7.195655916,90.53726733,100,7.195655916,90.53726733,100,7.195655916,89.962624,100,7.195655916,89.962624,100,7.195655916,89.962624,100
10103,4.740423014,90.53726733,100,4.740423014,90.53726733,100,4.740423014,90.53726733,100,4.740423014,90.53726733,100,4.740423014,90.53726733,100,4.740423014,89.962624,100,4.740423014,89.64436,100,4.740423014,89.962624,100,4.740423014,89.962624,100,4.740423014,89.962624,100,4.740423014,90.53726733,100,4.740423014,90.53726733,100,4.740423014,90.53726733,100,4.740423014,89.962624,100,4.740423014,89.962624,100,4.740423014,89.962624,100
10104,4.314591849,90.53726733,100,4.314591849,90.53726733,100,4.314591849,90.53726733,100,4.314591849,90.53726733,100,4.314591849,90.53726733,100,4.314591849,89.962624,100,4.314591849,89.64436,100,4.314591849,89.962624,100,4.314591849,89.962624,100,4.314591849,89.962624,100,4.314591849,90.53726733,100,4.314591849,90.53726733,100,4.314591849,90.53726733,100,4.314591849,89.962624,100,4.314591849,89.962624,100,4.314591849,89.962624,100
10105,4.232266951,90.53726733,100,4.232266951,90.53726733,100,4.232266951,90.53726733,100,4.232266951,90.53726733,100,4.232266951,90.53726733,100,4.232266951,89.962624,100,4.232266951,89.64436,100,4.232266951,89.962624,100,4.232266951,89.962624,100,4.232266951,89.962624,100,4.232266951,90.53726733,100,4.232266951,90.53726733,100,4.232266951,90.53726733,100,4.232266951,89.962624,100,4.232266951,89.962624,100,4.232266951,89.962624,100
10106,4.353640279,90.53726733,100,4.353640279,90.53726733,100,4.353640279,90.53726733,100,4.353640279,90.53726733,100,4.353640279,90.53726733,100,4.353640279,89.962624,100,4.353640279,89.64436,100,4.353640279,89.962624,100,4.353640279,89.962624,100,4.353640279,89.962624,100,4.353640279,90.53726733,100,4.353640279,90.53726733,100,4.353640279,90.53726733,100,4.353640279,89.962624,100,4.353640279,89.962624,100,4.353640279,89.962624,100
