;,CEC Title-24 Residential Compliance Ruleset,,,,,
;,Climate Zone-based Weather File Name Mapping,,,,,
;,Last modified:,,11/15/22 - SAC,,,
;,,,,,,
;,Source Data:,,SAC,,,
;,,,,,,
;,Mod history:,,4/21/19 - SAC - created table,,,
;,,,11/15/22 - SAC - added EnergyCodeYr column and 2025 code vintage records,,,
;,,,,,,
;,Independents:,,,,,
;,,1,CA Climate Zone (1-16),,,
;,,,,,,
;,Dependents:,,,,,
;,,1,CTZ - two digit CTZ string (leading '0' for 1-9),,,
;,,2,WSta - weather station string including city & station number/ID,,,
;,,,,,,
,TABLE T24RCZWeatherMapping,,,,,
,,EnergyCodeYr,ClimateZone,CTZ,WSta,;
,,2022,1,1,ARCATA-AP_725945S,;
,,2022,2,2,SANTA-ROSA-AP_724957S,;
,,2022,3,3,OAKLAND-METRO-AP_724930S,;
,,2022,4,4,SAN-JOSE-REID-HILLV_724946S,;
,,2022,5,5,SANTA-MARIA-PUBLIC-AP_723940S,;
,,2022,6,6,TORRANCE-MUNI-AP_722955S,;
,,2022,7,7,SAN-DIEGO-LINDBERGH-FLD_722900S,;
,,2022,8,8,FULLERTON-MUNI-AP_722976S,;
,,2022,9,9,BURBANK-GLNDLE-PASAD-AP_722880S,;
,,2022,10,10,RIVERSIDE-MUNI_722869S,;
,,2022,11,11,RED-BLUFF-MUNI-AP_725910S,;
,,2022,12,12,SACRAMENTO-EXECUTIVE-AP_724830S,;
,,2022,13,13,FRESNO-YOSEMITE-IAP_723890S,;
,,2022,14,14,PALMDALE-AP_723820S,;
,,2022,15,15,PALM-SPRINGS-IAP_722868S,;
,,2022,16,16,BLUE-CANYON-AP_725845S,;
,,*,1,1,725945_ARCATA-AP,; SAC 11/15/22
,,*,2,2,724957_SONOMA-COUNTY-AP,;
,,*,3,3,724930_METRO-OAKLAND-INTL,;
,,*,4,4,723965_PASO-ROBLES-MUNICIPAL,;
,,*,5,5,723940_SANTA-MARIA-AP,;
,,*,6,6,722950_LOS-ANGELES-INTL,;
,,*,7,7,722900_SAN-DIEGO-INTL,;
,,*,8,8,722976_FULLERTON-MUNICIPAL,;
,,*,9,9,722880_HOLLYWOOD-BURBANK-AP,;
,,*,10,10,722869_RIVERSIDE-MUNICIPAL,;
,,*,11,11,725910_RED-BLUFF-AP,;
,,*,12,12,724830_SACRAMENTO-EXECUTIVE,;
,,*,13,13,723890_FRESNO-YOSEMITE-INTL,;
,,*,14,14,723820_PALMDALE-REGIONAL,;
,,*,15,15,722868_PALM-SPRINGS-INTL,;
,,*,16,16,725845_BLUE-CANYON-NYACK-AP,;
,ENDTABLE,,,,,
