;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,
;,Community Solar Results,,,,,,,,
;,,,,,,,,,
;,Created:,,7/16/20 - SAC,,,,,,
;,Last modified:,,,,,,,,
;,,,,,,,,,
;,Source Data:,,CSE simulation results of 1 kW PV w/ code vintage multipliers applied,,,,,,
;,,,,,,,,,
;,Mod history:,,,,,,,,
;,,,,,,,,,
;,Independent(s):,,,,,,,,
;,,1,Title-24 code vintage,,,,,,
;,,2,Community Solar Project ID,,,,,,
;,,,,,,,,,
;,Dependent(s):,,,,,,,,
;,,1,kWh generated by 1 kW of project PV,,,,,,
;,,2,kW electric demand,,,,,,
;,,3,kTDV,,,,,,
;,,4,kg of CO2 emissions,,,,,,
;,,,,,,,,,
;,,,,,,,,,
,TABLE  CommunitySolar,,,,,,,,
,,CodeBase,CSProjectID,kWh,kW,kTDV,CO2kg,,
,,2019,1,-2011.8,-0.1108,-56263,-333.12,;,SMUD Neighborhood SolarShares - Wildflower
,,2022,1,-2011.8,-0.1108,-56263,-333.12,;,SMUD Neighborhood SolarShares - Wildflower
,,*,*,0,0,0,0,,
,ENDTABLE,,,,,,,,
;,,,,,,,,,
