;,;,"2022 CEC Nonresidential Source Energy factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Source:,,E3/MSontag - 04/22/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Last modified:,,NK - 04/22/20  - New 2022 TDV (20 yr GWP) multipliers for use with new (2022) weather files. 2022 Electric TDVs: Long Run Marginal Source Energy CH4_Leak_20yr_15RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,;,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
;,; MoDaHr,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm
TABLE SrcbyCZandFuel_CH4Leak_20yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10101,5.089962266,5.089962266,5.089962266,5.089962266,5.089962266,5.134430801,5.120325099,5.134430801,5.134430801,5.134430801,5.089962266,5.089962266,5.089962266,5.134430801,5.134430801,5.134430801,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10102,5.082914928,5.082914928,5.082914928,5.082914928,5.082914928,5.127321893,5.113235721,5.127321893,5.127321893,5.127321893,5.082914928,5.082914928,5.082914928,5.127321893,5.127321893,5.127321893,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10103,5.070036346,5.070036346,5.070036346,5.070036346,5.070036346,5.114330798,5.100280316,5.114330798,5.114330798,5.114330798,5.070036346,5.070036346,5.070036346,5.114330798,5.114330798,5.114330798,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10104,4.899476074,4.899476074,4.899476074,4.899476074,4.899476074,4.942280423,4.928702611,4.942280423,4.942280423,4.942280423,4.899476074,4.899476074,4.899476074,4.942280423,4.942280423,4.942280423,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10105,5.035686958,5.035686958,5.035686958,5.035686958,5.035686958,5.079681315,5.065726025,5.079681315,5.079681315,5.079681315,5.035686958,5.035686958,5.035686958,5.079681315,5.079681315,5.079681315,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10106,5.112686994,5.112686994,5.112686994,5.112686994,5.112686994,5.157354063,5.143185385,5.157354063,5.157354063,5.157354063,5.112686994,5.112686994,5.112686994,5.157354063,5.157354063,5.157354063,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10107,5.119041203,5.119041203,5.119041203,5.119041203,5.119041203,5.163763786,5.149577498,5.163763786,5.163763786,5.163763786,5.119041203,5.119041203,5.119041203,5.163763786,5.163763786,5.163763786,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10108,5.116114468,5.116114468,5.116114468,5.116114468,5.116114468,5.160811482,5.146633304,5.160811482,5.160811482,5.160811482,5.116114468,5.116114468,5.116114468,5.160811482,5.160811482,5.160811482,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10109,5.007384588,5.007384588,5.007384588,5.007384588,5.007384588,5.051131681,5.037254825,5.051131681,5.051131681,5.051131681,5.007384588,5.007384588,5.007384588,5.051131681,5.051131681,5.051131681,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10110,4.187346029,4.187346029,4.187346029,4.187346029,4.187346029,4.223928842,4.212324541,4.223928842,4.223928842,4.223928842,4.187346029,4.187346029,4.187346029,4.223928842,4.223928842,4.223928842,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10111,3.87375172,3.87375172,3.87375172,3.87375172,3.87375172,3.907594812,3.896859568,3.907594812,3.907594812,3.907594812,3.87375172,3.87375172,3.87375172,3.907594812,3.907594812,3.907594812,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10112,3.735049548,3.735049548,3.735049548,3.735049548,3.735049548,3.767680867,3.757330005,3.767680867,3.767680867,3.767680867,3.735049548,3.735049548,3.735049548,3.767680867,3.767680867,3.767680867,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10113,3.416826844,3.416826844,3.416826844,3.416826844,3.416826844,3.446678005,3.437209027,3.446678005,3.446678005,3.446678005,3.416826844,3.416826844,3.416826844,3.446678005,3.446678005,3.446678005,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10114,3.582164299,3.582164299,3.582164299,3.582164299,3.582164299,3.613459933,3.603532758,3.613459933,3.613459933,3.613459933,3.582164299,3.582164299,3.582164299,3.613459933,3.613459933,3.613459933,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10115,3.464429605,3.464429605,3.464429605,3.464429605,3.464429605,3.494696648,3.485095749,3.494696648,3.494696648,3.494696648,3.464429605,3.464429605,3.464429605,3.494696648,3.494696648,3.494696648,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
