;,"2025 CEC Nonresidential Source Energy factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/JLandsman - 10/21/2022 - ,,,https://willdan.box.com/s/r3420a99kzs1ee8ire1l13q722brqsqp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,10/25/22 - SAC - created combined NRes table from Non-Res 30 yr tabs of:  2025_TDV_Source_Energy_20220930.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,For use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
;,,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/kWh,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm,kBtu/thrm
TABLE 2025NR_SrcbyCZandFuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10101,8.29511517,8.29511517,8.29511517,8.29511517,8.29511517,8.29511517,8.29511517,8.29511517,8.29511517,8.29511517,8.29511517,8.29511517,8.29511517,8.29511517,8.29511517,8.29511517,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10102,7.195655916,7.195655916,7.195655916,7.195655916,7.195655916,7.195655916,7.195655916,7.195655916,7.195655916,7.195655916,7.195655916,7.195655916,7.195655916,7.195655916,7.195655916,7.195655916,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10103,4.740423014,4.740423014,4.740423014,4.740423014,4.740423014,4.740423014,4.740423014,4.740423014,4.740423014,4.740423014,4.740423014,4.740423014,4.740423014,4.740423014,4.740423014,4.740423014,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10104,4.314591849,4.314591849,4.314591849,4.314591849,4.314591849,4.314591849,4.314591849,4.314591849,4.314591849,4.314591849,4.314591849,4.314591849,4.314591849,4.314591849,4.314591849,4.314591849,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10105,4.232266951,4.232266951,4.232266951,4.232266951,4.232266951,4.232266951,4.232266951,4.232266951,4.232266951,4.232266951,4.232266951,4.232266951,4.232266951,4.232266951,4.232266951,4.232266951,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10106,4.353640279,4.353640279,4.353640279,4.353640279,4.353640279,4.353640279,4.353640279,4.353640279,4.353640279,4.353640279,4.353640279,4.353640279,4.353640279,4.353640279,4.353640279,4.353640279,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10107,5.546049884,5.546049884,5.546049884,5.546049884,5.546049884,5.546049884,5.546049884,5.546049884,5.546049884,5.546049884,5.546049884,5.546049884,5.546049884,5.546049884,5.546049884,5.546049884,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10108,4.356964324,4.356964324,4.356964324,4.356964324,4.356964324,4.356964324,4.356964324,4.356964324,4.356964324,4.356964324,4.356964324,4.356964324,4.356964324,4.356964324,4.356964324,4.356964324,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10109,2.681373328,2.681373328,2.681373328,2.681373328,2.681373328,2.681373328,2.681373328,2.681373328,2.681373328,2.681373328,2.681373328,2.681373328,2.681373328,2.681373328,2.681373328,2.681373328,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10110,2.379104209,2.379104209,2.379104209,2.379104209,2.379104209,2.379104209,2.379104209,2.379104209,2.379104209,2.379104209,2.379104209,2.379104209,2.379104209,2.379104209,2.379104209,2.379104209,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10111,2.832084785,2.832084785,2.832084785,2.832084785,2.832084785,2.832084785,2.832084785,2.832084785,2.832084785,2.832084785,2.832084785,2.832084785,2.832084785,2.832084785,2.832084785,2.832084785,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10112,2.705323741,2.705323741,2.705323741,2.705323741,2.705323741,2.705323741,2.705323741,2.705323741,2.705323741,2.705323741,2.705323741,2.705323741,2.705323741,2.705323741,2.705323741,2.705323741,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10113,2.826805655,2.826805655,2.826805655,2.826805655,2.826805655,2.826805655,2.826805655,2.826805655,2.826805655,2.826805655,2.826805655,2.826805655,2.826805655,2.826805655,2.826805655,2.826805655,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10114,2.880887266,2.880887266,2.880887266,2.880887266,2.880887266,2.880887266,2.880887266,2.880887266,2.880887266,2.880887266,2.880887266,2.880887266,2.880887266,2.880887266,2.880887266,2.880887266,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10115,2.927570286,2.927570286,2.927570286,2.927570286,2.927570286,2.927570286,2.927570286,2.927570286,2.927570286,2.927570286,2.927570286,2.927570286,2.927570286,2.927570286,2.927570286,2.927570286,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10116,3.295371894,3.295371894,3.295371894,3.295371894,3.295371894,3.295371894,3.295371894,3.295371894,3.295371894,3.295371894,3.295371894,3.295371894,3.295371894,3.295371894,3.295371894,3.295371894,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10117,3.868746415,3.868746415,3.868746415,3.868746415,3.868746415,3.868746415,3.868746415,3.868746415,3.868746415,3.868746415,3.868746415,3.868746415,3.868746415,3.868746415,3.868746415,3.868746415,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10118,3.944479787,3.944479787,3.944479787,3.944479787,3.944479787,3.944479787,3.944479787,3.944479787,3.944479787,3.944479787,3.944479787,3.944479787,3.944479787,3.944479787,3.944479787,3.944479787,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10119,4.169141504,4.169141504,4.169141504,4.169141504,4.169141504,4.169141504,4.169141504,4.169141504,4.169141504,4.169141504,4.169141504,4.169141504,4.169141504,4.169141504,4.169141504,4.169141504,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10120,4.377394684,4.377394684,4.377394684,4.377394684,4.377394684,4.377394684,4.377394684,4.377394684,4.377394684,4.377394684,4.377394684,4.377394684,4.377394684,4.377394684,4.377394684,4.377394684,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10121,4.339427763,4.339427763,4.339427763,4.339427763,4.339427763,4.339427763,4.339427763,4.339427763,4.339427763,4.339427763,4.339427763,4.339427763,4.339427763,4.339427763,4.339427763,4.339427763,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10122,4.517618634,4.517618634,4.517618634,4.517618634,4.517618634,4.517618634,4.517618634,4.517618634,4.517618634,4.517618634,4.517618634,4.517618634,4.517618634,4.517618634,4.517618634,4.517618634,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10123,4.529643788,4.529643788,4.529643788,4.529643788,4.529643788,4.529643788,4.529643788,4.529643788,4.529643788,4.529643788,4.529643788,4.529643788,4.529643788,4.529643788,4.529643788,4.529643788,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10124,4.536920319,4.536920319,4.536920319,4.536920319,4.536920319,4.536920319,4.536920319,4.536920319,4.536920319,4.536920319,4.536920319,4.536920319,4.536920319,4.536920319,4.536920319,4.536920319,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10201,8.443439162,8.443439162,8.443439162,8.443439162,8.443439162,8.443439162,8.443439162,8.443439162,8.443439162,8.443439162,8.443439162,8.443439162,8.443439162,8.443439162,8.443439162,8.443439162,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10202,8.430679591,8.430679591,8.430679591,8.430679591,8.430679591,8.430679591,8.430679591,8.430679591,8.430679591,8.430679591,8.430679591,8.430679591,8.430679591,8.430679591,8.430679591,8.430679591,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10203,8.076480258,8.076480258,8.076480258,8.076480258,8.076480258,8.076480258,8.076480258,8.076480258,8.076480258,8.076480258,8.076480258,8.076480258,8.076480258,8.076480258,8.076480258,8.076480258,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10204,5.754611086,5.754611086,5.754611086,5.754611086,5.754611086,5.754611086,5.754611086,5.754611086,5.754611086,5.754611086,5.754611086,5.754611086,5.754611086,5.754611086,5.754611086,5.754611086,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10205,4.701492347,4.701492347,4.701492347,4.701492347,4.701492347,4.701492347,4.701492347,4.701492347,4.701492347,4.701492347,4.701492347,4.701492347,4.701492347,4.701492347,4.701492347,4.701492347,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10206,5.739847876,5.739847876,5.739847876,5.739847876,5.739847876,5.739847876,5.739847876,5.739847876,5.739847876,5.739847876,5.739847876,5.739847876,5.739847876,5.739847876,5.739847876,5.739847876,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10207,7.508662998,7.508662998,7.508662998,7.508662998,7.508662998,7.508662998,7.508662998,7.508662998,7.508662998,7.508662998,7.508662998,7.508662998,7.508662998,7.508662998,7.508662998,7.508662998,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10208,6.160838943,6.160838943,6.160838943,6.160838943,6.160838943,6.160838943,6.160838943,6.160838943,6.160838943,6.160838943,6.160838943,6.160838943,6.160838943,6.160838943,6.160838943,6.160838943,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10209,5.207981427,5.207981427,5.207981427,5.207981427,5.207981427,5.207981427,5.207981427,5.207981427,5.207981427,5.207981427,5.207981427,5.207981427,5.207981427,5.207981427,5.207981427,5.207981427,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10210,5.205827151,5.205827151,5.205827151,5.205827151,5.205827151,5.205827151,5.205827151,5.205827151,5.205827151,5.205827151,5.205827151,5.205827151,5.205827151,5.205827151,5.205827151,5.205827151,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10211,5.220564629,5.220564629,5.220564629,5.220564629,5.220564629,5.220564629,5.220564629,5.220564629,5.220564629,5.220564629,5.220564629,5.220564629,5.220564629,5.220564629,5.220564629,5.220564629,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10212,4.12506733,4.12506733,4.12506733,4.12506733,4.12506733,4.12506733,4.12506733,4.12506733,4.12506733,4.12506733,4.12506733,4.12506733,4.12506733,4.12506733,4.12506733,4.12506733,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10213,4.064893779,4.064893779,4.064893779,4.064893779,4.064893779,4.064893779,4.064893779,4.064893779,4.064893779,4.064893779,4.064893779,4.064893779,4.064893779,4.064893779,4.064893779,4.064893779,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10214,4.09321497,4.09321497,4.09321497,4.09321497,4.09321497,4.09321497,4.09321497,4.09321497,4.09321497,4.09321497,4.09321497,4.09321497,4.09321497,4.09321497,4.09321497,4.09321497,90.53726733,90.53726733,90.53726733,90.53726733,90.53726733,89.962624,89.64436,89.962624,89.962624,89.962624,90.53726733,90.53726733,90.53726733,89.962624,89.962624,89.962624,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
