;,"2025 CEC Nonresidential TDV ($) factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/JLandsman - 10/21/2022 - ,,,https://willdan.box.com/s/r3420a99kzs1ee8ire1l13q722brqsqp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,Version ID: 2022 TDV 8_pct_gas_cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,10/25/22 - SAC - created combined NRes table from NRes 30 yr tabs of:  2025_TDV_8_pct_gas_cap_20221020.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,For use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
;,,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm
TABLE 2025NR_TDVbyCZandFuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10101,11.65029328,11.66888625,11.66260662,11.64176668,11.66248677,15.38539736,14.18802353,15.36238338,15.36281987,15.35646481,11.6395902,11.64966922,11.6396941,15.350999,15.34712881,15.37147449,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10102,8.17693617,8.191446946,8.186546042,8.170281629,8.186452504,11.37075056,10.46996173,11.35255601,11.35290109,11.34787686,8.168583011,8.176449127,8.168664099,11.34355567,11.34049595,11.35974332,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10103,6.574757296,6.587385051,6.583120123,6.568966295,6.583038724,6.758781838,6.198705617,6.746123779,6.746363856,6.742868472,6.567488102,6.574333456,6.567558667,6.739862192,6.737733525,6.751124037,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10104,6.495995176,6.508530362,6.504296699,6.490246626,6.504215896,6.542812278,5.998690968,6.530413483,6.530648642,6.527224851,6.488779268,6.495574442,6.488849317,6.524280146,6.522195078,6.535311325,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
