;,"2025 CEC Residential TDV ($) factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,E3/JLandsman - 10/21/2022 - ,,,https://willdan.box.com/s/r3420a99kzs1ee8ire1l13q722brqsqp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,Version ID: 2022 TDV 8_pct_gas_cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,10/25/22 - SAC - created combined Res table from Res 30 yr tabs of:  2025_TDV_8_pct_gas_cap_20221020.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,For use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
;,,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/kWh,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm,$/thrm
TABLE 2025Res_TDVbyCZandFuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10101,12.5850339,12.58936484,12.58775803,12.57642826,12.58836771,16.21634089,15.19965677,16.19060843,16.19111697,16.1885435,12.57732128,12.57876613,12.57113604,16.18004944,16.16599249,16.2353965,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10102,9.194743797,9.198401808,9.197044663,9.187475274,9.197559611,12.30439169,11.51028438,12.28271588,12.28314425,12.28097648,9.188229543,9.189449894,9.183005341,12.27382149,12.26198058,12.32044324,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10103,7.630881804,7.634229409,7.632987427,7.624230062,7.633458678,7.810400512,7.271986246,7.793384925,7.793721196,7.792019489,7.624920326,7.626037123,7.620139432,7.786402795,7.777107644,7.823001027,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10104,7.554003317,7.557335663,7.556099342,7.547381896,7.556568445,7.599955611,7.073514955,7.583158254,7.583490212,7.58181033,7.548069014,7.54918072,7.543309912,7.576265671,7.567089734,7.612394522,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
