// This table pasted into App5-4A_SpaceBySpace-T24N_2022.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE SpaceFunctionData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FuncType,VentSpcFuncDef,OccDens,OccVentFrac,OccSensHtRt,OccLatHtRt,RecptPwrDens,HotWtrHrlyUsePerPers,BaseWtrHtrType,IntLPDReg,AllowType1,AllowArea1,AllowType2,AllowArea2,AllowType3,AllowArea3,ClgUMLHLimit,HtgUMLHLimit,GasEqpPwrDens,CommRfrgEPD,IllumSetptMin,IllumSetptMax,IllumSetptAdjFacPri,IllumSetptAdjFacSec,FuncSchGrp,OccSchRef,RecptSchRef,HotWtrHtgSchRef,IntLtgRegSchRef,GasEqpSchRef,CommRfrgEqpSchRef,InfSchRef,AvailSchRef,HtgTstatSchRef,ClgTstatSchRef,ElevSchRef,EscalSchRef,WtrHtrTempSetptSchRef,SpcFuncIdx,HlthcareEligible,ExcludeFromPredominantCalc,FuncSchGrpIsEditable,NRCCPRFSpaceFunction,NRCCPRFSpaceFunctionTailored,NRCCPRFSpaceFunctionTailoredRes,PVBatteryBldgType,; ,,
,//SpaceBySpace,,# per 1000 ft²,,Btu / occupant,Btu / occupant,Load W/ft²,Gal/h per person,,W/ft²,,W/ft²,,W/ft²,,W/ft²,Hrs,Hrs,Btu/h-ft2,W/ft2,lux,lux,,,,Occupancy Schedule,Receptacle Schedule,Hot Water Schedule,Regulated Lighting Schedule,Gas Equipment Schedule,Refrigeration Schedule,Infiltration Schedule,Availability Sched,Heating Setpoint Schedule (F),Cooling Setpoint Schedule (F),Elevator Schedule,Escalator Schedule,Water Heater Temperature Setpoint Schedule,Space Function Index,Is Eligible for Healthcare Exemption,Excluded From Predominant Calculation,FuncSchGrp is Editable,Mapping from Spc:SpcFunc to NRCC PRF,Mapping from Spc:SpcFunc to NRCC PRF,Mapping from Spc:SpcFunc to NRCC PRF Tailored IsResCommon = 1,"Bldg types present in 2022 std tables 140.10-A,B",; ,,
,Aging Eye/Low-vision (Corridor Area),General - Corridors,10,0.5,250,250,0,0,Electric,0.7,Decorative/Display,0.3,None,0,None,0,150,150,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,302,1,1,0,LowVisionCorridorArea,NA,NA,Other,; ,,
,Aging Eye/Low-vision (Dining),Food Service - Cafeteria/fast-food dining,66.67,0.5,275,275,0.5,0.578,Gas,0.8,Decorative/Display,0.3,TunableWhiteOrDimToWarm,0.1,None,0,150,150,0,0.25,50,200,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,303,1,0,0,LowVisionDiningArea,NA,NA,Other,; ,"std tables 140.10-A,B Bldg Type mapping",
,"Aging Eye/Low-vision (Lobby, Main Entry)",Office - Main entry lobbies,66.67,0.5,250,250,0.5,0.09,Electric,0.85,Decorative/Display,0.3,TransitionLightingOffAtNight,0.95,TunableWhiteOrDimToWarm,0.1,150,150,0,0,50,200,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,304,1,0,0,LowVisionLobbyMainEntry,NA,NA,Other,; ,Grocery,Grocery
,Aging Eye/Low-vision (Lounge/Waiting Area),General - Break rooms,66.67,0.5,275,275,1,0.09,Gas,0.8,Decorative/Display,0.3,TunableWhiteOrDimToWarm,0.1,None,0,150,150,0,0,40,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,305,1,0,0,LowVisionWaitingArea,NA,NA,Other,; ,Highrise Multifamily,Highrise Multifamily
,Aging Eye/Low-vision (Multipurpose Room),General - Conference/meeting,66.67,0.5,245,155,1,0.09,Electric,0.85,Decorative/Display,0.3,TunableWhiteOrDimToWarm,0.1,None,0,150,150,0,0,30,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,306,1,0,0,LowVisionMultipurposeRoom,NA,NA,Other,; ,"Office, Financial, Unleased Tenant","Office, Financial Institutions, Unleased Tenant Space"
,Aging Eye/Low-vision (Religious Worship Area),Assembly - Places of religious worship,142.86,0.5,245,105,0.5,0.09,Electric,1,Decorative/Display,0.3,TunableWhiteOrDimToWarm,0.1,None,0,150,150,0,0,200,1500,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,307,1,0,0,LowVisionReligiousWorshipArea,NA,NA,Other,; ,Retail,Retail
,Aging Eye/Low-vision (Restroom),"Exhaust - Toilets, public",10,0.5,250,250,0,0,Gas,1,Decorative/Display,0.2,None,0,None,0,150,150,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,308,1,1,0,LowVisionRestroom,NA,NA,Other,; ,School,School
,Aging Eye/Low-vision (Stairwell),General - Corridors,10,0.5,250,250,0,0,Electric,0.8,Decorative/Display,0.3,None,0,None,0,150,150,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,309,1,1,0,LowVisionStairwell,NA,NA,Other,; ,Warehouse,Warehouse
,Audience Seating Area,Assembly - Auditorium seating area,142.86,0.5,245,105,1,0.09,Electric,0.5,Decorative/Display,0.25,None,0,None,0,150,150,0,0,50,1000,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,310,1,0,0,AudienceSeatingArea,NA,NA,Other,; ,Other,"Auditorium, Convention Center, Hotel/Motel, Library, Medical Office Building/Clinic, Restaurant, Theater"
