;,; Use with 2009 calendar year and updated (2022) CEC weather data,,,,,,,,,,,,,,,,
;,"; Version ID: Long Run Marginal Emissions Factors Deep_Decarb, Elec Non-Res (15 Year)",,,,,,,,,,,,,,,,
;,; MoDaHr,Electricity Long Run Emissions (CZ1; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ2; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ3; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ4; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ5; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ6; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ7; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ8; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ9; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ10; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ11; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ12; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ13; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ14; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ15; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ16; tonnes CO2-e/kWh)
TABLE C02ElecByCZ,,,,,,,,,,,,,,,,,
,MoDaHr,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10101,0.000270202,0.000270202,0.000270202,0.000270202,0.000270202,0.000272563,0.000271814,0.000272563,0.000272563,0.000272563,0.000270202,0.000270202,0.000270202,0.000272563,0.000272563,0.000272563
,10102,0.000269828,0.000269828,0.000269828,0.000269828,0.000269828,0.000272185,0.000271438,0.000272185,0.000272185,0.000272185,0.000269828,0.000269828,0.000269828,0.000272185,0.000272185,0.000272185
,10103,0.000269144,0.000269144,0.000269144,0.000269144,0.000269144,0.000271496,0.00027075,0.000271496,0.000271496,0.000271496,0.000269144,0.000269144,0.000269144,0.000271496,0.000271496,0.000271496
,10104,0.00026009,0.00026009,0.00026009,0.00026009,0.00026009,0.000262362,0.000261642,0.000262362,0.000262362,0.000262362,0.00026009,0.00026009,0.00026009,0.000262362,0.000262362,0.000262362
,10105,0.000267321,0.000267321,0.000267321,0.000267321,0.000267321,0.000269656,0.000268916,0.000269656,0.000269656,0.000269656,0.000267321,0.000267321,0.000267321,0.000269656,0.000269656,0.000269656
,10106,0.000271409,0.000271409,0.000271409,0.000271409,0.000271409,0.00027378,0.000273028,0.00027378,0.00027378,0.00027378,0.000271409,0.000271409,0.000271409,0.00027378,0.00027378,0.00027378
,10107,0.000271746,0.000271746,0.000271746,0.000271746,0.000271746,0.00027412,0.000273367,0.00027412,0.00027412,0.00027412,0.000271746,0.000271746,0.000271746,0.00027412,0.00027412,0.00027412
,10108,0.00027159,0.00027159,0.00027159,0.00027159,0.00027159,0.000273963,0.000273211,0.000273963,0.000273963,0.000273963,0.00027159,0.00027159,0.00027159,0.000273963,0.000273963,0.000273963
,10109,0.000265819,0.000265819,0.000265819,0.000265819,0.000265819,0.000268141,0.000267404,0.000268141,0.000268141,0.000268141,0.000265819,0.000265819,0.000265819,0.000268141,0.000268141,0.000268141
,10110,0.000222287,0.000222287,0.000222287,0.000222287,0.000222287,0.000224229,0.000223613,0.000224229,0.000224229,0.000224229,0.000222287,0.000222287,0.000222287,0.000224229,0.000224229,0.000224229
,10111,0.000205639,0.000205639,0.000205639,0.000205639,0.000205639,0.000207436,0.000206866,0.000207436,0.000207436,0.000207436,0.000205639,0.000205639,0.000205639,0.000207436,0.000207436,0.000207436
,10112,0.000198276,0.000198276,0.000198276,0.000198276,0.000198276,0.000200008,0.000199459,0.000200008,0.000200008,0.000200008,0.000198276,0.000198276,0.000198276,0.000200008,0.000200008,0.000200008
,10113,0.000181383,0.000181383,0.000181383,0.000181383,0.000181383,0.000182968,0.000182465,0.000182968,0.000182968,0.000182968,0.000181383,0.000181383,0.000181383,0.000182968,0.000182968,0.000182968
,10114,0.00019016,0.00019016,0.00019016,0.00019016,0.00019016,0.000191822,0.000191295,0.000191822,0.000191822,0.000191822,0.00019016,0.00019016,0.00019016,0.000191822,0.000191822,0.000191822
,10115,0.00018391,0.00018391,0.00018391,0.00018391,0.00018391,0.000185517,0.000185007,0.000185517,0.000185517,0.000185517,0.00018391,0.00018391,0.00018391,0.000185517,0.000185517,0.000185517
,10116,0.000212572,0.000212572,0.000212572,0.000212572,0.000212572,0.00021443,0.00021384,0.00021443,0.00021443,0.00021443,0.000212572,0.000212572,0.000212572,0.00021443,0.00021443,0.00021443
,10117,0.000273829,0.000273829,0.000273829,0.000273829,0.000273829,0.000276221,0.000275463,0.000276221,0.000276221,0.000276221,0.000273829,0.000273829,0.000273829,0.000276221,0.000276221,0.000276221
,10118,0.000275234,0.000275234,0.000275234,0.000275234,0.000275234,0.000277638,0.000276876,0.000277638,0.000277638,0.000277638,0.000275234,0.000275234,0.000275234,0.000277638,0.000277638,0.000277638
,10119,0.000275221,0.000275221,0.000275221,0.000275221,0.000275221,0.000277626,0.000276863,0.000277626,0.000277626,0.000277626,0.000275221,0.000275221,0.000275221,0.000277626,0.000277626,0.000277626
,10120,0.000275163,0.000275163,0.000275163,0.000275163,0.000275163,0.000277567,0.000276805,0.000277567,0.000277567,0.000277567,0.000275163,0.000275163,0.000275163,0.000277567,0.000277567,0.000277567
,10121,0.000275025,0.000275025,0.000275025,0.000275025,0.000275025,0.000277428,0.000276666,0.000277428,0.000277428,0.000277428,0.000275025,0.000275025,0.000275025,0.000277428,0.000277428,0.000277428
,10122,0.000271128,0.000271128,0.000271128,0.000271128,0.000271128,0.000273496,0.000272745,0.000273496,0.000273496,0.000273496,0.000271128,0.000271128,0.000271128,0.000273496,0.000273496,0.000273496
,10123,0.000253843,0.000253843,0.000253843,0.000253843,0.000253843,0.00025606,0.000255357,0.00025606,0.00025606,0.00025606,0.000253843,0.000253843,0.000253843,0.00025606,0.00025606,0.00025606
,10124,0.000241157,0.000241157,0.000241157,0.000241157,0.000241157,0.000243264,0.000242596,0.000243264,0.000243264,0.000243264,0.000241157,0.000241157,0.000241157,0.000243264,0.000243264,0.000243264
,10201,0.00021548,0.00021548,0.00021548,0.00021548,0.00021548,0.000217363,0.000216766,0.000217363,0.000217363,0.000217363,0.00021548,0.00021548,0.00021548,0.000217363,0.000217363,0.000217363
,10202,0.000208397,0.000208397,0.000208397,0.000208397,0.000208397,0.000210217,0.00020964,0.000210217,0.000210217,0.000210217,0.000208397,0.000208397,0.000208397,0.000210217,0.000210217,0.000210217
,10203,0.000217849,0.000217849,0.000217849,0.000217849,0.000217849,0.000219753,0.000219149,0.000219753,0.000219753,0.000219753,0.000217849,0.000217849,0.000217849,0.000219753,0.000219753,0.000219753
,10204,0.000241926,0.000241926,0.000241926,0.000241926,0.000241926,0.000244039,0.000243369,0.000244039,0.000244039,0.000244039,0.000241926,0.000241926,0.000241926,0.000244039,0.000244039,0.000244039
,10205,0.000266928,0.000266928,0.000266928,0.000266928,0.000266928,0.00026926,0.00026852,0.00026926,0.00026926,0.00026926,0.000266928,0.000266928,0.000266928,0.00026926,0.00026926,0.00026926
,10206,0.00027412,0.00027412,0.00027412,0.00027412,0.00027412,0.000276515,0.000275756,0.000276515,0.000276515,0.000276515,0.00027412,0.00027412,0.00027412,0.000276515,0.000276515,0.000276515
,10207,0.000274517,0.000274517,0.000274517,0.000274517,0.000274517,0.000276915,0.000276154,0.000276915,0.000276915,0.000276915,0.000274517,0.000274517,0.000274517,0.000276915,0.000276915,0.000276915
,10208,0.000274374,0.000274374,0.000274374,0.000274374,0.000274374,0.000276771,0.00027601,0.000276771,0.000276771,0.000276771,0.000274374,0.000274374,0.000274374,0.000276771,0.000276771,0.000276771
,10209,0.000278167,0.000278167,0.000278167,0.000278167,0.000278167,0.000274868,0.000274581,0.000274868,0.000274868,0.000274868,0.000278167,0.000278167,0.000278167,0.000274868,0.000274868,0.000274868
,10210,0.000230454,0.000230454,0.000230454,0.000230454,0.000230454,0.00022772,0.000227483,0.00022772,0.00022772,0.00022772,0.000230454,0.000230454,0.000230454,0.00022772,0.00022772,0.00022772
,10211,0.000189587,0.000189587,0.000189587,0.000189587,0.000189587,0.000187339,0.000187143,0.000187339,0.000187339,0.000187339,0.000189587,0.000189587,0.000189587,0.000187339,0.000187339,0.000187339
,10212,0.000181272,0.000181272,0.000181272,0.000181272,0.000181272,0.000179122,0.000178935,0.000179122,0.000179122,0.000179122,0.000181272,0.000181272,0.000181272,0.000179122,0.000179122,0.000179122
,10213,0.000176635,0.000176635,0.000176635,0.000176635,0.000176635,0.00017454,0.000174358,0.00017454,0.00017454,0.00017454,0.000176635,0.000176635,0.000176635,0.00017454,0.00017454,0.00017454
,10214,0.000180741,0.000180741,0.000180741,0.000180741,0.000180741,0.000178597,0.000178411,0.000178597,0.000178597,0.000178597,0.000180741,0.000180741,0.000180741,0.000178597,0.000178597,0.000178597
,10215,0.000177678,0.000177678,0.000177678,0.000177678,0.000177678,0.000177678,0.000177678,0.000177678,0.000177678,0.000177678,0.000177678,0.000177678,0.000177678,0.000177678,0.000177678,0.000177678
,10216,0.000181285,0.000181285,0.000181285,0.000181285,0.000181285,0.000181285,0.000181285,0.000181285,0.000181285,0.000181285,0.000181285,0.000181285,0.000181285,0.000181285,0.000181285,0.000181285
,10217,0.000283317,0.000283317,0.000283317,0.000283317,0.000283317,0.000283317,0.000283317,0.000283317,0.000283317,0.000283317,0.000283317,0.000283317,0.000283317,0.000283317,0.000283317,0.000283317
,10218,0.000288109,0.000288109,0.000288109,0.000288109,0.000288109,0.000288109,0.000288109,0.000288109,0.000288109,0.000288109,0.000288109,0.000288109,0.000288109,0.000288109,0.000288109,0.000288109
,10219,0.000288117,0.000288117,0.000288117,0.000288117,0.000288117,0.000288117,0.000288117,0.000288117,0.000288117,0.000288117,0.000288117,0.000288117,0.000288117,0.000288117,0.000288117,0.000288117
,10220,0.000288136,0.000288136,0.000288136,0.000288136,0.000288136,0.000288136,0.000288136,0.000288136,0.000288136,0.000288136,0.000288136,0.000288136,0.000288136,0.000288136,0.000288136,0.000288136
,10221,0.000289994,0.000289994,0.000289994,0.000289994,0.000289994,0.000286554,0.000286255,0.000286554,0.000286554,0.000286554,0.000289994,0.000289994,0.000289994,0.000286554,0.000286554,0.000286554
,10222,0.000288849,0.000288849,0.000288849,0.000288849,0.000288849,0.000285423,0.000285125,0.000285423,0.000285423,0.000285423,0.000288849,0.000288849,0.000288849,0.000285423,0.000285423,0.000285423
,10223,0.000278383,0.000278383,0.000278383,0.000278383,0.000278383,0.000280815,0.000280044,0.000280815,0.000280815,0.000280815,0.000278383,0.000278383,0.000278383,0.000280815,0.000280815,0.000280815
,10224,0.000277247,0.000277247,0.000277247,0.000277247,0.000277247,0.000279669,0.000278901,0.000279669,0.000279669,0.000279669,0.000277247,0.000277247,0.000277247,0.000279669,0.000279669,0.000279669
,10301,0.000271255,0.000271255,0.000271255,0.000271255,0.000271255,0.000273625,0.000272873,0.000273625,0.000273625,0.000273625,0.000271255,0.000271255,0.000271255,0.000273625,0.000273625,0.000273625
,10302,0.000263854,0.000263854,0.000263854,0.000263854,0.000263854,0.00026616,0.000265428,0.00026616,0.00026616,0.00026616,0.000263854,0.000263854,0.000263854,0.00026616,0.00026616,0.00026616
,10303,0.000263149,0.000263149,0.000263149,0.000263149,0.000263149,0.000265448,0.000264719,0.000265448,0.000265448,0.000265448,0.000263149,0.000263149,0.000263149,0.000265448,0.000265448,0.000265448
,10304,0.000263735,0.000263735,0.000263735,0.000263735,0.000263735,0.00026604,0.000265309,0.00026604,0.00026604,0.00026604,0.000263735,0.000263735,0.000263735,0.00026604,0.00026604,0.00026604
,10305,0.000275216,0.000275216,0.000275216,0.000275216,0.000275216,0.000277621,0.000276858,0.000277621,0.000277621,0.000277621,0.000275216,0.000275216,0.000275216,0.000277621,0.000277621,0.000277621
,10306,0.00028922,0.00028922,0.00028922,0.00028922,0.00028922,0.000291747,0.000290946,0.000291747,0.000291747,0.000291747,0.00028922,0.00028922,0.00028922,0.000291747,0.000291747,0.000291747
,10307,0.000292909,0.000292909,0.000292909,0.000292909,0.000292909,0.000295468,0.000294657,0.000295468,0.000295468,0.000295468,0.000292909,0.000292909,0.000292909,0.000295468,0.000295468,0.000295468
,10308,0.000292819,0.000292819,0.000292819,0.000292819,0.000292819,0.000295377,0.000294565,0.000295377,0.000295377,0.000295377,0.000292819,0.000292819,0.000292819,0.000295377,0.000295377,0.000295377
,10309,7.60E-05,7.60E-05,7.60E-05,7.60E-05,7.60E-05,7.66E-05,7.64E-05,7.66E-05,7.66E-05,7.66E-05,7.60E-05,7.60E-05,7.60E-05,7.66E-05,7.66E-05,7.66E-05
,10310,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.52E-06,4.56E-06,4.54E-06,4.56E-06,4.56E-06,4.56E-06,4.52E-06,4.52E-06,4.52E-06,4.56E-06,4.56E-06,4.56E-06
,10311,1.64E-07,1.64E-07,1.64E-07,1.64E-07,1.64E-07,1.65E-07,1.65E-07,1.65E-07,1.65E-07,1.65E-07,1.64E-07,1.64E-07,1.64E-07,1.65E-07,1.65E-07,1.65E-07
,10312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10314,3.29E-07,3.29E-07,3.29E-07,3.29E-07,3.29E-07,3.32E-07,3.31E-07,3.32E-07,3.32E-07,3.32E-07,3.29E-07,3.29E-07,3.29E-07,3.32E-07,3.32E-07,3.32E-07
