;,CEC Nonresidential ACM Ruleset,,,,,
;,,,,,,
;,TABLE NAME:,,,,,
;,,IlluminanceLevelLPD,,,,
;,,,,,,
;,MODIFICATION HISTORY:,,,,,
;,,Date,Name,Purpose,,
;,,7/21/2015,L. Hovee,Initial ruleset setup,,
;,,11/18/2021,J. Peng,2022 Ruleset Updates,,
;,,,,,,
;,Standards/ACM Reference:,,,,,
;,,TABLE 140.6-G - Illuminance Level Power Density Values,,,,
;,,,,,,
;,Notes:,,,,,
;,,,,,,
;,,,,,,
;,Syntax Examples:,,,,,
;,,"IlluminanceLevelLPD.LPD(IllumLevel=u:TMGenIlmRnd, RCRCat=u:RCRCat)",,,,
;,,,,,,
;,,,,,,
; ####################################  Start of Table ####################################,,,,,,
,TABLE IlluminanceLevelLPD,,,,,
,,IllumLevel,LPD,LPD,LPD,LPD
,,RCRCat=,RCRCat1,RCRCat2,RCRCat3,RCRCat4
;,,(Lux),(<=2.0),(<=3.5),(<=7.0),(>7.0)
,,150,0.35,0.4,0.5,0.65
,,200,0.4,0.5,0.65,0.85
,,300,0.55,0.7,0.85,1.2
,,400,0.65,0.8,1.05,1.25
,,500,0.8,0.9,1.25,1.55
,,600,0.9,1.05,1.4,2
,ENDTABLE,,,,,
