;,CEC 2013 Nonresidential ACM Ruleset,,,,,,,,,,
;,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,
;,,PowerAdjustmentFactors,,,,,,,,,
;,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,
;,,12/6/2012,L. Hovee,Initial ruleset setup,,,,,,,
;,,6/3/2013,L. Hovee,Table Exists in RuleList 'InteriorLighting.rule' - Noted Here,,,,,,,
;,,,,,,,,,,,
;,Standards/ACM Reference:,,,,,,,,,,
;,,TABLE 140.6-A - Power Adjustment Factors,,,,,,,,,
;,,,,,,,,,,,
;,Notes:,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,
;,,PowerAdjustmentFactors.PAF(PAFCreditType=u:IntLtgSys:PAFCreditType),,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,
,TABLE PAFs,,,,,,,,,,
,,PAFCredType,PAF,,,,,,,,
,,PartialOnOccupantSensingControl,0.20,,,,,,,,
,,OccupantSensingControls-1to125SF,0.40,,,,,,,,
,,OccupantSensingControls-126to250SF,0.30,,,,,,,,
,,OccupantSensingControls-251to500SF,0.20,,,,,,,,
,,ManualDimming,0.10,,,,,,,,
,,MultisceneProgrammableControls,0.20,,,,,,,,
,,DemandResponsiveControl,0.05,,,,,,,,
,,CombinedManualDimmingPlusPartialOnOccupantSensingControl,0.25,,,,,,,,
,ENDTABLE,,,,,,,,,,
,,,,,,,,,,,
