;,2025 Energy Code: Long-term System Cost (LSC) NEM3 Hourly Factors,,,,,,,,,,,,,,,
;,Source:,,E3 via CEC  ~4/5/23:  PV_Export_Factors_20221209.xlsx,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Last modified:,,05/16/23 - SAC - converted into look-up table for CBECC(-Res) rulesets,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Electricity TDV (CZ1; 30-yr PV$/kWh),Electricity TDV (CZ2; 30-yr PV$/kWh),Electricity TDV (CZ3; 30-yr PV$/kWh),Electricity TDV (CZ4; 30-yr PV$/kWh),Electricity TDV (CZ5; 30-yr PV$/kWh),Electricity TDV (CZ6; 30-yr PV$/kWh),Electricity TDV (CZ7; 30-yr PV$/kWh),Electricity TDV (CZ8; 30-yr PV$/kWh),Electricity TDV (CZ9; 30-yr PV$/kWh),Electricity TDV (CZ10; 30-yr PV$/kWh),Electricity TDV (CZ11; 30-yr PV$/kWh),Electricity TDV (CZ12; 30-yr PV$/kWh),Electricity TDV (CZ13; 30-yr PV$/kWh),Electricity TDV (CZ14; 30-yr PV$/kWh),Electricity TDV (CZ15; 30-yr PV$/kWh),Electricity TDV (CZ16; 30-yr PV$/kWh)
; MoDaHr,,,,,,,,,,,,,,,,
; CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10101,6.564369977,6.564369977,6.564369977,6.564369977,6.564369977,9.242229229,9.242229229,9.242229229,9.242229229,9.242229229,6.564369977,6.564369977,6.564369977,9.242229229,9.242229229,9.242229229
10102,3.872040253,3.872040253,3.872040253,3.872040253,3.872040253,6.172963543,6.172963543,6.172963543,6.172963543,6.172963543,3.872040253,3.872040253,3.872040253,6.172963543,6.172963543,6.172963543
10103,2.630131152,2.630131152,2.630131152,2.630131152,2.630131152,2.647035104,2.647035104,2.647035104,2.647035104,2.647035104,2.630131152,2.630131152,2.630131152,2.647035104,2.647035104,2.647035104
10104,2.569079671,2.569079671,2.569079671,2.569079671,2.569079671,2.481922706,2.481922706,2.481922706,2.481922706,2.481922706,2.569079671,2.569079671,2.569079671,2.481922706,2.481922706,2.481922706
10105,2.524049687,2.524049687,2.524049687,2.524049687,2.524049687,2.452734883,2.452734883,2.452734883,2.452734883,2.452734883,2.524049687,2.524049687,2.524049687,2.452734883,2.452734883,2.452734883
10106,2.571843065,2.571843065,2.571843065,2.571843065,2.571843065,2.500961418,2.500961418,2.500961418,2.500961418,2.500961418,2.571843065,2.571843065,2.571843065,2.500961418,2.500961418,2.500961418
10107,3.388685887,3.388685887,3.388685887,3.388685887,3.388685887,3.232090211,3.232090211,3.232090211,3.232090211,3.232090211,3.388685887,3.388685887,3.388685887,3.232090211,3.232090211,3.232090211
10108,2.603404453,2.603404453,2.603404453,2.603404453,2.603404453,2.491939461,2.491939461,2.491939461,2.491939461,2.491939461,2.603404453,2.603404453,2.603404453,2.491939461,2.491939461,2.491939461
