;,;,"2022 CEC Source Energy factors by climate zone, fuel and hour  --  Policy Compliant (Deep Decarb)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Source:,,E3/BConlon - 10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Last modified:,,SAC - 11/16/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,;,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
;,; MoDaHr,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm
TABLE SrcbyCZandFuel_CH4Leak_20yr_Res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10101,4.657468737,4.657468737,4.657468737,4.657468737,4.657468737,4.698158785,4.685251643,4.698158785,4.698158785,4.698158785,4.657468737,4.657468737,4.657468737,4.698158785,4.698158785,4.698158785,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10102,4.650890859,4.650890859,4.650890859,4.650890859,4.650890859,4.691523439,4.678634526,4.691523439,4.691523439,4.691523439,4.650890859,4.650890859,4.650890859,4.691523439,4.691523439,4.691523439,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10103,4.645150265,4.645150265,4.645150265,4.645150265,4.645150265,4.685732692,4.672859688,4.685732692,4.685732692,4.685732692,4.645150265,4.645150265,4.645150265,4.685732692,4.685732692,4.685732692,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10104,4.557205899,4.557205899,4.557205899,4.557205899,4.557205899,4.597019999,4.584390713,4.597019999,4.597019999,4.597019999,4.557205899,4.557205899,4.557205899,4.597019999,4.597019999,4.597019999,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
