;,;,"2022 CEC RESIDENTIAL TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Source:,,E3/BConlon - 12/4/2019 - electricity TDVs with 15% of the retail rate adder shaped based on the hourly avoided cost components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,,,updated Elec & NatGas multipliers from E3/MS 4/22/2020 to incl. methane leakage impacts with a 20-yr GWP - 2022_TDV_Source_Energy_CH4_Leak_20yr_15RA_20200422.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Last modified:,,SAC - 4/22/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,;,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
;,; MoDaHr,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm
TABLE TDVbyCZandFuel_Pol-15_CH4Leak_20yr_Res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10101,28.66444149,28.40328305,28.58936499,28.4450609,28.68835532,28.41168738,28.46339246,28.05885033,28.02844904,28.02085238,28.45192087,28.44963247,28.37429145,27.86232438,27.92219352,28.99656584,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10102,28.64502509,28.38392324,28.56996486,28.42569204,28.66893373,28.38626624,28.43798873,28.03352983,28.00313721,27.99554272,28.43255052,28.43026262,28.35493793,27.83705993,27.896912,28.97097789,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10103,28.57535616,28.3144574,28.50035431,28.35619371,28.59924621,28.28371106,28.33552513,27.93138063,27.90102299,27.89343724,28.36304686,28.36076073,28.28549463,27.73513685,27.79492004,28.86774973,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10104,28.46111129,28.20054555,28.38620518,28.24222858,28.48497084,28.20104008,28.25292861,27.84903691,27.81870747,27.81112877,28.24907298,28.24678978,28.17161974,27.65297542,27.71270307,28.78453625,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
