TABLE RetlMedCECStd16050012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
BaseVAVTrmlUnit,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys5,Back_Space Thermal Zone,3233.274,646.655,1616.637,DualMaximum,,,,
BaseVAVTrmlUnit-2,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys5,Core_Retail Thermal Zone,20088.443,4306.851,10044.221,DualMaximum,,,,
BaseVAVTrmlUnit-3,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys5,Front_Retail Thermal Zone,1723.8,405.824,861.9,DualMaximum,,,,
BaseVAVTrmlUnit-4,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys5,Point_Of_Sale Thermal Zone,1714.81,405.825,857.405,DualMaximum,,,,
ENDTABLE,,,,,,,,,,,,
TABLE RetlMedCECStd16050012CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
BaseSys5 CoilClg,BaseSys5 CoilClg,DirectExpansion,BaseAirSys5,UNDEFINED,863067.92,900447.914,-99996,-99996,9.5,2,,
ENDTABLE,,,,,,,,,,,,
TABLE RetlMedCECStd16050012CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
BaseSys5 CoilHtg,BaseSys5 CoilHtg,HotWater,BaseAirSys5,UNDEFINED,119045.325,119045.325,5.95001,-99996,-99996,,,
BaseVAVReheatCoil,BaseVAVBox CoilHtg,HotWater,BaseAirSys5,Back_Space Thermal Zone,127241.725,127241.725,6.35967,-99996,-99996,,,
BaseVAVReheatCoil-2,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys5,Core_Retail Thermal Zone,438321.013,438321.013,21.90773,-99996,-99996,,,
BaseVAVReheatCoil-3,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys5,Front_Retail Thermal Zone,62131.587,62131.587,3.1054,-99996,-99996,,,
BaseVAVReheatCoil-4,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys5,Point_Of_Sale Thermal Zone,62119.537,62119.537,3.1048,-99996,-99996,,,
ENDTABLE,,,,,,,,,,,,
TABLE RetlMedCECStd16050012Fan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
BaseSys5 Fan,BaseSys5 Fan,VariableSpeedDrive,BaseAirSys5,UNDEFINED,30619.106,5765.156,0.62,StaticPressure,4,40,InAirStream,0.941
BaseSys5 ReliefFan,BaseRelief Fan,VariableSpeedDrive,BaseAirSys5,UNDEFINED,29390.95,0,0.5,StaticPressure,1,10,InAirStream,0.917
ENDTABLE,,,,,,,,,,,,
TABLE RetlMedCECStd16050012OACtrl,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,
;,,,,,,,,,,,,
BaseSys5 OACtrl,BaseSys5 OACtrl,DifferentialDryBulb,BaseAirSys5,Integrated,,,,,,,,
ENDTABLE,,,,,,,,,,,,
