TABLE WhseCECStd16080012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
Office_TU,BaseUnctrl TrmlUnit,Uncontrolled,BaseAirSys3,Zn_Office,2625.355,-99996,-99996,,,,,
FineStorage_TU,BaseUnctrl TrmlUnit-2,Uncontrolled,BaseAirSys9,Zn_FineStorage,6095.119,-99996,-99996,,,,,
BulkStorage_TU,BaseUnctrl TrmlUnit-3,Uncontrolled,BaseAirSys9-2,Zn_BulkStorage,27535.669,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,
TABLE WhseCECStd16080012CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
Office_CoilClg,BaseSys3 CoilClg,DirectExpansion,BaseAirSys3,n/a,72720.514,75870.084,-99996,-99996,11,1,,
ENDTABLE,,,,,,,,,,,,
TABLE WhseCECStd16080012CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
Office_CoilHtg,BaseSys3 CoilHtg,Furnace,BaseAirSys3,n/a,100980.938,100980.938,0,0.81,0.815,,,
FineStorage_CoilHtg,BaseSys9 CoilHtg,Furnace,BaseAirSys9,n/a,365656.263,365656.263,0,-99996,0.8,,,
BulkStorage_CoilHtg,BaseSys9 CoilHtg-2,Furnace,BaseAirSys9-2,n/a,1511443.375,1511443.375,0,-99996,0.8,,,
ENDTABLE,,,,,,,,,,,,
TABLE WhseCECStd16080012Fan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
Office_SupplyFan,BaseSys3 Fan,ConstantVolume,BaseAirSys3,n/a,2625.355,-99996,0.6,StaticPressure,3,3,InAirStream,0.895
FineStorage_SupplyFan,BaseSys9 Fan,ConstantVolume,BaseAirSys9,n/a,6095.119,-99996,0.6,StaticPressure,3,5,InAirStream,0.895
BulkStorage_SupplyFan,BaseSys9 Fan-2,ConstantVolume,BaseAirSys9-2,n/a,27535.669,-99996,0.62,StaticPressure,3.5,25,InAirStream,0.936
Office_ReliefFan,BaseRelief Fan,VariableSpeedDrive,BaseAirSys3,n/a,2497.867,0,0.4,StaticPressure,0.75,0.75,InAirStream,0.855
ENDTABLE,,,,,,,,,,,,
TABLE WhseCECStd16080012OACtrl,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,
;,,,,,,,,,,,,
Office_OACtrl,BaseSys3 OACtrl,DifferentialDryBulb,BaseAirSys3,Integrated,,,,,,,,
FineStorage_OACtrl,BaseSys9 OACtrl,NoEconomizer,BaseAirSys9,UNDEFINED,,,,,,,,
BulkStorage_OACtrl,BaseSys9 OACtrl-2,NoEconomizer,BaseAirSys9-2,UNDEFINED,,,,,,,,
ENDTABLE,,,,,,,,,,,,
