TABLE RetlLrgCECStd16090012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
Back_Office_TU,BaseVAVNoReheatTrmlUnit,VAVNoReheatBox,BaseAirSys7,Back_Office Zone,3652.141,1826.071,-99996,,,,,
Back_Shelving/Refrig_TU,BaseVAVNoReheatTrmlUnit-2,VAVNoReheatBox,BaseAirSys7-2,Back_Shelving/Refrig Zone,13083.066,6541.533,-99996,,,,,
Back_Storage_TU,BaseVAVNoReheatTrmlUnit-3,VAVNoReheatBox,BaseAirSys7-3,Back_Storage Zone,11569.915,5784.958,-99996,,,,,
Main_Entry_TU,BaseVAVNoReheatTrmlUnit-4,VAVNoReheatBox,BaseAirSys7-4,Main_Entry Zone,9378.713,4689.357,-99996,,,,,
Registers/Aisle_TU,BaseVAVNoReheatTrmlUnit-5,VAVNoReheatBox,BaseAirSys7-5,Registers/Aisle Zone,16780.412,8390.206,-99996,,,,,
Restroom_1_TU,BaseVAVNoReheatTrmlUnit-6,VAVNoReheatBox,BaseAirSys7-6,Restroom_1 Zone,3343.94,1671.97,-99996,,,,,
Restroom_2_TU,BaseVAVNoReheatTrmlUnit-7,VAVNoReheatBox,BaseAirSys7-7,Restroom_2 Zone,3345.802,1672.901,-99996,,,,,
Side_Entry_1_TU,BaseVAVNoReheatTrmlUnit-8,VAVNoReheatBox,BaseAirSys7-8,Side_Entry_1 Zone,9554.698,4777.349,-99996,,,,,
Side_Entry_2_TU,BaseVAVNoReheatTrmlUnit-9,VAVNoReheatBox,BaseAirSys7-9,Side_Entry_2 Zone,9910.024,4955.012,-99996,,,,,
Side_Shelving_East_TU,BaseVAVNoReheatTrmlUnit-10,VAVNoReheatBox,BaseAirSys7-10,Side_Shelving_East Zone,16776.964,8388.482,-99996,,,,,
Side_Shelving_West_TU,BaseVAVNoReheatTrmlUnit-11,VAVNoReheatBox,BaseAirSys7-11,Side_Shelving_West Zone,16689.056,8344.528,-99996,,,,,
Side_Storage_1_TU,BaseVAVNoReheatTrmlUnit-12,VAVNoReheatBox,BaseAirSys7-12,Side_Storage_1 Zone,10332.154,5166.077,-99996,,,,,
Side_Storage_2_TU,BaseVAVNoReheatTrmlUnit-13,VAVNoReheatBox,BaseAirSys7-13,Side_Storage_2 Zone,5396.278,2698.139,-99996,,,,,
ENDTABLE,,,,,,,,,,,,
TABLE RetlLrgCECStd16090012CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
