; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,
TABLE HighRiseRes10StoryCECStd190110012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
PropVentOnlyAirSys TrmlUnit,PropVentOnlyAirSys TrmlUnit,Uncontrolled,PropVentOnlyAirSys,Thermal Zone: F2-9 1-Bed N,38.4,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-2,PropVentOnlyAirSys TrmlUnit-2,Uncontrolled,PropVentOnlyAirSys-2,Thermal Zone: F2-9 1-Bed SE,38.4,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-3,PropVentOnlyAirSys TrmlUnit-3,Uncontrolled,PropVentOnlyAirSys-3,Thermal Zone: F2-9 1-Bed SW,38.4,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-4,PropVentOnlyAirSys TrmlUnit-4,Uncontrolled,PropVentOnlyAirSys-4,Thermal Zone: F2-9 2-Bed N Core,54.9,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-5,PropVentOnlyAirSys TrmlUnit-5,Uncontrolled,PropVentOnlyAirSys-5,Thermal Zone: F2-9 2-Bed NE,54.9,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-6,PropVentOnlyAirSys TrmlUnit-6,Uncontrolled,PropVentOnlyAirSys-6,Thermal Zone: F2-9 2-Bed NW,54.9,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-7,PropVentOnlyAirSys TrmlUnit-7,Uncontrolled,PropVentOnlyAirSys-7,Thermal Zone: F2-9 2-Bed SE,54.9,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-8,PropVentOnlyAirSys TrmlUnit-8,Uncontrolled,PropVentOnlyAirSys-8,Thermal Zone: F2-9 2-Bed SW,54.9,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-9,PropVentOnlyAirSys TrmlUnit-9,Uncontrolled,PropVentOnlyAirSys-9,Thermal Zone: F2-9 Studio N,31.2,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-10,PropVentOnlyAirSys TrmlUnit-10,Uncontrolled,PropVentOnlyAirSys-10,Thermal Zone: F10 1-Bed N,38.4,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-11,PropVentOnlyAirSys TrmlUnit-11,Uncontrolled,PropVentOnlyAirSys-11,Thermal Zone: F10 1-Bed SE,38.4,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-12,PropVentOnlyAirSys TrmlUnit-12,Uncontrolled,PropVentOnlyAirSys-12,Thermal Zone: F10 1-Bed SW,38.4,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-13,PropVentOnlyAirSys TrmlUnit-13,Uncontrolled,PropVentOnlyAirSys-13,Thermal Zone: F10 2-Bed N Core,54.9,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-14,PropVentOnlyAirSys TrmlUnit-14,Uncontrolled,PropVentOnlyAirSys-14,Thermal Zone: F10 2-Bed NE,54.9,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-15,PropVentOnlyAirSys TrmlUnit-15,Uncontrolled,PropVentOnlyAirSys-15,Thermal Zone: F10 2-Bed NW,54.9,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-16,PropVentOnlyAirSys TrmlUnit-16,Uncontrolled,PropVentOnlyAirSys-16,Thermal Zone: F10 2-Bed SE,54.9,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-17,PropVentOnlyAirSys TrmlUnit-17,Uncontrolled,PropVentOnlyAirSys-17,Thermal Zone: F10 2-Bed SW,54.9,-99996,-99996,,,,,,
PropVentOnlyAirSys TrmlUnit-18,PropVentOnlyAirSys TrmlUnit-18,Uncontrolled,PropVentOnlyAirSys-18,Thermal Zone: F10 Studio N,31.2,-99996,-99996,,,,,,
PropVAVBox TrmlUnit,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys6,Thermal Zone: F1 Business Center,426.577,85.315,213.288,DualMaximum,,,,,
PropVAVBox TrmlUnit-2,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys6,Thermal Zone: F1 Fitness Center,570.66,420,420,DualMaximum,,,,,
PropVAVBox TrmlUnit-3,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys6,Thermal Zone: F1 Leasing Office,190.046,38.009,95.023,DualMaximum,,,,,
PropVAVBox TrmlUnit-4,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys6,Thermal Zone: F1 Lounge,1702.891,340.578,851.446,DualMaximum,,,,,
PropVAVBox TrmlUnit-5,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys6,Thermal Zone: F1 Retail E Core,1191.72,396,595.86,DualMaximum,,,,,
PropVAVBox TrmlUnit-6,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys6,Thermal Zone: F1 Retail E Outer,1289.244,396,644.622,DualMaximum,,,,,
PropVAVBox TrmlUnit-7,BaseVAVBox TrmlUnit-7,VAVReheatBox,BaseAirSys6,Thermal Zone: F1 Retail W Core,1186.354,396,593.177,DualMaximum,,,,,
PropVAVBox TrmlUnit-8,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys6,Thermal Zone: F1 Retail W Outer,1179.141,396,589.571,DualMaximum,,,,,
PropVAVBox TrmlUnit-11,BaseVAVBox TrmlUnit-9,VAVReheatBox,BaseAirSys6-2,Thermal Zone: F2-9 Corridor,398.367,165,199.184,DualMaximum,,,,,
PropVAVBox TrmlUnit-12,BaseVAVBox TrmlUnit-10,VAVReheatBox,BaseAirSys6-2,Thermal Zone: F2-9 Laundry,209.482,41.896,104.741,DualMaximum,,,,,
PropVAVBox TrmlUnit-9,BaseVAVBox TrmlUnit-11,VAVReheatBox,BaseAirSys6-3,Thermal Zone: F10 Corridor,473.003,165,236.501,DualMaximum,,,,,
PropVAVBox TrmlUnit-10,BaseVAVBox TrmlUnit-12,VAVReheatBox,BaseAirSys6-3,Thermal Zone: F10 Laundry,216.502,43.3,108.251,DualMaximum,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE HighRiseRes10StoryCECStd190110012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
PropSys6 CoilClg,BaseSys6 CoilClg,ChilledWater,BaseAirSys6,UNDEFINED,457844.938,457844.938,45.7671,-99996,-99996,-99996,,,
PropSys6 CoilClg-2,BaseSys6 CoilClg-2,ChilledWater,BaseAirSys6-2,UNDEFINED,22259.156,22259.156,2.22507,-99996,-99996,-99996,,,
PropSys6 CoilClg-3,BaseSys6 CoilClg-3,ChilledWater,BaseAirSys6-3,UNDEFINED,25744.5,25744.5,2.57347,-99996,-99996,-99996,,,
CoilCooling 1,BaseSys1 CoilClg,DirectExpansion,BaseZnSys1,Thermal Zone: F2-9 1-Bed N,6946.16,7247.003,-99996,14,12.2,-99996,,,
CoilCooling 2,BaseSys1 CoilClg-2,DirectExpansion,BaseZnSys1-2,Thermal Zone: F2-9 1-Bed SE,11162.107,11645.544,-99996,14,12.2,-99996,,,
CoilCooling 3,BaseSys1 CoilClg-3,DirectExpansion,BaseZnSys1-3,Thermal Zone: F2-9 1-Bed SW,10991.322,11467.363,-99996,14,12.2,-99996,,,
CoilCooling 4,BaseSys1 CoilClg-4,DirectExpansion,BaseZnSys1-4,Thermal Zone: F2-9 2-Bed N Core,8794.369,9175.258,-99996,14,12.2,-99996,,,
CoilCooling 5,BaseSys1 CoilClg-5,DirectExpansion,BaseZnSys1-5,Thermal Zone: F2-9 2-Bed NE,13831.452,14430.5,-99996,14,12.2,-99996,,,
CoilCooling 6,BaseSys1 CoilClg-6,DirectExpansion,BaseZnSys1-6,Thermal Zone: F2-9 2-Bed NW,19377.773,20217.036,-99996,14,12.2,-99996,,,
CoilCooling 7,BaseSys1 CoilClg-7,DirectExpansion,BaseZnSys1-7,Thermal Zone: F2-9 2-Bed SE,17868.313,18642.201,-99996,14,12.2,-99996,,,
CoilCooling 8,BaseSys1 CoilClg-8,DirectExpansion,BaseZnSys1-8,Thermal Zone: F2-9 2-Bed SW,20987.604,21896.59,-99996,14,12.2,-99996,,,
CoilCooling 9,BaseSys1 CoilClg-9,DirectExpansion,BaseZnSys1-9,Thermal Zone: F2-9 Studio N,4742.779,4948.192,-99996,14,12.2,-99996,,,
CoilCooling 10,BaseSys1 CoilClg-10,DirectExpansion,BaseZnSys1-10,Thermal Zone: F10 1-Bed N,8242.535,8599.525,-99996,14,12.2,-99996,,,
CoilCooling 11,BaseSys1 CoilClg-11,DirectExpansion,BaseZnSys1-11,Thermal Zone: F10 1-Bed SE,12921.275,13480.903,-99996,14,12.2,-99996,,,
CoilCooling 12,BaseSys1 CoilClg-12,DirectExpansion,BaseZnSys1-12,Thermal Zone: F10 1-Bed SW,12770.833,13323.945,-99996,14,12.2,-99996,,,
CoilCooling 13,BaseSys1 CoilClg-13,DirectExpansion,BaseZnSys1-13,Thermal Zone: F10 2-Bed N Core,10774.595,11241.249,-99996,14,12.2,-99996,,,
