;,,,,,,,,,,,,,
TABLE OffMedCECStd19030012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
CoreBottomZn TU,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys5,Core_bottom Thermal Zone,7705.772,1588.006,3852.886,DualMaximum,,,,,
PerimeterBottomZn1 TU,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys5,Perimeter_bot_ZN_1 Thermal Zone,2046.297,409.259,1023.149,DualMaximum,,,,,
PerimeterBottomZn2 TU,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys5,Perimeter_bot_ZN_2 Thermal Zone,1315.827,263.165,657.913,DualMaximum,,,,,
PerimeterBottomZn3 TU,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys5,Perimeter_bot_ZN_3 Thermal Zone,1425.162,334.765,712.581,DualMaximum,,,,,
PerimeterBottomZn4 TU,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys5,Perimeter_bot_ZN_4 Thermal Zone,1406.072,281.214,703.036,DualMaximum,,,,,
CoreMidZn TU,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys5-2,Core_mid Thermal Zone,7673.424,1588.006,3836.712,DualMaximum,,,,,
PerimeterMidZn1 TU,BaseVAVBox TrmlUnit-7,VAVReheatBox,BaseAirSys5-2,Perimeter_mid_ZN_1 Thermal Zone,2494.01,498.802,1247.005,DualMaximum,,,,,
PerimeterMidZn2 TU,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys5-2,Perimeter_mid_ZN_2 Thermal Zone,1565.864,313.173,782.932,DualMaximum,,,,,
PerimeterMidZn3 TU,BaseVAVBox TrmlUnit-9,VAVReheatBox,BaseAirSys5-2,Perimeter_mid_ZN_3 Thermal Zone,1507.147,334.765,753.573,DualMaximum,,,,,
PerimeterMidZn4 TU,BaseVAVBox TrmlUnit-10,VAVReheatBox,BaseAirSys5-2,Perimeter_mid_ZN_4 Thermal Zone,1706.726,341.345,853.363,DualMaximum,,,,,
Core Top Zn TU,BaseVAVBox TrmlUnit-11,VAVReheatBox,BaseAirSys5-3,Core_top Thermal Zone,7940.436,1588.087,3970.218,DualMaximum,,,,,
PerimeterTopZn1 TU,BaseVAVBox TrmlUnit-12,VAVReheatBox,BaseAirSys5-3,Perimeter_top_ZN_1 Thermal Zone,2562.841,512.568,1281.42,DualMaximum,,,,,
PerimeterTopZn2 TU,BaseVAVBox TrmlUnit-13,VAVReheatBox,BaseAirSys5-3,Perimeter_top_ZN_2 Thermal Zone,1564.999,313,782.5,DualMaximum,,,,,
PerimeterTopZn3 TU,BaseVAVBox TrmlUnit-14,VAVReheatBox,BaseAirSys5-3,Perimeter_top_ZN_3 Thermal Zone,1612.252,334.765,806.126,DualMaximum,,,,,
PerimeterTopZn4 TU,BaseVAVBox TrmlUnit-15,VAVReheatBox,BaseAirSys5-3,Perimeter_top_ZN_4 Thermal Zone,1800.267,360.053,900.134,DualMaximum,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE OffMedCECStd19030012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Bottom VAV CoilCooling,BaseSys5 CoilClg,DirectExpansion,BaseAirSys5,UNDEFINED,508173.413,530182.712,-99996,-99996,9.8,2,,,
Mid VAV CoilCooling,BaseSys5 CoilClg-2,DirectExpansion,BaseAirSys5-2,UNDEFINED,509762.899,531841.039,-99996,-99996,9.8,2,,,
