;,,,,,,,,,,,,,
TABLE HRR10STrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
PropVAVBox TrmlUnit,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys6,Storage Basement Thermal Zn,1537.62,604.2,768.81,DualMaximum,,,,,
PropVAVBox TrmlUnit-2,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys6,Mechanical Basement Thermal Zn,4278.799,855.76,2139.399,DualMaximum,,,,,
PropVAVBox TrmlUnit-3,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys6,Corridor Basement Thermal Zn,366.331,73.266,183.166,DualMaximum,,,,,
PropVAVBox TrmlUnit-4,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys6-2,Exercise Center Lvl1 Thermal Zn,547.566,475,475,DualMaximum,,,,,
PropVAVBox TrmlUnit-5,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys6-2,Laundry Lvl1 Thermal Zn,805.186,161.037,402.593,DualMaximum,,,,,
PropVAVBox TrmlUnit-6,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys6-2,Main Entry Lobby Lvl1 Thermal Zn,1017.758,203.552,508.879,DualMaximum,,,,,
PropVAVBox TrmlUnit-7,BaseVAVBox TrmlUnit-7,VAVReheatBox,BaseAirSys6-2,Multipurpose Room Lvl1 Thermal Zn,1028.65,205.73,514.325,DualMaximum,,,,,
PropVAVBox TrmlUnit-8,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys6-2,Office Lvl1 Thermal Zn,784.252,159.6,392.126,DualMaximum,,,,,
PropVAVBox TrmlUnit-9,BaseVAVBox TrmlUnit-9,VAVReheatBox,BaseAirSys6-2,Corridor Lvl1 Thermal Zn,423.205,84.641,211.602,DualMaximum,,,,,
PropVAVBox TrmlUnit-10,BaseVAVBox TrmlUnit-10,VAVReheatBox,BaseAirSys6-3,Corridor Lvl3 Thermal Zn,311.891,68.4,155.946,DualMaximum,,,,,
