; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,,
TABLE SchSmlCECStd22010012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
Common_Mech/Elec_TU,BaseVAVNoReheatTrmlUnit,Uncontrolled,BaseAirSys7or3b,Common_Mech/Elec_Zn,554.761,-99996,-99996,,,,,,,
Wing1_Side1_TU,BaseVAVNoReheatTrmlUnit-2,Uncontrolled,BaseAirSys7or3b-2,Wing1_Side1_Zn,904.518,-99996,-99996,,,,,,,
Wing1_Corridor_TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7or3b-3,Wing1_Corridor_Zn,982.751,-99996,-99996,,,,,,,
Wing1_Side2_TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7or3b-4,Wing1_Side2_Zn,731.717,-99996,-99996,,,,,,,
Common_Lobby_TU,BaseVAVNoReheatTrmlUnit-5,Uncontrolled,BaseAirSys7or3b-5,Common_Lobby_Zn,593.008,-99996,-99996,,,,,,,
Common_Corridor_TU,BaseVAVNoReheatTrmlUnit-6,Uncontrolled,BaseAirSys7or3b-6,Common_Corridor_Zn,984.99,-99996,-99996,,,,,,,
Wing2_Side1_TU,BaseVAVNoReheatTrmlUnit-7,Uncontrolled,BaseAirSys7or3b-7,Wing2_Side1_Zn,889.78,-99996,-99996,,,,,,,
Wing2_Corridor_TU,BaseVAVNoReheatTrmlUnit-8,Uncontrolled,BaseAirSys7or3b-8,Wing2_Corridor_Zn,990.843,-99996,-99996,,,,,,,
Wing2_Side2_TU,BaseVAVNoReheatTrmlUnit-9,Uncontrolled,BaseAirSys7or3b-9,Wing2_Side2_Zn,740.377,-99996,-99996,,,,,,,
Common_Office_TU,BaseVAVNoReheatTrmlUnit-10,Uncontrolled,BaseAirSys7or3b-10,Common_Office_Zn,2050.228,-99996,-99996,,,,,,,
Common_Cafeteria_TU,BaseVAVNoReheatTrmlUnit-11,VAVNoReheatBox,BaseAirSys7or3b-11,Common_Cafeteria_Zn,3274.125,1637.062,-99996,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE SchSmlCECStd22010012CoilClg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
Common_Mech/Elec_CoilClg,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,15727.666,16408.84,-99996,14,11.407,1,,,,
Wing1_Side1_CoilClg,BaseSys7or3b CoilClg-2,DirectExpansion,BaseAirSys7or3b-2,n/a,27485.597,28676.015,-99996,14,11.407,1,,,,
Wing1_Corridor_CoilClg,BaseSys7or3b CoilClg-3,DirectExpansion,BaseAirSys7or3b-3,n/a,27861.309,29067.999,-99996,14,11.407,1,,,,
Wing1_Side2_CoilClg,BaseSys7or3b CoilClg-4,DirectExpansion,BaseAirSys7or3b-4,n/a,20744.419,21642.872,-99996,14,11.407,1,,,,
Common_Lobby_CoilClg,BaseSys7or3b CoilClg-5,DirectExpansion,BaseAirSys7or3b-5,n/a,16811.981,17540.119,-99996,14,11.407,1,,,,
Common_Corridor_CoilClg,BaseSys7or3b CoilClg-6,DirectExpansion,BaseAirSys7or3b-6,n/a,34760.956,36266.474,-99996,14,11.407,1,,,,
