;,,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
CoreZn TU,BaseVAVNoReheatTrmlUnit,Uncontrolled,BaseAirSys7or3b,Core_ZN Thermal Zone,1117.166,-99996,-99996,,,,,,,
Perim1 TU,BaseVAVNoReheatTrmlUnit-2,Uncontrolled,BaseAirSys7or3b-2,Perimeter_ZN_1 Thermal Zone,1070.008,-99996,-99996,,,,,,,
Perim2 TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7or3b-3,Perimeter_ZN_2 Thermal Zone,622.071,-99996,-99996,,,,,,,
Perim3 TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7or3b-4,Perimeter_ZN_3 Thermal Zone,914.376,-99996,-99996,,,,,,,
Perim4 TU,BaseVAVNoReheatTrmlUnit-5,Uncontrolled,BaseAirSys7or3b-5,Perimeter_ZN_4 Thermal Zone,707.594,-99996,-99996,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012CoilClg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
CoreZnCoolingCoil,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,31672.052,33043.787,-99996,14,11.407,1,,,,
Perim1ZnCoolingCoil,BaseSys7or3b CoilClg-2,DirectExpansion,BaseAirSys7or3b-2,n/a,32741.132,34159.17,-99996,14,11.407,1,,,,
Perim2ZnCoolingCoil,BaseSys7or3b CoilClg-3,DirectExpansion,BaseAirSys7or3b-3,n/a,18128.893,18914.066,-99996,14,11.407,1,,,,
Perim3ZnCoolingCoil,BaseSys7or3b CoilClg-4,DirectExpansion,BaseAirSys7or3b-4,n/a,25922.884,27045.62,-99996,14,11.407,1,,,,
Perim4ZnCoolingCoil,BaseSys7or3b CoilClg-5,DirectExpansion,BaseAirSys7or3b-5,n/a,21990.776,22943.209,-99996,14,11.407,1,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012CoilHtg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
CoreZnHeatingCoil,BaseSys7or3b CoilHtg,HeatPump,BaseAirSys7or3b,n/a,34415.523,33043.787,0,-99996,-99996,,,,,
Perim1ZnHeatingCoil,BaseSys7or3b CoilHtg-2,HeatPump,BaseAirSys7or3b-2,n/a,35577.208,34159.17,0,-99996,-99996,,,,,
Perim2ZnHeatingCoil,BaseSys7or3b CoilHtg-3,HeatPump,BaseAirSys7or3b-3,n/a,19699.239,18914.066,0,-99996,-99996,,,,,
Perim3ZnHeatingCoil,BaseSys7or3b CoilHtg-4,HeatPump,BaseAirSys7or3b-4,n/a,28168.356,27045.62,0,-99996,-99996,,,,,
Perim4ZnHeatingCoil,BaseSys7or3b CoilHtg-5,HeatPump,BaseAirSys7or3b-5,n/a,23895.643,22943.209,0,-99996,-99996,,,,,
CoreZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7or3b,n/a,29219.05,29219.05,0,-99996,-99996,,,,,
Perim1ZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg-2,Resistance,BaseAirSys7or3b-2,n/a,25613.888,25613.888,0,-99996,-99996,,,,,
Perim2ZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg-3,Resistance,BaseAirSys7or3b-3,n/a,14958.75,14958.75,0,-99996,-99996,,,,,
Perim3ZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg-4,Resistance,BaseAirSys7or3b-4,n/a,23243.975,23243.975,0,-99996,-99996,,,,,
Perim4ZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg-5,Resistance,BaseAirSys7or3b-5,n/a,16250.875,16250.875,0,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012Fan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,,
CoreZnSupplyFan,BaseSys7or3b SupFan,ConstantVolume,BaseAirSys7or3b,n/a,1117.166,-99996,0.65,PowerPerUnitFlow,3.519,0.953,1,InAirStream,0.855,0.744
Perim1ZnSupplyFan,BaseSys7or3b SupFan-2,ConstantVolume,BaseAirSys7or3b-2,n/a,1070.008,-99996,0.65,PowerPerUnitFlow,3.519,0.913,1,InAirStream,0.855,0.744
Perim2ZnSupplyFan,BaseSys7or3b SupFan-3,ConstantVolume,BaseAirSys7or3b-3,n/a,622.071,-99996,0.65,PowerPerUnitFlow,3.519,0.531,0.75,InAirStream,0.855,0.744
Perim3ZnSupplyFan,BaseSys7or3b SupFan-4,ConstantVolume,BaseAirSys7or3b-4,n/a,914.376,-99996,0.65,PowerPerUnitFlow,3.519,0.78,1,InAirStream,0.855,0.744
Perim4ZnSupplyFan,BaseSys7or3b SupFan-5,ConstantVolume,BaseAirSys7or3b-5,n/a,707.594,-99996,0.65,PowerPerUnitFlow,3.519,0.604,0.75,InAirStream,0.855,0.744
ENDTABLE,,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012OACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
;,,,,,,,,,,,,,,
CoreZnOAControl,BaseSys7or3b OACtrl,NoEconomizer,BaseAirSys7or3b,UNDEFINED,,,,,,,,,,
Perime1OAControl,BaseSys7or3b OACtrl-2,NoEconomizer,BaseAirSys7or3b-2,UNDEFINED,,,,,,,,,,
Perim2OAControl,BaseSys7or3b OACtrl-3,NoEconomizer,BaseAirSys7or3b-3,UNDEFINED,,,,,,,,,,
Perim3 OAControl,BaseSys7or3b OACtrl-4,NoEconomizer,BaseAirSys7or3b-4,UNDEFINED,,,,,,,,,,
Perim4 OAControl,BaseSys7or3b OACtrl-5,NoEconomizer,BaseAirSys7or3b-5,UNDEFINED,,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
