;,,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012STrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
CoreZn TU,BaseVAVNoReheatTrmlUnit,Uncontrolled,BaseAirSys7or3b,Core_ZN Thermal Zone,1119.891,-99996,-99996,,,,,,,
Perim1 TU,BaseVAVNoReheatTrmlUnit-2,Uncontrolled,BaseAirSys7or3b-2,Perimeter_ZN_1 Thermal Zone,1101.357,-99996,-99996,,,,,,,
Perim2 TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7or3b-3,Perimeter_ZN_2 Thermal Zone,634.588,-99996,-99996,,,,,,,
Perim3 TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7or3b-4,Perimeter_ZN_3 Thermal Zone,915.753,-99996,-99996,,,,,,,
Perim4 TU,BaseVAVNoReheatTrmlUnit-5,Uncontrolled,BaseAirSys7or3b-5,Perimeter_ZN_4 Thermal Zone,722.809,-99996,-99996,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012SCoilClg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
CoreZnCoolingCoil,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,31749.293,33124.374,-99996,14,11.407,1,,,,
Perim1ZnCoolingCoil,BaseSys7or3b CoilClg-2,DirectExpansion,BaseAirSys7or3b-2,n/a,33553.818,35007.054,-99996,14,11.407,1,,,,
Perim2ZnCoolingCoil,BaseSys7or3b CoilClg-3,DirectExpansion,BaseAirSys7or3b-3,n/a,18941.762,19762.141,-99996,14,11.407,1,,,,
Perim3ZnCoolingCoil,BaseSys7or3b CoilClg-4,DirectExpansion,BaseAirSys7or3b-4,n/a,25961.909,27086.335,-99996,14,11.407,1,,,,
Perim4ZnCoolingCoil,BaseSys7or3b CoilClg-5,DirectExpansion,BaseAirSys7or3b-5,n/a,22385.754,23355.295,-99996,14,11.407,1,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012SCoilHtg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
CoreZnHeatingCoil,BaseSys7or3b CoilHtg,HeatPump,BaseAirSys7or3b,n/a,34499.456,33124.374,0,-99996,-99996,,,,,
Perim1ZnHeatingCoil,BaseSys7or3b CoilHtg-2,HeatPump,BaseAirSys7or3b-2,n/a,36460.29,35007.054,0,-99996,-99996,,,,,
Perim2ZnHeatingCoil,BaseSys7or3b CoilHtg-3,HeatPump,BaseAirSys7or3b-3,n/a,20582.52,19762.141,0,-99996,-99996,,,,,
Perim3ZnHeatingCoil,BaseSys7or3b CoilHtg-4,HeatPump,BaseAirSys7or3b-4,n/a,28210.761,27086.335,0,-99996,-99996,,,,,
Perim4ZnHeatingCoil,BaseSys7or3b CoilHtg-5,HeatPump,BaseAirSys7or3b-5,n/a,24324.836,23355.295,0,-99996,-99996,,,,,
CoreZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7or3b,n/a,29294.188,29294.188,0,-99996,-99996,,,,,
Perim1ZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg-2,Resistance,BaseAirSys7or3b-2,n/a,26090.438,26090.438,0,-99996,-99996,,,,,
Perim2ZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg-3,Resistance,BaseAirSys7or3b-3,n/a,15192.5,15192.5,0,-99996,-99996,,,,,
Perim3ZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg-4,Resistance,BaseAirSys7or3b-4,n/a,23264.275,23264.275,0,-99996,-99996,,,,,
Perim4ZnSupplyHeatingCoil,BaseSys7or3b SuppCoilHtg-5,Resistance,BaseAirSys7or3b-5,n/a,16535.675,16535.675,0,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012SFan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,,
CoreZnSupplyFan,BaseSys7or3b SupFan,ConstantVolume,BaseAirSys7or3b,n/a,1119.891,-99996,0.65,PowerPerUnitFlow,3.519,0.955,1,InAirStream,0.855,0.744
Perim1ZnSupplyFan,BaseSys7or3b SupFan-2,ConstantVolume,BaseAirSys7or3b-2,n/a,1101.357,-99996,0.65,PowerPerUnitFlow,3.519,0.94,1,InAirStream,0.855,0.744
Perim2ZnSupplyFan,BaseSys7or3b SupFan-3,ConstantVolume,BaseAirSys7or3b-3,n/a,634.588,-99996,0.65,PowerPerUnitFlow,3.519,0.541,0.75,InAirStream,0.855,0.744
Perim3ZnSupplyFan,BaseSys7or3b SupFan-4,ConstantVolume,BaseAirSys7or3b-4,n/a,915.753,-99996,0.65,PowerPerUnitFlow,3.519,0.781,1,InAirStream,0.855,0.744
Perim4ZnSupplyFan,BaseSys7or3b SupFan-5,ConstantVolume,BaseAirSys7or3b-5,n/a,722.809,-99996,0.65,PowerPerUnitFlow,3.519,0.617,0.75,InAirStream,0.855,0.744
ENDTABLE,,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012SOACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
;,,,,,,,,,,,,,,
CoreZnOAControl,BaseSys7or3b OACtrl,NoEconomizer,BaseAirSys7or3b,UNDEFINED,,,,,,,,,,
Perime1OAControl,BaseSys7or3b OACtrl-2,FixedDryBulb,BaseAirSys7or3b-2,Integrated,,,,,,,,,,
Perim2OAControl,BaseSys7or3b OACtrl-3,NoEconomizer,BaseAirSys7or3b-3,UNDEFINED,,,,,,,,,,
Perim3 OAControl,BaseSys7or3b OACtrl-4,NoEconomizer,BaseAirSys7or3b-4,UNDEFINED,,,,,,,,,,
Perim4 OAControl,BaseSys7or3b OACtrl-5,NoEconomizer,BaseAirSys7or3b-5,UNDEFINED,,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
