;,,,,,,,,,,,,,,
TABLE OffLrgCECStd22040012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
BaseVAVTrmlUnit,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys6,Basement Thermal Zone,26129.662,5752.946,13064.831,DualMaximum,,,,,,
BaseVAVTrmlUnit-2,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys6-2,Core_bottom Thermal Zone,20803.105,4088.646,10401.552,DualMaximum,,,,,,
BaseVAVTrmlUnit-3,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys6-2,Perimeter_bot_ZN_1 Thermal Zone,3803.814,506.042,1901.907,DualMaximum,,,,,,
BaseVAVTrmlUnit-4,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys6-2,Perimeter_bot_ZN_2 Thermal Zone,2418.017,326.108,1209.008,DualMaximum,,,,,,
BaseVAVTrmlUnit-5,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys6-2,Perimeter_bot_ZN_3 Thermal Zone,2421.264,506.045,1210.632,DualMaximum,,,,,,
BaseVAVTrmlUnit-6,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys6-2,Perimeter_bot_ZN_4 Thermal Zone,2652.994,326.105,1326.497,DualMaximum,,,,,,
BaseVAVTrmlUnit-7,BaseVAVBox TrmlUnit-7,VAVReheatBox,BaseAirSys6-3,Core_mid Thermal Zone,23072.854,4088.646,11536.427,DualMaximum,,,,,,
BaseVAVTrmlUnit-8,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys6-3,Perimeter_mid_ZN_1 Thermal Zone,3908.52,506.042,1954.26,DualMaximum,,,,,,
BaseVAVTrmlUnit-9,BaseVAVBox TrmlUnit-9,VAVReheatBox,BaseAirSys6-3,Perimeter_mid_ZN_2 Thermal Zone,2482.163,326.108,1241.082,DualMaximum,,,,,,
BaseVAVTrmlUnit-10,BaseVAVBox TrmlUnit-10,VAVReheatBox,BaseAirSys6-3,Perimeter_mid_ZN_3 Thermal Zone,2612.933,506.045,1306.467,DualMaximum,,,,,,
BaseVAVTrmlUnit-11,BaseVAVBox TrmlUnit-11,VAVReheatBox,BaseAirSys6-3,Perimeter_mid_ZN_4 Thermal Zone,2710.643,326.105,1355.322,DualMaximum,,,,,,
BaseVAVTrmlUnit-12,BaseVAVBox TrmlUnit-12,VAVReheatBox,BaseAirSys6-4,Core_hi Thermal Zone,23037.641,4088.646,11518.82,DualMaximum,,,,,,
BaseVAVTrmlUnit-13,BaseVAVBox TrmlUnit-13,VAVReheatBox,BaseAirSys6-4,Perimeter_hi_ZN_1 Thermal Zone,3895.555,506.042,1947.778,DualMaximum,,,,,,
BaseVAVTrmlUnit-14,BaseVAVBox TrmlUnit-14,VAVReheatBox,BaseAirSys6-4,Perimeter_hi_ZN_2 Thermal Zone,2474.761,326.108,1237.38,DualMaximum,,,,,,
BaseVAVTrmlUnit-15,BaseVAVBox TrmlUnit-15,VAVReheatBox,BaseAirSys6-4,Perimeter_hi_ZN_3 Thermal Zone,2602.449,506.045,1301.225,DualMaximum,,,,,,
BaseVAVTrmlUnit-16,BaseVAVBox TrmlUnit-16,VAVReheatBox,BaseAirSys6-4,Perimeter_hi_ZN_4 Thermal Zone,2708.98,326.105,1354.49,DualMaximum,,,,,,
BaseVAVTrmlUnit-17,BaseVAVBox TrmlUnit-17,VAVReheatBox,BaseAirSys6-5,Core_top Thermal Zone,21830.525,4088.646,10915.263,DualMaximum,,,,,,
