;,,,,,,,,,,,,,,
TABLE RetlMedCECStd22050012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
Back_Space_TU,BaseVAVNoReheatTrmlUnit,VAVNoReheatBox,BaseAirSys7or3b,Back_Space Thermal Zone,3097.18,1548.59,-99996,,,,,,,
Core_Retail_TU,BaseVAVNoReheatTrmlUnit-2,VAVNoReheatBox,BaseAirSys7or3b-2,Core_Retail Thermal Zone,16415.231,8207.616,-99996,,,,,,,
Front_Retail_TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7or3b-3,Front_Retail Thermal Zone,1953.552,-99996,-99996,,,,,,,
Point_Of_Sale_TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7or3b-4,Point_Of_Sale Thermal Zone,1945.665,-99996,-99996,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE RetlMedCECStd22050012CoilClg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
Back_Space_CoilClg,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,79162.875,82591.467,-99996,-99996,11,2,,,,
Core_Retail_CoilClg,BaseSys7or3b CoilClg-2,DirectExpansion,BaseAirSys7or3b-2,n/a,461179.281,481153.235,-99996,-99996,9.5,2,,,,
Front_Retail_CoilClg,BaseSys7or3b CoilClg-3,DirectExpansion,BaseAirSys7or3b-3,n/a,61159.027,63807.861,-99996,14,11.407,1,,,,
Point_Of_Sale_CoilClg,BaseSys7or3b CoilClg-4,DirectExpansion,BaseAirSys7or3b-4,n/a,61219.761,63871.226,-99996,14,11.407,1,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE RetlMedCECStd22050012CoilHtg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
Back_Space_CoilHtg,BaseSys7or3b CoilHtg,HeatPump,BaseAirSys7or3b,n/a,86020.059,82591.467,0,-99996,-99996,,,,,
Core_Retail_CoilHtg,BaseSys7or3b CoilHtg-2,HeatPump,BaseAirSys7or3b-2,n/a,501127.189,481153.235,0,-99996,-99996,,,,,
Front_Retail_CoilHtg,BaseSys7or3b CoilHtg-3,HeatPump,BaseAirSys7or3b-3,n/a,66456.696,63807.861,0,-99996,-99996,,,,,
Point_Of_Sale_CoilHtg,BaseSys7or3b CoilHtg-4,HeatPump,BaseAirSys7or3b-4,n/a,66522.691,63871.226,0,-99996,-99996,,,,,
Back_Space_SuppCoilHtg,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7or3b,n/a,64987.363,64987.363,0,-99996,-99996,,,,,
Core_Retail_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-2,Resistance,BaseAirSys7or3b-2,n/a,473873.65,473873.65,0,-99996,-99996,,,,,
Front_Retail_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-3,Resistance,BaseAirSys7or3b-3,n/a,50387.175,50387.175,0,-99996,-99996,,,,,
Point_Of_Sale_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-4,Resistance,BaseAirSys7or3b-4,n/a,50267.238,50267.238,0,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE RetlMedCECStd22050012Fan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,,
Back_Space_Fan,BaseSys7or3b SupFan,VariableSpeedDrive,BaseAirSys7or3b,n/a,3097.18,1548.59,0.65,PowerPerUnitFlow,3.684,2.766,3,InAirStream,0.895,0.744
Core_Retail_Fan,BaseSys7or3b SupFan-2,VariableSpeedDrive,BaseAirSys7or3b-2,n/a,16415.231,8207.616,0.65,PowerPerUnitFlow,3.455,13.752,15,InAirStream,0.924,0.676
Front_Retail_Fan,BaseSys7or3b SupFan-3,ConstantVolume,BaseAirSys7or3b-3,n/a,1953.552,-99996,0.65,PowerPerUnitFlow,3.56,1.686,2,InAirStream,0.865,0.744
Point_Of_Sale_Fan,BaseSys7or3b SupFan-4,ConstantVolume,BaseAirSys7or3b-4,n/a,1945.665,-99996,0.65,PowerPerUnitFlow,3.56,1.679,2,InAirStream,0.865,0.744
ENDTABLE,,,,,,,,,,,,,,
TABLE RetlMedCECStd22050012OACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
