;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,
;,Central HPWH Compressors look-up table,,,,,,,,,
;,Last modified:,,02/23/22 - SAC,,,,,,,
;,,,,,,,,,,
;,Source Data:,,"Ben Larson, Paul Kintner, Chip Barnaby & Bruce Wilcox - 2020 CHPWH dev team",,,,,,,
;,,,,,,,,,,
;,Mod history:,,02/23/22 - SAC - added Nyle multi pass compressor types,,,,,,,
;,,,02/03/22 - SAC - updated Colmac CxV-5 compressor OutputCap from 10 to 14 kW,,,,,,,
;,,,01/18/22 - SAC - added multi pass compressor types,,,,,,,
;,,,"6/22/21 - SAC - added 'generic' 5, 11, 20, 26, 40 & 45 kW compressor types",,,,,,,
;,,,8/31/20 - SAC - created initial table from existing ruleset data and compressor capacity (kW) data from Ben Larson,,,,,,,
;,,,,,,,,,,
;,Independents:,,,,,,,CSE Simulation Compressor Types,,
;,,1,CHPWHCompType - numeric value that maps to DHWSys:CHPWHCompType,,,,,TypeID,Name,OutputCap
;,,,,,,,,48,Colmac CxV-5,14
;,Dependents:,,,,,,,49,Colmac CxA-10,21
;,,1,OutputCap - output heating capacity @ ambient 40 deg F,,,,,50,Colmac CxA-15,29
;,,,,,,,,45,Colmac CxA-20,41
;,,,,,,,,51,Colmac CxA-25,49
,TABLE T24RCHPWHCompressor,,,,,,,52,Colmac CxA-30,57
,,CHPWHCompType,OutputCap,,old name,new name,,53,Nyle C25A,5
,,48,14,;,Colmac CxV-5,Colmac CxV-5  (14kW cap @ 40F),,54,Nyle C60A,11
,,49,21,;,Colmac CxA-10,Colmac CxA-10  (21kW cap @ 40F),,55,Nyle C90A,20
,,50,29,;,Colmac CxA-15,Colmac CxA-15  (29kW cap @ 40F),,56,Nyle C125A,26
,,45,41,;,Colmac CxA-20,Colmac CxA-20  (41kW cap @ 40F),,46,Nyle C185A,40
,,51,49,;,Colmac CxA-25,Colmac CxA-25  (49kW cap @ 40F),,47,Nyle C250A,45
,,52,57,;,Colmac CxA-30,Colmac CxA-30  (57kW cap @ 40F),,67,Nyle C60A-CWP,11
,,53,5,;,Nyle C25A,Nyle C25A  (5kW cap @ 40F),,68,Nyle C90A-CWP,20
,,54,11,;,Nyle C60A,Nyle C60A  (11kW cap @ 40F),,69,Nyle C125A-CWP,26
,,55,20,;,Nyle C90A,Nyle C90A  (20kW cap @ 40F),,70,Nyle C185A-CWP,40
,,56,26,;,Nyle C125A,Nyle C125A  (26kW cap @ 40F),,71,Nyle C250A-CWP,45
,,46,40,;,Nyle C185A,Nyle C185A  (40kW cap @ 40F),,57,Sanden GS3-45HPA-US,4
,,47,45,;,Nyle C250A,Nyle C250A  (45kW cap @ 40F),,5,Nyle C60A  (MP),11
,,67,11,;,Nyle C60A-C,Nyle C60A-C  (11kW cap @ 40F),,6,Nyle C90A  (MP),20
,,68,20,;,Nyle C90A-C,Nyle C90A-C  (20kW cap @ 40F),,7,Nyle C125A  (MP),26
,,69,26,;,Nyle C125A-C,Nyle C125A-C  (26kW cap @ 40F),,8,Nyle C185A  (MP),41
,,70,40,;,Nyle C185A-C,Nyle C185A-C  (40kW cap @ 40F),,9,Nyle C250A  (MP),46
,,71,45,;,Nyle C250A-C,Nyle C250A-C  (45kW cap @ 40F),,25,Nyle C60A-CWP  (MP),11
,,57,4,;,Sanden GS3-45HPA-US,Sanden GS3-45HPA-US  (4kW cap @ 40F),,26,Nyle C90A-CWP  (MP),20
,,153,5,;,Lochinvar AHP025-*-***N****,Lochinvar AHP025-*-***N****  (5kW cap @ 40F),,27,Nyle C125A-CWP  (MP),26
,,154,11,;,Lochinvar AHP060-*-***N****,Lochinvar AHP060-*-***N****  (11kW cap @ 40F),,28,Nyle C185A-CWP  (MP),41
,,155,20,;,Lochinvar AHP090-*-***N****,Lochinvar AHP090-*-***N****  (20kW cap @ 40F),,29,Nyle C250A-CWP  (MP),46
,,156,26,;,Lochinvar AHP125-*-***N****,Lochinvar AHP125-*-***N****  (26kW cap @ 40F),,91,Generic-5,5
,,146,40,;,Lochinvar AHP185-*-***N****,Lochinvar AHP185-*-***N****  (40kW cap @ 40F),,92,Generic-11,11
,,147,45,;,Lochinvar AHP250-*-***N****,Lochinvar AHP250-*-***N****  (45kW cap @ 40F),,93,Generic-20,20
,,253,5,;,A. O. Smith AHPA-25-*-***N****,A. O. Smith AHPA-25-*-***N****  (5kW cap @ 40F),,94,Generic-26,26
,,254,11,;,A. O. Smith AHPA-60-*-***N****,A. O. Smith AHPA-60-*-***N****  (11kW cap @ 40F),,95,Generic-40,40
,,255,20,;,A. O. Smith AHPA-90-*-***N****,A. O. Smith AHPA-90-*-***N****  (20kW cap @ 40F),,96,Generic-45,45
,,256,26,;,A. O. Smith AHPA-125-*-***N****,A. O. Smith AHPA-125-*-***N****  (26kW cap @ 40F),,,,
,,246,40,;,A. O. Smith AHPA-185-*-***N****,A. O. Smith AHPA-185-*-***N****  (40kW cap @ 40F),,,,
,,247,45,;,A. O. Smith AHPA-250-*-***N****,A. O. Smith AHPA-250-*-***N****  (45kW cap @ 40F),,,,
,,353,5,;,State SHPA-25-*-***N****,State SHPA-25-*-***N****  (5kW cap @ 40F),,,,
,,354,11,;,State SHPA-60-*-***N****,State SHPA-60-*-***N****  (11kW cap @ 40F),,,,
,,355,20,;,State SHPA-90-*-***N****,State SHPA-90-*-***N****  (20kW cap @ 40F),,,,
,,356,26,;,State SHPA-125-*-***N****,State SHPA-125-*-***N****  (26kW cap @ 40F),,,,
,,346,40,;,State SHPA-185-*-***N****,State SHPA-185-*-***N****  (40kW cap @ 40F),,,,
,,347,45,;,State SHPA-250-*-***N****,State SHPA-250-*-***N****  (45kW cap @ 40F),,,,
,,167,11,;,Lochinvar AHP060-*-***C****,Lochinvar AHP060-*-***C****  (11kW cap @ 40F),,,,
,,168,20,;,Lochinvar AHP090-*-***C****,Lochinvar AHP090-*-***C****  (20kW cap @ 40F),,,,
,,169,26,;,Lochinvar AHP125-*-***C****,Lochinvar AHP125-*-***C****  (26kW cap @ 40F),,,,
,,170,40,;,Lochinvar AHP185-*-***C****,Lochinvar AHP185-*-***C****  (40kW cap @ 40F),,,,
,,171,45,;,Lochinvar AHP250-*-***C****,Lochinvar AHP250-*-***C****  (45kW cap @ 40F),,,,
,,267,11,;,A. O. Smith AHPA-60-*-***C****,A. O. Smith AHPA-60-*-***C****  (11kW cap @ 40F),,,,
,,268,20,;,A. O. Smith AHPA-90-*-***C****,A. O. Smith AHPA-90-*-***C****  (20kW cap @ 40F),,,,
,,269,26,;,A. O. Smith AHPA-125-*-***C****,A. O. Smith AHPA-125-*-***C****  (26kW cap @ 40F),,,,
,,270,40,;,A. O. Smith AHPA-185-*-***C****,A. O. Smith AHPA-185-*-***C****  (40kW cap @ 40F),,,,
,,271,45,;,A. O. Smith AHPA-250-*-***C****,A. O. Smith AHPA-250-*-***C****  (45kW cap @ 40F),,,,
,,367,11,;,State SHPA-60-*-***C****,State SHPA-60-*-***C****  (11kW cap @ 40F),,,,
,,368,20,;,State SHPA-90-*-***C****,State SHPA-90-*-***C****  (20kW cap @ 40F),,,,
,,369,26,;,State SHPA-125-*-***C****,State SHPA-125-*-***C****  (26kW cap @ 40F),,,,
,,370,40,;,State SHPA-185-*-***C****,State SHPA-185-*-***C****  (40kW cap @ 40F),,,,
,,371,45,;,State SHPA-250-*-***C****,State SHPA-250-*-***C****  (45kW cap @ 40F),,,,
,,77,14,;,Colmac CxV-5 (MP),"Colmac CxV-5 (MP, 14kW cap @ 40F)",multi pass additions - SAC 01/18/22,,,
,,78,21,;,Colmac CxA-10 (MP),"Colmac CxA-10 (MP, 21kW cap @ 40F)",,,,
,,79,29,;,Colmac CxA-15 (MP),"Colmac CxA-15 (MP, 29kW cap @ 40F)",,,,
