;,;,"2022 CEC Nonresidential TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Source:,,E3/MSontag - 04/22/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Last modified:,,NK - 04/22/20  - Updated with new 2022 TDV (20 yr GWP) multipliers for use with new (2022) weather files. 2022 Electric TDVs: 2022 TDV CH4_Leak_20yr_15RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,;,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
;,; MoDaHr,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm,kTDV/thrm
TABLE TDVbyCZandFuel_Pol-15_CH4Leak_20yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10101,28.70394538,28.46703971,28.61676887,28.66198915,28.7735554,28.62027269,28.57104582,28.73551193,28.65748218,28.60284868,28.58225592,28.59076191,28.51846191,28.59303867,28.60713419,29.16506856,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10102,28.69596878,28.45908258,28.60879944,28.65401599,28.76557308,28.60039044,28.5512016,28.71560599,28.63759229,28.58297002,28.57428932,28.58279461,28.51050055,28.57316202,28.58725465,29.14507428,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10103,28.5616501,28.32509179,28.47460142,28.51975539,28.63115806,28.40268791,28.353884,28.51766781,28.43981366,28.38530311,28.44013906,28.44863258,28.3764386,28.37551518,28.38957898,28.94625772,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10104,28.34342889,28.10740328,28.25657623,28.30162852,28.41278033,28.24404939,28.19555577,28.3588402,28.28111409,28.22669318,28.22219148,28.23066587,28.15863446,28.21692135,28.23096202,28.7867253,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
