;,2028 Energy Code: Nonresidential Longterm System Costs (LSC) Hourly Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,EThree-Jared Landman - 6/23/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,06/24/25 - SAC - updated w/ latest 2028 Historical (25 wthr-produced) data w/ Non-Res 30 yr tabs of:  2028_LSC_HistoricalWeather_v3_20250623.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,06/11/25 - SAC - updated w/ latest 2028 Historical (25 wthr-produce) data w/ Nonres 30 yr tabs of:  2028_TDV_HistoricalWeather_v2_20250610.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,04/20/25 - SAC - overwrote 2025 table data w/ NRes 30 yr tabs of:  2028_TDV_LSC_no climate impact_20250410.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors are used to convert predicted site energy use to long-term dollar costs to California's energy system. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors are not used for predicting utility bills. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors must be used with a computer program approved for demonstrating compliance with the 2028 Energy Code by the California Energy Commission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,"These hourly factors are formatted to the 2009 calendar year, where January 3rd & 4th are the first weekend of the year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors assume a 30-year period of analysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,Electricity LSC,,,Natural Gas LSC,,,Propane LSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,$/kWh,,,$/thrm,,,$/thrm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE 2028NR_LSCbyCZandFuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10101,16.53023632,13.09644828,16.56066162,16.52531194,13.03974312,27.49672284,18.42537638,15.48198262,16.13706886,21.47870185,10.02809404,10.02601194,10.02409693,16.00443313,21.70853884,10.09799947,92.63665885,92.63665885,92.63665885,92.63665885,92.63665885,94.79136431,94.25415787,94.79136431,94.79136431,94.79136431,92.63665885,92.63665885,92.63665885,94.79136431,94.79136431,94.79136431,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916
,10102,12.98190514,10.03083651,10.05026516,10.03123917,10.02232174,22.30933748,17.83070604,15.55501078,10.11776474,15.7254448,10.0074323,10.00535311,10.00344077,10.12092638,15.84189621,10.09690928,92.63665885,92.63665885,92.63665885,92.63665885,92.63665885,94.79136431,94.25415787,94.79136431,94.79136431,94.79136431,92.63665885,92.63665885,92.63665885,94.79136431,94.79136431,94.79136431,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916
,10103,10.04817526,10.03127042,10.05069963,10.03167309,10.02275539,21.55452239,17.30427961,9.979694596,9.979696228,10.00024634,10.00786551,10.00578626,10.00387387,9.982829088,10.02545471,9.959030612,92.63665885,92.63665885,92.63665885,92.63665885,92.63665885,94.79136431,94.25415787,94.79136431,94.79136431,94.79136431,92.63665885,92.63665885,92.63665885,94.79136431,94.79136431,94.79136431,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916
,10104,10.04774086,10.03083651,10.05026516,10.03123917,10.02232174,21.86867511,17.50995456,10.11776309,10.11776474,15.60009018,10.0074323,10.00535311,10.00344077,10.12092638,15.74297726,10.09690928,92.63665885,92.63665885,92.63665885,92.63665885,92.63665885,94.79136431,94.25415787,94.79136431,94.79136431,94.79136431,92.63665885,92.63665885,92.63665885,94.79136431,94.79136431,94.79136431,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916
,10105,10.04583725,10.02893508,10.04836123,10.02933769,10.0204214,22.1855841,17.5057752,15.33117281,9.977449164,20.96435691,10.00553388,10.00345495,10.00154287,9.980581557,15.85044749,9.956786638,92.63665885,92.63665885,92.63665885,92.63665885,92.63665885,94.79136431,94.25415787,94.79136431,94.79136431,94.79136431,92.63665885,92.63665885,92.63665885,94.79136431,94.79136431,94.79136431,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916
,10106,10.02627361,10.00939378,10.02879424,10.00979586,10.00089136,22.96342687,17.69628701,15.68007364,15.76384529,21.84406398,9.986023523,9.983947349,9.98203779,15.78848444,21.95822215,10.09690928,92.63665885,92.63665885,92.63665885,92.63665885,92.63665885,94.79136431,94.25415787,94.79136431,94.79136431,94.79136431,92.63665885,92.63665885,92.63665885,94.79136431,94.79136431,94.79136431,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916
,10107,10.0293119,10.01242861,10.03183305,10.01283076,10.00392444,24.42309304,18.61053886,21.67269189,22.02633039,23.2369096,9.989053538,9.986976938,9.985066986,21.93166391,23.04876204,9.956786638,92.63665885,92.63665885,92.63665885,92.63665885,92.63665885,94.79136431,94.25415787,94.79136431,94.79136431,94.79136431,92.63665885,92.63665885,92.63665885,94.79136431,94.79136431,94.79136431,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916
,10108,13.18132396,13.12031632,13.22153501,13.22370995,13.14554357,25.0111326,19.00628728,22.28049837,22.35458042,23.88149531,9.953884003,9.951812358,9.949906964,22.04206165,22.24514869,16.13919136,92.63665885,92.63665885,92.63665885,92.63665885,92.63665885,94.79136431,94.25415787,94.79136431,94.79136431,94.79136431,92.63665885,92.63665885,92.63665885,94.79136431,94.79136431,94.79136431,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916
,10109,12.66108611,13.04378557,12.82153862,13.10899301,12.79351226,21.90289019,13.70303997,14.72441703,15.22255177,15.68654602,12.24909425,9.360747579,9.358918789,15.02177632,15.07866969,14.81592197,92.63665885,92.63665885,92.63665885,92.63665885,92.63665885,94.79136431,94.25415787,94.79136431,94.79136431,94.79136431,92.63665885,92.63665885,92.63665885,94.79136431,94.79136431,94.79136431,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916
,10110,7.348465118,13.53728975,13.50229659,10.94973293,10.63524365,12.47746973,10.15423159,6.559006402,6.559007663,6.574880604,7.315509353,7.313809434,7.312245935,6.56142749,6.594351598,6.543045503,92.63665885,92.63665885,92.63665885,92.63665885,92.63665885,94.79136431,94.25415787,94.79136431,94.79136431,94.79136431,92.63665885,92.63665885,92.63665885,94.79136431,94.79136431,94.79136431,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916
,10111,16.61756855,11.1491981,10.9338159,10.7033814,10.3320636,6.613257713,6.731597409,6.559006402,6.559007663,6.574880604,10.31206702,7.302146876,7.300584888,6.56142749,6.594351598,6.543045503,92.63665885,92.63665885,92.63665885,92.63665885,92.63665885,94.79136431,94.25415787,94.79136431,94.79136431,94.79136431,92.63665885,92.63665885,92.63665885,94.79136431,94.79136431,94.79136431,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916
,10112,6.318036158,10.05089135,10.02192163,6.305693681,9.518352943,6.101482269,6.201803159,6.049611506,6.049612711,6.064789148,9.328292516,6.286332134,6.2849018,6.051926356,6.083405754,6.034350971,92.63665885,92.63665885,92.63665885,92.63665885,92.63665885,94.79136431,94.25415787,94.79136431,94.79136431,94.79136431,92.63665885,92.63665885,92.63665885,94.79136431,94.79136431,94.79136431,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916,101.6146916
