;,2028 Energy Code: Residential Longterm System Cost (LSC) Hourly Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,EThree-Jared Landman - 6/23/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,06/24/25 - SAC - updated w/ latest 2028 Historical (25 wthr-produced) data w/ Res 30 yr tabs of:  2028_LSC_HistoricalWeather_v3_20250623.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,06/11/25 - SAC - updated w/ latest 2028 Historical (25 wthr-produce) data w/ Res 30 yr tabs of:  2028_TDV_HistoricalWeather_v2_20250610.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,04/20/25 - SAC - overwrote 2025 table data w/ Res 30 yr tabs of:  2028_TDV_LSC_no climate impact_20250410.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors are used to convert predicted site energy use to long-term dollar costs to California's energy system. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors are not used for predicting utility bills. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors must be used with a computer program approved for demonstrating compliance with the 2028 Energy Code by the California Energy Commission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,"These hourly factors are formatted to the 2009 calendar year, where January 3rd & 4th are the first weekend of the year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,These hourly factors assume a 30-year period of analysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,Electricity LSC,,,Natural Gas LSC,,,Propane LSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,$/kWh,,,$/thrm,,,$/thrm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE 2028Res_LSCbyCZandFuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10101,15.46342468,12.20994431,15.49117228,15.46506753,12.15421973,25.94782651,17.31426937,14.45843626,15.05982171,20.15911872,9.296145231,9.294251134,9.292684206,14.96317828,20.38660197,9.3347626,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10102,12.09297786,9.296614627,9.30750602,9.294625319,9.286998062,21.0073099,16.74811789,14.52782384,9.346569163,14.69204057,9.276506856,9.274615407,9.27305067,9.370645148,14.80978778,9.333727342,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10103,9.306321246,9.297026978,9.307918691,9.295037612,9.287410131,20.28841662,16.24693752,9.23044705,9.215520745,9.251625314,9.276918617,9.275027112,9.273462329,9.23937757,9.28069465,9.202795822,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10104,9.305908622,9.296614627,9.30750602,9.294625319,9.286998062,20.58761874,16.44274883,9.361632588,9.346569163,14.57292135,9.276506856,9.274615407,9.27305067,9.370645148,14.7157557,9.333727342,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10105,9.304100449,9.294807649,9.305697641,9.292818597,9.285192321,20.88944597,16.4387699,14.31514459,9.213387934,19.67035836,9.274702465,9.272811259,9.271246723,9.237241191,14.81791661,9.200664913,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10106,9.285517565,9.276237053,9.287112645,9.274250631,9.266634438,21.63027103,16.62014525,14.64665209,14.70557469,20.50630699,9.256158453,9.254269747,9.25270728,14.75790951,20.62395023,9.333727342,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10107,9.288403541,9.279121121,9.289998949,9.27713429,9.269516532,23.02047139,17.49055193,20.34052771,20.64964369,21.82986958,9.259038392,9.257149298,9.25558651,20.59727303,21.66061442,9.200664913,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10108,12.28239944,12.23262672,12.31962279,12.32800008,12.2547537,23.58052603,17.86732127,20.91803395,20.96120385,22.44239226,9.225610793,9.223726207,9.222167148,20.70221096,20.8967018,15.0715633,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10109,11.78824207,12.15989759,11.93970059,12.21900003,11.92024563,20.62020552,12.8184041,13.73863666,14.19180325,14.6550767,11.40713999,8.661933289,8.66043691,14.02911956,14.08426678,13.81496809,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10110,6.741952535,12.6288873,12.5862941,10.16734616,9.869410246,11.64334277,9.43978746,5.980286226,5.968757121,5.996644356,6.717914026,6.716367601,6.715088292,5.987184175,6.019097564,5.958928366,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10111,15.54637878,10.3594224,10.14671496,9.933271499,9.581321746,6.05820981,6.181294029,5.980286226,5.968757121,5.996644356,9.56605312,6.705282619,6.704004547,5.987184175,6.019097564,5.958928366,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10112,5.763180873,9.315673253,9.280584941,5.754741498,8.808115576,5.570789865,5.676907353,5.496285567,5.485262359,5.511925903,8.631004659,5.739775033,5.738604684,5.502880835,5.533393864,5.475864891,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10113,8.832480261,12.41643871,9.131802913,8.879409354,5.945277186,5.570789865,5.676907353,5.496285567,5.485262359,5.511925903,8.658801405,5.935842434,5.93465021,5.502880835,5.533393864,5.475864891,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10114,5.959685764,9.053909301,9.055016566,5.951088644,5.945277186,5.570789865,5.676907353,5.496285567,5.485262359,5.511925903,5.937283592,5.935842434,5.93465021,5.502880835,5.533393864,5.475864891,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10115,6.392866852,9.429409527,9.384232389,6.383921996,6.377875476,6.05820981,6.181294029,5.980286226,5.968757121,5.996644356,6.369558557,6.368059107,6.36681866,5.987184175,6.019097564,5.958928366,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10116,7.161531563,10.10674287,10.07486402,7.151969661,7.145506031,6.05820981,6.181294029,5.980286226,5.968757121,5.996644356,7.136615383,7.135012496,7.133686478,5.987184175,6.019097564,5.958928366,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10117,7.554870044,12.55544123,12.53498123,7.544992389,7.538315318,7.115349375,7.275231849,7.030009879,7.017383561,7.047924797,7.529131083,7.527475265,7.52610546,7.0375643,7.072514854,7.006619413,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10118,9.088012083,17.27454392,14.17568242,9.076903697,9.069394679,9.073049926,9.301078524,8.973977018,8.959318787,8.994774926,9.059066111,9.057203983,9.055663503,8.982747148,9.023322183,8.9468224,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10119,11.36457978,17.71629069,17.4958242,14.20029803,14.14532732,9.209821898,14.98006512,9.109789524,9.094989336,9.130788848,9.146937319,9.145063341,9.143513059,9.118644588,9.159612569,9.082371928,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10120,9.517238537,17.90150766,17.65051025,11.66621565,14.46361042,13.14974822,12.00242909,9.437786489,9.422643465,9.459272247,9.487394713,9.485474826,9.483886562,9.446846674,9.488763649,9.409733784,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10121,9.219452225,14.30211293,11.48932117,9.208238325,9.200657982,18.2373821,15.0156712,9.128312423,9.113492874,9.149339218,9.190231307,9.188351492,9.18679638,9.137179071,9.178200644,9.100858961,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10122,9.219452225,14.23909332,14.34459314,12.03711223,12.08853063,23.86288801,18.3801821,9.128312423,9.113492874,9.149339218,9.190231307,9.188351492,9.18679638,9.137179071,9.178200644,9.100858961,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10123,9.219452225,12.05487217,14.36721809,12.10578304,12.07895916,24.23737809,16.36431643,9.128312423,9.113492874,14.33456278,9.190231307,9.188351492,9.18679638,9.137179071,9.178200644,9.100858961,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10124,12.05514203,9.234317314,14.39890298,12.1892218,12.10860741,24.59399796,16.55358863,9.151498993,14.54637474,14.39440912,9.214298722,9.212415662,9.210857864,14.47751331,9.2014688,9.124000634,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10201,26.10342997,23.24355673,23.26526232,26.07883892,23.22439176,34.15639483,30.78545035,22.63590395,33.35831106,27.98564093,23.20348371,23.19971422,23.19659583,28.02175799,22.733321,22.5822954,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10202,23.24392579,23.22541568,23.2471072,23.22145373,23.20626313,33.26010194,30.55453102,22.61817664,22.58925694,22.65920951,23.18536863,23.18160158,23.17848521,22.63547951,22.71553132,22.56460241,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10203,23.39696421,23.3783529,23.40016301,23.37436929,23.35909565,22.96180915,30.61433042,22.76530558,22.73623209,22.80655664,23.33808692,23.33429927,23.33116587,22.78270046,22.86317795,22.71144646,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10204,23.3093063,23.29075296,23.31249514,23.28678176,23.27155567,22.87694073,30.54062018,22.68103252,22.65204712,22.72215861,23.25061237,23.24683652,23.24371288,22.6983747,22.77860837,22.62733658,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10205,23.3093063,23.29075296,23.31249514,23.28678176,23.27155567,28.1454178,30.64670121,22.68103252,22.65204712,27.90673134,23.25061237,23.24683652,23.24371288,22.6983747,22.77860837,22.62733658,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
,10206,23.26207885,23.24355673,23.26526232,23.23959222,23.22439176,33.31489582,30.37338478,22.63590395,22.60696572,32.92343747,23.20348371,23.19971422,23.19659583,22.65321791,22.733321,22.5822954,168.7336343,168.7336343,168.7336343,168.7336343,168.7336343,170.2777062,170.5637928,170.2777062,170.2777062,170.2777062,168.7336343,168.7336343,168.7336343,170.2777062,170.2777062,170.2777062,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372,129.3495372
