// This table pasted into App5-4A_SpaceBySpace-T24N_2025.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE SpaceFunctionData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FuncType,VentSpcFuncDef,OccDens,OccVentFrac,OccSensHtRt,OccLatHtRt,RecptPwrDens,HotWtrHrlyUsePerPers,BaseWtrHtrType,IntLPDReg,HiCeilingAllow,DetTaskAllow,SpecTaskAllow,DecorativeAllow,PrecAllow,WhtOrChkAllow,VideoAllow,PrkgATMAllow,PortOffLtgAllow,ExtIllumMirrorAllow,IntIllumMirrorAllow,TransLtgOffAtNightAllow,TunWhtOrDimToWarmAllow,WallDisplayLoMHAllow,WallDisplayMeMHAllow,WallDisplayHiMHAllow,FlrDispTaskLoMHAllow,FlrDispTaskMeMHAllow,FlrDispTaskHiMHAllow,ValDispAllow,ClgUMLHLimit,HtgUMLHLimit,GasEqpPwrDens,CommRfrgEPD,IllumSetptMin,IllumSetptMax,IllumSetptAdjFacPri,IllumSetptAdjFacSec,FuncSchGrp,OccSchRef,RecptSchRef,HotWtrHtgSchRef,IntLtgRegSchRef,GasEqpSchRef,CommRfrgEqpSchRef,InfSchRef,AvailSchRef,HtgTstatSchRef,ClgTstatSchRef,ElevSchRef,EscalSchRef,WtrHtrTempSetptSchRef,SpcFuncIdx,HlthcareEligible,ExcludeFromPredominantCalc,FuncSchGrpIsEditable,NRCCPRFSpaceFunction,NRCCPRFSpaceFunctionTailored,PVBatteryBldgType,; ,,,,
,//SpaceBySpace,,# per 1000 ft�,,Btu / occupant,Btu / occupant,Load W/ft�,Gal/h per person,,W/ft�,W/ft�,W/ft�,W/ft�,W/ft�,W/ft�,W/ft,W/ft�,W,W/ft�,W,W,W/ft�,W/ft�,W/ft,W/ft,W/ft,W/ft�,W/ft�,W/ft�,W/ft�,Hrs,Hrs,Btu/h-ft2,W/ft2,lux,lux,,,,Occupancy Schedule,Receptacle Schedule,Hot Water Schedule,Regulated Lighting Schedule,Gas Equipment Schedule,Refrigeration Schedule,Infiltration Schedule,Availability Sched,Heating Setpoint Schedule (F),Cooling Setpoint Schedule (F),Elevator Schedule,Escalator Schedule,Water Heater Temperature Setpoint Schedule,Space Function Index,Is Eligible for Healthcare Exemption,Excluded From Predominant Calculation,FuncSchGrp is Editable,Mapping from Spc:SpcFunc to NRCC PRF,Mapping from Spc:SpcFunc to NRCC PRF,"Bldg types present in 2022 std tables 140.10-A,B",; ,,,,
,Aging Eye/Low-vision (Corridor Area),General - Corridors,10,0.5,250,250,0,0,Electric,0.7,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,302,1,1,0,LowVisionCorridorArea,NA,default by predominance,; ,,,,
,Aging Eye/Low-vision (Dining),Food Service - Cafeteria/fast-food dining,66.67,0.5,275,275,0.5,0.578,Gas,0.8,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,150,150,0,0.25,50,200,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,303,1,0,0,LowVisionDiningArea,NA,Restaurants,; ,,"2022 std tables 140.10-A,B Bldg Type mapping",mapping to 2025 BldgType,2022 Bldg Type as stated in standard
,"Aging Eye/Low-vision (Lobby, Main Entry)",Office - Main entry lobbies,66.67,0.5,250,250,0.5,0.09,Electric,0.85,0,0,0,0.3,0,0,0,0,0,0,0,0.95,0.1,0,0,0,0,0,0,0,150,150,0,0,50,200,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,304,1,0,0,LowVisionLobbyMainEntry,NA,default by predominance,; ,,Grocery,"Retail, Grocery",Grocery
,Aging Eye/Low-vision (Lounge/Waiting Area),General - Break rooms,66.67,0.5,275,275,1,0.09,Gas,0.8,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,150,150,0,0,40,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,305,1,0,0,LowVisionWaitingArea,NA,default by predominance,; ,,Highrise Multifamily,Highrise Multifamily,Highrise Multifamily
,Aging Eye/Low-vision (Multipurpose Room),General - Conference/meeting,66.67,0.5,245,155,1,0.09,Electric,0.85,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,150,150,0,0,30,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,306,1,0,0,LowVisionMultipurposeRoom,NA,default by predominance,; ,,"Office, Financial, Unleased Tenant","Office, Financial, Unleased, Med Office/Clinic","Office, Financial Institutions, Unleased Tenant Space"
,Aging Eye/Low-vision (Religious Worship Area),Assembly - Places of religious worship,142.86,0.5,245,105,0.5,0.09,Electric,1,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,150,150,0,0,200,1500,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,307,1,0,0,LowVisionReligiousWorshipArea,NA,Religious Worship,; ,,Retail,"Retail, Grocery",Retail
,Aging Eye/Low-vision (Restroom),"Exhaust - Toilets, public",10,0.5,250,250,0,0,Gas,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,308,1,1,0,LowVisionRestroom,NA,default by predominance,; ,,School,School,School
,Aging Eye/Low-vision (Stairwell),General - Corridors,10,0.5,250,250,0,0,Electric,0.8,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,309,1,1,0,LowVisionStairwell,NA,default by predominance,; ,,Warehouse,Warehouse,Warehouse
