// Ventilation Space Function Data,,,,,,,,,
TABLE VentilationSpaceFunctionData,,,,,,,,,
,VentFuncType,MinOccDens,CodeVentPerArea,CodeExhContPerFixture,CodeExhIntrmtPerFixture,CodeExhPerArea,AirClass,VentSpcFuncIdx,
,//,"Minimum Occ Density, Pz","Area Outdoor Air Rate, Ra","Continuous Exhaust Rate,","Intermittent Exhaust Rate,","Exhaust Rate,",Air Class,For enums,; 
,//,people/1000ft2,cfm/ft2,cfm/unit,cfm/unit,cfm/ft²,,,; 
,Assembly - Auditorium seating area,71,0.15,0,0,0,1,1,; 
,Assembly - Courtrooms,13,0.15,0,0,0,1,2,; 
,Assembly - Legislative chambers,13,0.15,0,0,0,1,3,; 
,Assembly - Libraries (reading rooms and stack areas),10,0.15,0,0,0,1,4,; 
,Assembly - Lobbies,33,0.15,0,0,0,1,5,; 
,Assembly - Museums (childrens),17,0.15,0,0,0,1,6,; 
,Assembly - Museums/galleries,17,0.15,0,0,0,1,7,; 
,Assembly - Places of religious worship,71,0.15,0,0,0,1,8,; 
,Education - Art classroom,25,0.15,0,0,0.7,2,9,; 
,Education - Classrooms (ages 9-18),25,0.15,0,0,0,1,10,; 
,Education - Classrooms (ages 5-8),25,0.15,0,0,0,1,11,; 
,Education - Computer lab,25,0.15,0,0,0,1,12,; 
,Education - Daycare (through age 4),14,0.15,0,0,0,2,13,; 
,Education - Daycare sickroom,5,0.15,0,0,0,3,14,; 
,Education - Lecture hall (fixed seats),71,0.15,0,0,0,1,15,; 
,Education - Lecture/postsecondary classroom,25,0.15,0,0,0,1,16,; 
,Education - Media center,25,0.15,0,0,0,1,17,; 
,Education - Metal shop,10,0.15,0,0,0,2,18,; 
,Education - Multiuse assembly,33,0.15,0,0,0,1,19,; 
,Education - Music/theater/dance,33,0.15,0,0,0,1,20,; 
,Education - Science laboratories,25,0.15,0,0,1,2,21,; 
,Education - University/college laboratories,25,0.15,0,0,1,2,22,; 
,Education - Wood shop,10,0.15,0,0,0.5,2,23,; 
,Exhaust - All other locker rooms,0,0,0,0,0.25,2,24,; 
