;,; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
;,"; Version ID: 2019 TDV CARBON ONLY, Elec Non-Res (15 Year)",,,,,,,,,,,,,,,,
;,; MoDaHr,CZ1 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ2 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ3 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ4 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ5 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ6 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ7 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ8 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ9 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ10 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ11 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ12 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ13 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ14 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ15 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ16 Electricity Long-Run Carbon Emission Factors (ton/MWh)
TABLE C02ElecByCZ,,,,,,,,,,,,,,,,,
,MoDaHr,C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh)
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10101,0.260096233,0.260096233,0.260096233,0.260096233,0.260096233,0.257424224,0.257424224,0.257424224,0.257424224,0.257424224,0.260096233,0.260096233,0.260096233,0.257424224,0.257424224,0.257424224
,10102,0.231892803,0.231892803,0.231892803,0.231892803,0.231892803,0.208586665,0.208586665,0.208586665,0.208586665,0.208586665,0.231892803,0.231892803,0.231892803,0.208586665,0.208586665,0.208586665
,10103,0.229387106,0.229387106,0.229387106,0.229387106,0.229387106,0.205594716,0.205594716,0.205594716,0.205594716,0.205594716,0.229387106,0.229387106,0.229387106,0.205594716,0.205594716,0.205594716
,10104,0.228691186,0.228691186,0.228691186,0.228691186,0.228691186,0.205104931,0.205104931,0.205104931,0.205104931,0.205104931,0.228691186,0.228691186,0.228691186,0.205104931,0.205104931,0.205104931
,10105,0.234666704,0.234666704,0.234666704,0.234666704,0.234666704,0.211228623,0.211228623,0.211228623,0.211228623,0.211228623,0.234666704,0.234666704,0.234666704,0.211228623,0.211228623,0.211228623
,10106,0.263671217,0.263671217,0.263671217,0.263671217,0.263671217,0.260956582,0.260956582,0.260956582,0.260956582,0.260956582,0.263671217,0.263671217,0.263671217,0.260956582,0.260956582,0.260956582
,10107,0.267030119,0.267030119,0.267030119,0.267030119,0.267030119,0.269258065,0.269258065,0.269258065,0.269258065,0.269258065,0.267030119,0.267030119,0.267030119,0.269258065,0.269258065,0.269258065
