;,,,,,,,,,,,,,,,,
TABLE T24N_2025FanPwrIdxAdj,,,,,,,,,,,,,,,,
;,,,Exhaust systems required by code to be fully ducted,Return systems required by code to be fully ducted,"Exhaust filters, scrubbers, or other exhaust treatment (calculation required, see note)",Particulate filtration credit: MERV 16 or greater and electronically enhanced filters,"Carbon and other gas-phase air cleaners (calculation required, see note)","Biosafety cabinet (calculation required, see note)",Exhaust Systems Base Allowance,Supply - Energy Recovery (Enthalpy Recovery Ratio ? 0.60 and <0.65)  ,Return - Energy Recovery (Enthalpy Recovery Ratio ? 0.60 and <0.65)  ,Return - Filter (any MERV value),Single Zone VAV Systems that are capable of turning down to 50% of full load airflow at a maximum of 30% design wattage,Supply -Coil Runaround Loop,Return - Coil Runaround Loop,
,SysType,FlowCap,FullyDuctedExh,FullyDuctedRet,ExhFilters,MERVGTE16,GasPhaseAirCleaners,BiosftyCabExh,ExhBaseAllow,ERVSupply,ERVReturn,RetFilter,SZVAV,ERVCoilRunaroundSupply,ERVCoilRunaroundReturn,
,MultiZoneVAV,<=5000,0.089,0.089,0.177,0.265,0.176,0.177,0.221,0.184,0.19,0.046,0,0.135,0.139,
,MultiZoneVAV,<=10000,0.1,0.1,0.198,0.28,0.188,0.198,0.246,0.155,0.163,0.041,0,0.114,0.12,
,MultiZoneVAV,>10000,0.116,0.116,0.231,0.333,0.224,0.231,0.236,0.144,0.146,0.036,0,0.105,0.107,
,AllOther,<=5000,0.091,0.091,0.179,0.264,0.177,0.179,0.186,0.19,0.191,0.046,0.07,0.139,0.139,
,AllOther,<=10000,0.102,0.102,0.202,0.292,0.197,0.202,0.184,0.163,0.166,0.041,0.1,0.12,0.123,
,AllOther,>10000,0.116,0.116,0.232,0.342,0.231,0.232,0.19,0.146,0.148,0.036,0.089,0.107,0.109,
ENDTABLE,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
TABLE T24N_2025BaseFanPwrIdx,,,,,,,,,,,,,,,,
;,,,3a – SZAC,3b – SZHP (no furnace),3c – SZDFHP (with furnace),7a – SZVAVAC ,7b – SZVAVHP,7c – SZVAVDFHP (with furnace),5 – PVAV,6 – VAV,9 – HEATVENT,13a - BKICHMAU,13b - PKITCHMAU,14 - 4PSZVAV,14 - 4PSZVAV,15 - VAVAWHP
,,FlowCap,Sys3a,Sys3b,Sys3c,Sys7a,Sys7b,Sys7c,Sys5,Sys6,Sys9,Sys13a,Sys13b,Sys14s,Sys14m,Sys15
,,<=5000,0.8,0.742,0.8,0.8,0.742,0.8,1.001,0.978,0.615,0.602,0.614,0.58,0.666,0.978
,,<=10000,0.78,0.72,0.78,0.78,0.72,0.78,1.022,1.013,0.62,0.586,0.596,0.596,0.681,1.013
,,>10000,0.748,0.676,0.748,0.748,0.676,0.748,0.964,0.946,0.605,0.54,0.558,0.557,0.623,0.946
ENDTABLE,,,,,,,,,,,,,,,,
