;,CEC 2016 Nonresidential ACM Ruleset,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,,,,,
;,,LtgInputRestrictions,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,,,,,,,
;,,7/20/2015,L. Hovee,Lighting Allowance and PAF validity verification,,,,,,,,,,,,,
;,,,1,2,3,4,5,6,7,8,9,10,,11,,,
;,,,,,,,,,,,,,,,,,
;,Standards/ACM Reference:,,,,,,,,,,,,,,,,
;,,Table 140.6-A,,,,,,,,,,,,,,,
;,,TABLE 140.6-C Footnotes,,,,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,NOTE:  Lookups Resulting in 'na' are to should be handled exclusively in rules,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,,,,,,
,TABLE LtgInputRestrictions,,,,,,,,,,,,,,,,
,,SpaceFunction,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,;
,,AllowanceType =,DetailedTaskWork,SpecializedTaskWork,Ornamental,PrecisionWork,WhiteOrChalkBoard,AccentDisplayFeature,Decorative,VideoconferencingStudioLighting,ParkingGarageATMLighting,PortableLightingForOffice,ExternalIlluminatedMirror,InternalIlluminatedMirror,TransitionLightingOffAtNight,TunableWhiteOrDimToWarm,;
,,;,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,
,,Audience Seating Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Auditorium Area,0,0,1,0,0,1,0,0,0,0,0,0,0,0,;
,,Auto Repair / Maintenance Area,1,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Beauty Salon Area,1,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Civic Meeting Place Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,"Classroom, Lecture, Training, Vocational Areas",0,0,0,0,1,0,0,0,0,0,0,0,0,0,;
,,Commercial/Industrial Storage Areas (refrigerated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Commercial/Industrial Storage (Shipping & Handling),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Commercial/Industrial Storage (Warehouse),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Computer Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Concourse and Atria Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,"Convention, Conference, Multipurpose and Meeting Area",0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Copy Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Corridor Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Dining Area (Bar/Lounge and Fine Dining),0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Dining Area (Cafeteria/Fast Food),0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Dining Area (Family and Leisure),0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,"Electrical, Mechanical, Telephone Rooms",1,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Exercise/Fitness Center and Gymnasium Areas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Financial Transaction Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,General/Commercial & Industrial Work Area (High Bay),1,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,General/Commercial & Industrial Work Area (Low Bay),1,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,General/Commercial & Industrial Work Area (Precision),0,0,0,1,0,0,0,0,0,0,0,0,0,0,;
,,Healthcare Facility and Hospitals (Exam/Treatment Room),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Healthcare Facility and Hospitals (Imaging Room),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Healthcare Facility and Hospitals (Medical Supply Room),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Healthcare Facility and Hospitals (Nursery),0,0,0,0,0,0,0,0,0,0,0,0,0,1,;
,,Healthcare Facility and Hospitals (Nurse's Station),0,0,0,0,0,0,0,0,0,0,0,0,0,1,;
,,Healthcare Facility and Hospitals (Operating Room),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Healthcare Facility and Hospitals (Patient Room),0,0,0,0,0,0,1,0,0,0,0,0,0,1,;
,,Healthcare Facility and Hospitals (Physical Therapy Room),0,0,0,0,0,0,0,0,0,0,0,0,0,1,;
,,Healthcare Facility and Hospitals (Recovery Room),0,0,0,0,0,0,0,0,0,0,0,0,0,1,;
,,High-Rise Residential Living Spaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Hotel Function Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Hotel/Motel Guest Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Kitchen/Food Preparation Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Kitchenette or Residential Kitchen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Laundry Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Library (Reading Area),0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Library (Stacks Area),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Locker Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Lounge, Breakroom, or Waiting Area",0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Main Entry Lobby,0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Museum Area (Exhibition/Display),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Museum Area (Restoration Room),0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Office Area (<250 square feet),0,0,0,0,0,0,0,0,0,1,0,0,0,0,;
