;,CEC Nonresidential ACM Ruleset,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,,,,,,
;,,LtgInputRestrictions,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,,,,,,,,
;,,7/20/2015,L. Hovee,Lighting Allowance and PAF validity verification,,,,,,,,,,,,,,
;,,11/18/2021,J. Peng,2022 Ruleset Updates,,,,,,,,,,,,,,
;,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
;,,,,,,,,,,,,,,,,,,
;,Standards/ACM Reference:,,,,,,,,,,,,,,,,,
;,,Table 140.6-A,,,,,,,,,,,,,,,,
;,,TABLE 140.6-C Footnotes,,,,,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,NOTE:  Lookups Resulting in 'na' are to should be handled exclusively in rules,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,,,,,,,
,TABLE LtgInputRestrictions,,,,,,,,,,,,,,,,,
,,SpaceFunction,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,;
,,AllowanceType =,DetailedTaskWork,SpecializedTaskWork,Decorative/Display,PrecisionWork,WhiteOrChalkBoard,AccentDisplayFeature,AccentDisplayFeature-Museum,Decorative(Combined with Ornamental as Decorative/Display),VideoconferencingStudioLighting,ParkingGarageATMLighting,Decorative/Display&PortableLightingForOffice,ExternalIlluminatedMirror,InternalIlluminatedMirror,TransitionLightingOffAtNight,TunableWhiteOrDimToWarm,;
,,;,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,
,,Aging Eye/Low-vision (Corridor Area),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Aging Eye/Low-vision (Dining),0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,;
,,"Aging Eye/Low-vision (Lobby, Main Entry)",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,;
,,Aging Eye/Low-vision (Lounge/Waiting Area),0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,;
,,Aging Eye/Low-vision (Multipurpose Room),0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,;
,,Aging Eye/Low-vision (Religious Worship Area),0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,;
,,Aging Eye/Low-vision (Restroom),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Aging Eye/Low-vision (Stairwell),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Audience Seating Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Auditorium Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Auto Repair / Maintenance Area,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Barber, Beauty Salon, Spa Area",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Civic Meeting Place Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Classroom, Lecture, Training, Vocational Areas",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,;
,,Computer Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Concourse and Atria Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Convention, Conference, Multipurpose and Meeting Area",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Copy Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Corridor Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Dining Area (Bar/Lounge and Fine Dining),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Dining Area (Cafeteria/Fast Food),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Dining Area (Family and Leisure),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Electrical, Mechanical, Telephone Rooms",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Exercise/Fitness Center and Gymnasium Areas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Financial Transaction Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Healthcare Facility and Hospitals (Exam/Treatment Room),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Healthcare Facility and Hospitals (Imaging Room),0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,;
,,Healthcare Facility and Hospitals (Medical Supply Room),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Healthcare Facility and Hospitals (Nursery),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,;
,,Healthcare Facility and Hospitals (Nurse's Station),0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,;
,,Healthcare Facility and Hospitals (Operating Room),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Healthcare Facility and Hospitals (Patient Room),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Healthcare Facility and Hospitals (Physical Therapy Room),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,;
,,Healthcare Facility and Hospitals (Recovery Room),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,;
,,High-Rise Residential Living Spaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Hotel Function Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Hotel/Motel Guest Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Kitchen/Food Preparation Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Kitchenette or Residential Kitchen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Laboratory, Scientific",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Laundry Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Library (Reading Area),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Library (Stacks Area),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Lobby, Main Entry",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Locker Room,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Lounge, Breakroom, or Waiting Area",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Manufacturing, Commercial & Industrial Work Area (Low Bay)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Manufacturing, Commercial & Industrial Work Area (High Bay)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Manufacturing, Commercial & Industrial Work Area (Precision)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,;
,,Museum Area (Exhibition/Display),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Museum Area (Restoration Room),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Office Area (>250 square feet),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,;
,,Office Area (<=250 square feet),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,;
,,Parking Garage Area (Parking Zone and Ramps),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,;
,,Parking Garage Area (Daylight Adaptation Zones),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Pharmacy Area,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Retail Sales Area (Grocery Sales),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Retail Sales Area (Retail Merchandise Sales),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Retail Sales Area (Fitting Room),0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,;
,,Religious Worship Area,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Restrooms,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Stairwell,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Storage, Commercial/Industrial (Warehouse)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Storage, Commercial/Industrial (Refrigerated)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Storage, Commercial/Industrial (Shipping & Handling)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Sports Arena - Playing Area (> 5,000 Spectators)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Sports Arena - Playing Area (2,000 - 5,000 Spectators)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,"Sports Arena - Playing Area (< 2,000 Spectators)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Sports Arena - Playing Area (Recreational),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Theater Area (Motion Picture),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Theater Area (Performance),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Transportation Function (Baggage Area),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Transportation Function (Ticketing Area),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Unleased Tenant Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Unoccupied-Exclude from Gross Floor Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Unoccupied-Include in Gross Floor Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,Videoconferencing Studio,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,;
,,All other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,_Invalid from 2019 - Parking Garage Area (Dedicated Ramp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,,_Invalid from 2019 - Office Area (Open plan office),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;
,ENDTABLE,,,,,,,,,,,,,,,,,
