//Complete Material and Composite List,,,,,,,,,,,,,,,,,,,,,,,,
//Save this TAB as MaterialData_T24N_2019.csv in the RulesetDev\Rulesets\T24N\Rules\Tables folder,,,,,,,,,,,,,,,,,,,,,,,,
TABLE MaterialData,,,,,,,,,,,,,,,,,,,,,,,,
CodeCat,MatList,Thkns,Rvalue,ThrmlCndct,Dens,SpecHt,ExtRoughness,Library_Res_Name,CSE_CondCT,CSE_Cond,CSE_SpecHt,CSE_Dens,NRCCPRF_MatEnum,NRCCPRF_GlazingMatEnum,// For Reference,,,,,,,,,
//Material Category,Material Name,Thickness,Resistance,Conductivity,Density,Specific Heat,Roughness,,Coef. for temp. adjustment of Cond,,,,,,Input,,,,,,,,,
//,,(in.),(h-ft2-F/BTU),(BTU/h-ft-F),(lb/ft3),(BTU/lb-F),,,(F-1),(BTU/h-ft-F),(BTU/lb-F),(lb/ft3),,,,,,,,,,,,
Air,Air - Cavity - Wall Roof Ceiling - 4 in. or more,6.00,0.92,0.5433,0.08,0.24,NA,VertWallCavity,0.003970,0.314000,-1,-1,AirCavityWallRoofCeiling4InPlus,,JA4,,,,,,,,,
Air,Air - Metal Wall Framing - 16 or 24 in. OC,5.50,0.65,0.705,0.08,0.24,NA,NA,-1,-1,-1,-1,AirMetalWallFraming16Or24InOC,,JA4,,,,,,,,,
Air,Air - Wall - 1/2 in.,0.50,0.77,0.0542,0.08,0.24,NA,NA,-1,-1,-1,-1,AirWall0_5In,,CEC Doug,,,,,,,,,
Air,Air - Wall - 3/4 in.,0.75,0.84,0.0742,0.08,0.24,NA,NA,-1,-1,-1,-1,AirWall0_75In,,CEC Doug,,,,,,,,,
Air,Air - Wall - 1 1/2 in.,1.50,0.87,0.1433,0.08,0.24,NA,NA,-1,-1,-1,-1,AirWall1_5In,,CEC Doug,,,,,,,,,
Air,Air - Wall - 3 1/2 in.,3.50,0.85,0.3433,0.08,0.24,NA,NA,-1,-1,-1,-1,AirWall3_5In,,CEC Doug,,,,,,,,,
Air,Air - Ceiling - 1/2 in.,0.50,0.73,0.0567,0.08,0.24,NA,NA,-1,-1,-1,-1,AirCeiling0_5In,,CEC Doug,,,,,,,,,
Air,Air - Ceiling - 3/4 in.,0.75,0.75,0.0833,0.08,0.24,NA,NA,-1,-1,-1,-1,AirCeiling0_75In,,CEC Doug,,,,,,,,,
Air,Air - Ceiling - 1 1/2 in.,1.50,0.77,0.1625,0.08,0.24,NA,NA,-1,-1,-1,-1,AirCeiling1_5In,,CEC Doug,,,,,,,,,
Air,Air - Ceiling - 3 1/2 in.,3.50,0.80,0.365,0.08,0.24,NA,NA,-1,-1,-1,-1,AirCeiling3_5In,,CEC Doug,,,,,,,,,
Air,Air - Roof - 1/2 in.,0.50,0.76,0.055,0.08,0.24,NA,NA,-1,-1,-1,-1,AirRoof0_5In,,CEC Doug,,,,,,,,,
Air,Air - Roof - 3/4 in.,0.75,0.81,0.0775,0.08,0.24,NA,NA,-1,-1,-1,-1,AirRoof0_75In,,CEC Doug,,,,,,,,,
Air,Air - Roof - 1 1/2 in.,1.50,0.80,0.1567,0.08,0.24,NA,NA,-1,-1,-1,-1,AirRoof1_5In,,CEC Doug,,,,,,,,,
Air,Air - Roof - 3 1/2 in.,3.50,0.82,0.3558,0.08,0.24,NA,NA,-1,-1,-1,-1,AirRoof3_5In,,CEC Doug,,,,,,,,,
Air,Air - Floor - 1/2 in.,0.50,0.77,0.0542,0.08,0.24,NA,NA,-1,-1,-1,-1,AirFloor0_5In,,CEC Doug,,,,,,,,,
Air,Air - Floor - 3/4 in.,0.75,0.85,0.0733,0.08,0.24,NA,NA,-1,-1,-1,-1,AirFloor0_75In,,CEC Doug,,,,,,,,,
Air,Air - Floor - 1 1/2 in.,1.50,0.94,0.1333,0.08,0.24,NA,NA,-1,-1,-1,-1,AirFloor1_5In,,CEC Doug,,,,,,,,,
Air,Air - Floor - 3 1/2 in.,3.50,1.00,0.2917,0.08,0.24,NA,NA,-1,-1,-1,-1,AirFloor3_5In,,CEC Doug,,,,,,,,,
Air,Vented Crawl Space,16.00,6.00,0.222,0.08,0.24,NA,NA,-1,-1,-1,-1,AirCrawlSpaceVented,,RH RES ACM 62018,,,,,,,,,
Bldg Board and Siding,Fiber cement board - 63 lb/ft3 - 1/3 in.,0.31,0.24,0.1083,63.00,0.20,Smooth,NA,-1,-1,-1,-1,FiberCementBoard63LbPerFt3Thickness0_33In,,AEC,,,,,,,,,
Bldg Board and Siding,Fiber cement board - 88 lb/ft3 - 1/3 in.,0.31,0.18,0.1417,88.00,0.20,Smooth,NA,-1,-1,-1,-1,FiberCementBoard88LbPerFt3Thickness0_33In,,AEC,,,,,,,,,
Bldg Board and Siding,Fiber cement board - 88 lb/ft3 - 1/2 in.,0.47,0.28,0.1417,88.00,0.20,Smooth,NA,-1,-1,-1,-1,FiberCementBoard88LbPerFt3Thickness0_5In,,AEC,,,,,,,,,
Bldg Board and Siding,Fiberboard sheathing - 1/2 in.,0.50,1.03,0.0408,24.96,0.31,Smooth,NA,-1,-1,-1,-1,FiberboardSheathing0_5In,,AEC,,,,,,,,,
Bldg Board and Siding,Gypsum Board - 3/8 in.,0.38,0.32,0.09167,40.00,0.27,MediumSmooth,Gypsum Board,0.000122,-1,-1,-1,GypsumBoard0_375In,,CEC Doug,,,,,,,,,
Bldg Board and Siding,Gypsum Board - 1/2 in.,0.50,0.45,0.09167,40.00,0.27,MediumSmooth,Gypsum Board,0.000122,-1,-1,-1,GypsumBoard0_5In,,CEC Doug,,,,,,,,,
Bldg Board and Siding,Gypsum Board - 5/8 in.,0.63,0.56,0.09167,40.00,0.27,MediumSmooth,Gypsum Board,0.000122,-1,-1,-1,GypsumBoard0_625In,,CEC Doug,,,,,,,,,
Bldg Board and Siding,Gypsum Board - 3/4 in.,0.75,0.68,0.09167,40.00,0.27,MediumSmooth,Gypsum Board,0.000122,-1,-1,-1,GypsumBoard0_75In,,CEC Doug,,,,,,,,,
Bldg Board and Siding,Hard Board - 3/4 in.,0.75,1.04,0.06,50.00,0.31,Smooth,NA,-1,-1,-1,-1,HardBoard0_75In,,CEC Doug,,,,,,,,,
Bldg Board and Siding,Hardboard - HDF - 50 lb/ft3 - 3/8 in.,0.38,0.51,0.0608,50.00,0.31,Smooth,NA,-1,-1,-1,-1,HardBoardHDF50LbPerFt3Thickness0_375In,,AEC,,,,,,,,,
Bldg Board and Siding,Hardboard - HDF - 50 lb/ft3 - 1/2 in.,0.50,0.68,0.0608,50.00,0.31,Smooth,NA,-1,-1,-1,-1,HardBoardHDF50LbPerFt3Thickness0_5In,,AEC,,,,,,,,,
Bldg Board and Siding,Hardboard - HDF - 50 lb/ft3 - 5/8 in.,0.63,0.86,0.0608,50.00,0.31,Smooth,NA,-1,-1,-1,-1,HardBoardHDF50LbPerFt3Thickness0_625In,,AEC,,,,,,,,,
Bldg Board and Siding,Hardboard - HDF - 50 lb/ft3 - 3/4 in.,0.75,1.03,0.0608,50.00,0.31,Smooth,NA,-1,-1,-1,-1,HardBoardHDF50LbPerFt3Thickness0_75In,,AEC,,,,,,,,,
Bldg Board and Siding,HB Part. Brd - 3/4 in.,0.75,0.64,0.09833,50.00,0.31,Smooth,NA,-1,-1,-1,-1,HBPartBoard0_75In,,CEC Doug,,,,,,,,,
Bldg Board and Siding,Metal Deck - 1/16 in.,0.0625,0.00,26.2,488.22,0.12,Smooth,NA,-1,-1,-1,-1,MetalDeck0_0625In,,AEC,,,,,,,,,
Bldg Board and Siding,Metal Siding - 1/16 in.,0.0625,0.00,26.2,488.22,0.12,Smooth,NA,-1,-1,-1,-1,MetalSiding0_0625In,,AEC,,,,,,,,,
Bldg Board and Siding,OSB - Oriented Strand Board - 1/2 in.,0.50,0.80,0.0517,41.00,0.45,MediumSmooth,NA,-1,-1,-1,-1,OrientedStrandBoard0_5In,,AEC,,,,,,,,,
Bldg Board and Siding,OSB - Oriented Strand Board - 5/8 in.,0.63,0.82,0.0633,41.00,0.45,MediumSmooth,NA,-1,-1,-1,-1,OrientedStrandBoard0_625In,,AEC,,,,,,,,,
Bldg Board and Siding,OSB - Oriented Strand Board - 3/4 in.,0.75,0.83,0.0758,41.00,0.45,MediumSmooth,NA,-1,-1,-1,-1,OrientedStrandBoard0_75In,,AEC,,,,,,,,,
Bldg Board and Siding,Plywood - 1/4 in.,0.25,0.31,0.0667,30.00,0.45,MediumSmooth,NA,-1,-1,-1,-1,Plywood0_25In,,CEC Doug,,,,,,,,,
Bldg Board and Siding,Plywood - 3/8 in.,0.38,0.47,0.0667,30.00,0.45,MediumSmooth,NA,-1,-1,-1,-1,Plywood0_375In,,CEC Doug,,,,,,,,,
Bldg Board and Siding,Plywood - 1/2 in.,0.50,0.63,0.0667,30.00,0.45,MediumSmooth,NA,-1,-1,-1,-1,Plywood0_5In,,CEC Doug,,,,,,,,,
Bldg Board and Siding,Plywood - 5/8 in.,0.63,0.78,0.0667,30.00,0.45,MediumSmooth,NA,-1,-1,-1,-1,Plywood0_625In,,CEC Doug,,,,,,,,,
Bldg Board and Siding,Plywood - 3/4 in.,0.75,0.94,0.0667,30.00,0.45,MediumSmooth,NA,-1,-1,-1,-1,Plywood0_75In,,CEC Doug,,,,,,,,,
Bldg Board and Siding,Plywood - 1 in.,1.00,1.25,0.0667,30.00,0.45,MediumSmooth,NA,-1,-1,-1,-1,Plywood1In,,CEC Doug,,,,,,,,,
Bldg Board and Siding,Plywood - 1 1/4 in.,1.25,1.56,0.0667,30.00,0.45,MediumSmooth,NA,-1,-1,-1,-1,Plywood1_25In,,CEC RJ,,,,,,,,,
Bldg Board and Siding,Plywood - 1 1/2 in.,1.50,1.88,0.0667,30.00,0.45,MediumSmooth,NA,-1,-1,-1,-1,Plywood1_5In,,CEC RJ,,,,,,,,,
Bldg Board and Siding,Shingles - Asbestos cement - lapped - 1/4 in.,0.25,0.21,0.0992,120.00,0.24,VeryRough,NA,-1,-1,-1,-1,ShinglesAsbestosCementLapped0_25In,,AEC,,,,,,,,,
Bldg Board and Siding,Shingles - Asphalt roll siding - 1/4 in.,0.25,0.15,0.1392,70.00,0.36,VeryRough,NA,-1,-1,-1,-1,ShinglesAsphaltRollSiding0_25In,,AEC,,,,,,,,,
Bldg Board and Siding,Shingles - Wood - 16 in. - 7 1/2 in. exposure - 1/2 in.,0.50,0.87,0.0475,22.00,0.31,MediumRough,NA,-1,-1,-1,-1,ShinglesWood16In7_5InExposure0_5In,,AEC,,,,,,,,,
Bldg Board and Siding,Shingles - Wood - plus insulated backer board Siding - 5/16 in.,0.31,1.40,0.0183,22.00,0.31,MediumRough,NA,-1,-1,-1,-1,ShinglesWoodInsulatedBackerBoardSiding0_3125In,,AEC,,,,,,,,,
Bldg Board and Siding,Wood shingles - 3/4 in.,0.75,0.90,0.0692,36.94,0.31,VeryRough,NA,-1,-1,-1,-1,WoodShingles0_75In,,AEC,,,,,,,,,
Bldg Board and Siding,Wood shingles - plain and plastic film faced - 3/4 in.,0.75,0.94,0.0667,22.00,0.31,VeryRough,NA,-1,-1,-1,-1,WoodShinglesPlainAndPlasticFilmFaced0_75In,,AEC,,,,,,,,,
Bldg Board and Siding,Siding - Asphalt insulating siding - 1/2 in. bed - 1/2 in.,0.50,1.46,0.0283,70.00,0.35,VeryRough,NA,-1,-1,-1,-1,SidingAsphaltInsulating0_5InBed0_5In,,AEC,,,,,,,,,
Bldg Board and Siding,Siding - Wood - bevel - 10 in. - lapped - 3/4 in.,0.75,1.05,0.0592,22.00,0.28,Rough,NA,-1,-1,-1,-1,SidingWoodBevel10_0InLapped0_75In,,AEC,,,,,,,,,
Bldg Board and Siding,Synthetic Stucco - EIFS finish - 1 in.,1.00,4.00,0.0208,1.50,0.35,Smooth,R4 Synth Stucco,0.001750,-1,-1,-1,StuccoSyntheticEIFS_Finish1In,,AEC,,,,,,,,,
Building Membrane,Building Paper - 1/16 in.,0.06,0.03,0.1667,6.00,0.30,MediumSmooth,NA,-1,-1,-1,-1,BuildingPaper0_0625In,,Rh 2018 ,,,,,,,,,
Building Membrane,Roofing felt - 1/8 in.,0.06,0.02,0.6917,14.40,0.30,MediumSmooth,NA,-1,-1,-1,-1,RoofingFelt0_125In,,Rh 2018,,,,,,,,,
Building Membrane,Roofing Felt - 15 pound,0.06,0.02,0.6917,14.40,0.30,MediumSmooth,NA,-1,-1,-1,-1,RoofingFelt15Pound,,Rh 2018,,,,,,,,,
Building Membrane,Roofing Felt - 30 pound,0.13,0.04,0.2976,28.80,0.30,MediumSmooth,NA,-1,-1,-1,-1,RoofingFelt30Pound,,Rh 2018,,,,,,,,,
Building Membrane,Vapor permeable felt - 1/8 in.,0.13,0.06,0.1733,14.40,0.30,MediumSmooth,NA,-1,-1,-1,-1,VaporPermeableFelt0_125In,,Rh 2018,,,,,,,,,
Building Membrane,Vapor seal - 2 layers of mopped 15 lb felt - 1/4 in.,0.25,0.12,0.1733,36.00,0.30,MediumSmooth,NA,-1,-1,-1,-1,VaporSeal2LayerMopped15LbFelt0_25In,,Rh 2018,,,,,,,,,
Building Membrane,Vapor seal - plastic film - 1/16 in.,0.06,0.01,5.2083,14.00,0.30,MediumSmooth,NA,-1,-1,-1,-1,VaporSealPlasticFilm0_0625In,,Rh 2018,,,,,,,,,
Concrete,Concrete - 80 lb/ft3 - 2 in.,2.00,0.54,0.3067,79.87,0.20,MediumRough,NA,-1,-1,-1,-1,Concrete80LbPerFt3Thickness2In,,AEC,,,,,,,,,
Concrete,Concrete - 80 lb/ft3 - 4 in.,4.00,1.09,0.3067,79.87,0.20,MediumRough,NA,-1,-1,-1,-1,Concrete80LbPerFt3Thickness4In,,AEC,,,,,,,,,
Concrete,Concrete - 80 lb/ft3 - 6 in.,6.00,1.63,0.3067,79.87,0.20,MediumRough,NA,-1,-1,-1,-1,Concrete80LbPerFt3Thickness6In,,AEC,,,,,,,,,
Concrete,Concrete - 80 lb/ft3 - 8 in.,8.00,2.17,0.3067,79.87,0.20,MediumRough,NA,-1,-1,-1,-1,Concrete80LbPerFt3Thickness8In,,AEC,,,,,,,,,
