;,CEC 2016 Nonresidential ACM Ruleset,,,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,,
;,,PowerAdjustmentFactors,,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,,,,
;,,12/6/2012,L. Hovee,Initial ruleset setup,,,,,,,,,,
;,,8/16/2018,L. Hovee,Updated for 2019 Rules,,,,,,,,,,
;,,,,,,,,,,,,,,
;,Standards/ACM Reference:,,,,,,,,,,,,,
;,,TABLE 140.6-A - Power Adjustment Factors,,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,,,,
;,,PAFs.PAF(PAFCreditType=u:IntLtgSys:PAFCreditType),,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,,,
,TABLE PAFs,,,,,,,,,,,,,
,,PAFCredType,PAF,PAF,PAFCombError,PAFCombError,PAFCombError,PAFCombError,PAFCombError,PAFCombError,PAFCombError,PAFCombError,PAFCombError,PAFCombError
,,DaylitLum=,1,0,*,*,*,*,*,*,*,*,*,*
,,PrevPAFCredType=,*,*,DaylightDimmingPlusOff,OccupantSensingControls-1to125SF,OccupantSensingControls-126to250SF,OccupantSensingControls-251to500SF,InstitutionalTuning,DemandResponsiveControl,Clerestories,HorizontalSlats,LightShelves,*
,,DaylightDimmingPlusOff,0.10,0.10,1,1,1,1,0,0,0,0,0,0
,,OccupantSensingControls-1to125SF,0.40,0.40,1,1,1,1,0,0,1,1,1,0
,,OccupantSensingControls-126to250SF,0.30,0.30,1,1,1,1,0,0,1,1,1,0
,,OccupantSensingControls-251to500SF,0.20,0.20,1,1,1,1,0,0,1,1,1,0
,,InstitutionalTuning,0.05,0.10,0,0,0,0,1,0,0,0,0,0
,,DemandResponsiveControl,0.05,0.05,0,0,0,0,0,1,0,0,0,0
,,Clerestories,0.05,0.05,0,1,1,1,0,0,1,1,0,0
,,HorizontalSlats,0.05,0.05,0,1,1,1,0,0,1,1,1,0
,,LightShelves,0.10,0.10,0,1,1,1,0,0,0,1,1,0
,,*,0,0,0,0,0,0,0,0,0,0,0,0
,ENDTABLE,,,,,,,,,,,,,
