;,2025 Energy Code: Long-term System Cost (LSC) NEM3-ACC (Avoided Cost Calculator) Hourly Factors,,,,,,,,,,,,,,,
;,Source:,,from CEC/RJW via e-mail  7/15/24:  2025_LSCHourlyExportValuesACC.xlsx,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Last modified:,,07/16/24 - SAC - converted into look-up table for CBECC(-Res) rulesets,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Export LSC (CZ1; 30-yr PV$/kWh),Export LSC (CZ2; 30-yr PV$/kWh),Export LSC (CZ3; 30-yr PV$/kWh),Export LSC (CZ4; 30-yr PV$/kWh),Export LSC (CZ5; 30-yr PV$/kWh),Export LSC (CZ6; 30-yr PV$/kWh),Export LSC (CZ7; 30-yr PV$/kWh),Export LSC (CZ8; 30-yr PV$/kWh),Export LSC (CZ9; 30-yr PV$/kWh),Export LSC (CZ10; 30-yr PV$/kWh),Export LSC (CZ11; 30-yr PV$/kWh),Export LSC (CZ12; 30-yr PV$/kWh),Export LSC (CZ13; 30-yr PV$/kWh),Export LSC (CZ14; 30-yr PV$/kWh),Export LSC (CZ15; 30-yr PV$/kWh),Export LSC (CZ16; 30-yr PV$/kWh)
; MoDaHr,,,,,,,,,,,,,,,,
; CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10101,1.335637708,1.335637708,1.335637708,1.335637708,1.335637708,1.335637708,1.335610164,1.335637708,1.335637708,1.335637708,1.335637708,1.335637708,1.335637708,1.335637708,1.335637708,1.335637708
10102,1.31815037,1.31815037,1.31815037,1.31815037,1.31815037,1.31815037,1.318176486,1.31815037,1.31815037,1.31815037,1.31815037,1.31815037,1.31815037,1.31815037,1.31815037,1.31815037
10103,1.304593332,1.304593332,1.304593332,1.304593332,1.304593332,1.304593332,1.30459664,1.304593332,1.304593332,1.304593332,1.304593332,1.304593332,1.304593332,1.304593332,1.304593332,1.304593332
10104,1.295493939,1.295493939,1.295493939,1.295493939,1.295493939,1.295493939,1.295485858,1.295493939,1.295493939,1.295493939,1.295493939,1.295493939,1.295493939,1.295493939,1.295493939,1.295493939
10105,1.284161327,1.284161327,1.284161327,1.284161327,1.284161327,1.284161327,1.284158824,1.284161327,1.284161327,1.284161327,1.284161327,1.284161327,1.284161327,1.284161327,1.284161327,1.284161327
10106,1.313056096,1.313056096,1.313056096,1.313056096,1.313056096,1.313056096,1.31304899,1.313056096,1.313056096,1.313056096,1.313056096,1.313056096,1.313056096,1.313056096,1.313056096,1.313056096
10107,1.398733343,1.398733343,1.398733343,1.398733343,1.398733343,1.398733343,1.398745167,1.398733343,1.398733343,1.398733343,1.398733343,1.398733343,1.398733343,1.398733343,1.398733343,1.398733343
10108,1.346799348,1.346799348,1.346799348,1.346799348,1.346799348,1.342030785,1.342031887,1.342030785,1.342030785,1.342030785,1.346799348,1.346799348,1.346799348,1.342030785,1.342030785,1.342030785
