;,; Use with 2009 calendar year and updated CEC weather data ,,,,,,,,,,,,,,,,
;,;    Source Data:,,E3/MSontag 4/22/2020 - data include methane leakage impacts with a 20-yr GWP - source file: 2022_TDV_Emissions_Factor_CH4_Leak_20yr_15RA_20200422.xlsx,,,,,,,,,,,,,,
;,;    CZ:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
;,; MoDaHr,Electricity Long Run Emissions (CZ1; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ2; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ3; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ4; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ5; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ6; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ7; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ8; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ9; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ10; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ11; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ12; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ13; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ14; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ15; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ16; tonnes CO2-e/kWh)
TABLE CarbonbyCZandFuel_CH4Leak_20yr_Res,,,,,,,,,,,,,,,,,
,MoDaHr,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10101,0.000286905,0.000286905,0.000286905,0.000286905,0.000286905,0.000289411,0.000288616,0.000289411,0.000289411,0.000289411,0.000286905,0.000286905,0.000286905,0.000289411,0.000289411,0.000289411
,10102,0.0002865,0.0002865,0.0002865,0.0002865,0.0002865,0.000289003,0.000288209,0.000289003,0.000289003,0.000289003,0.0002865,0.0002865,0.0002865,0.000289003,0.000289003,0.000289003
,10103,0.000286146,0.000286146,0.000286146,0.000286146,0.000286146,0.000288646,0.000287853,0.000288646,0.000288646,0.000288646,0.000286146,0.000286146,0.000286146,0.000288646,0.000288646,0.000288646
,10104,0.000280729,0.000280729,0.000280729,0.000280729,0.000280729,0.000283181,0.000282403,0.000283181,0.000283181,0.000283181,0.000280729,0.000280729,0.000280729,0.000283181,0.000283181,0.000283181
,10105,0.000285173,0.000285173,0.000285173,0.000285173,0.000285173,0.000287664,0.000286874,0.000287664,0.000287664,0.000287664,0.000285173,0.000285173,0.000285173,0.000287664,0.000287664,0.000287664
,10106,0.000287611,0.000287611,0.000287611,0.000287611,0.000287611,0.000290124,0.000289327,0.000290124,0.000290124,0.000290124,0.000287611,0.000287611,0.000287611,0.000290124,0.000290124,0.000290124
,10107,0.000288342,0.000288342,0.000288342,0.000288342,0.000288342,0.000290861,0.000290062,0.000290861,0.000290861,0.000290861,0.000288342,0.000288342,0.000288342,0.000290861,0.000290861,0.000290861
,10108,0.000287789,0.000287789,0.000287789,0.000287789,0.000287789,0.000290303,0.000289505,0.000290303,0.000290303,0.000290303,0.000287789,0.000287789,0.000287789,0.000290303,0.000290303,0.000290303
,10109,0.000282493,0.000282493,0.000282493,0.000282493,0.000282493,0.000284961,0.000284178,0.000284961,0.000284961,0.000284961,0.000282493,0.000282493,0.000282493,0.000284961,0.000284961,0.000284961
,10110,0.000236857,0.000236857,0.000236857,0.000236857,0.000236857,0.000238927,0.00023827,0.000238927,0.000238927,0.000238927,0.000236857,0.000236857,0.000236857,0.000238927,0.000238927,0.000238927
,10111,0.000215477,0.000215477,0.000215477,0.000215477,0.000215477,0.000217359,0.000216762,0.000217359,0.000217359,0.000217359,0.000215477,0.000215477,0.000215477,0.000217359,0.000217359,0.000217359
,10112,0.000198306,0.000198306,0.000198306,0.000198306,0.000198306,0.000200039,0.000199489,0.000200039,0.000200039,0.000200039,0.000198306,0.000198306,0.000198306,0.000200039,0.000200039,0.000200039
,10113,0.000187088,0.000187088,0.000187088,0.000187088,0.000187088,0.000188722,0.000188204,0.000188722,0.000188722,0.000188722,0.000187088,0.000187088,0.000187088,0.000188722,0.000188722,0.000188722
,10114,0.000192922,0.000192922,0.000192922,0.000192922,0.000192922,0.000194608,0.000194073,0.000194608,0.000194608,0.000194608,0.000192922,0.000192922,0.000192922,0.000194608,0.000194608,0.000194608
,10115,0.000193456,0.000193456,0.000193456,0.000193456,0.000193456,0.000195146,0.00019461,0.000195146,0.000195146,0.000195146,0.000193456,0.000193456,0.000193456,0.000195146,0.000195146,0.000195146
,10116,0.000231192,0.000231192,0.000231192,0.000231192,0.000231192,0.000233211,0.000232571,0.000233211,0.000233211,0.000233211,0.000231192,0.000231192,0.000231192,0.000233211,0.000233211,0.000233211
,10117,0.000290488,0.000290488,0.000290488,0.000290488,0.000290488,0.000293026,0.000292221,0.000293026,0.000293026,0.000293026,0.000290488,0.000290488,0.000290488,0.000293026,0.000293026,0.000293026
,10118,0.000291741,0.000291741,0.000291741,0.000291741,0.000291741,0.00029429,0.000293481,0.00029429,0.00029429,0.00029429,0.000291741,0.000291741,0.000291741,0.00029429,0.00029429,0.00029429
,10119,0.000291729,0.000291729,0.000291729,0.000291729,0.000291729,0.000294277,0.000293469,0.000294277,0.000294277,0.000294277,0.000291729,0.000291729,0.000291729,0.000294277,0.000294277,0.000294277
,10120,0.000291673,0.000291673,0.000291673,0.000291673,0.000291673,0.000294221,0.000293413,0.000294221,0.000294221,0.000294221,0.000291673,0.000291673,0.000291673,0.000294221,0.000294221,0.000294221
,10121,0.000291115,0.000291115,0.000291115,0.000291115,0.000291115,0.000293658,0.000292851,0.000293658,0.000293658,0.000293658,0.000291115,0.000291115,0.000291115,0.000293658,0.000293658,0.000293658
,10122,0.000288691,0.000288691,0.000288691,0.000288691,0.000288691,0.000291213,0.000290413,0.000291213,0.000291213,0.000291213,0.000288691,0.000288691,0.000288691,0.000291213,0.000291213,0.000291213
,10123,0.000267719,0.000267719,0.000267719,0.000267719,0.000267719,0.000270057,0.000269316,0.000270057,0.000270057,0.000270057,0.000267719,0.000267719,0.000267719,0.000270057,0.000270057,0.000270057
