; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,
TABLE SchSmlCECStd19010012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
Common_Mech/Elec_TU,BaseVAVNoReheatTrmlUnit,Uncontrolled,BaseAirSys7,Common_Mech/Elec_Zn,555.519,-99996,-99996,,,,,,
Wing1_Side1_TU,BaseVAVNoReheatTrmlUnit-2,Uncontrolled,BaseAirSys7-2,Wing1_Side1_Zn,957.96,-99996,-99996,,,,,,
Wing1_Corridor_TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7-3,Wing1_Corridor_Zn,1122.993,-99996,-99996,,,,,,
Wing1_Side2_TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7-4,Wing1_Side2_Zn,736.767,-99996,-99996,,,,,,
Common_Lobby_TU,BaseVAVNoReheatTrmlUnit-5,Uncontrolled,BaseAirSys7-5,Common_Lobby_Zn,668.35,-99996,-99996,,,,,,
Common_Corridor_TU,BaseVAVNoReheatTrmlUnit-6,Uncontrolled,BaseAirSys7-6,Common_Corridor_Zn,1114.708,-99996,-99996,,,,,,
Wing2_Side1_TU,BaseVAVNoReheatTrmlUnit-7,Uncontrolled,BaseAirSys7-7,Wing2_Side1_Zn,940.451,-99996,-99996,,,,,,
Wing2_Corridor_TU,BaseVAVNoReheatTrmlUnit-8,Uncontrolled,BaseAirSys7-8,Wing2_Corridor_Zn,1130.03,-99996,-99996,,,,,,
Wing2_Side2_TU,BaseVAVNoReheatTrmlUnit-9,Uncontrolled,BaseAirSys7-9,Wing2_Side2_Zn,748.098,-99996,-99996,,,,,,
Common_Office_TU,BaseVAVNoReheatTrmlUnit-10,Uncontrolled,BaseAirSys7-10,Common_Office_Zn,2100.376,-99996,-99996,,,,,,
Common_Cafeteria_TU,BaseVAVNoReheatTrmlUnit-11,VAVNoReheatBox,BaseAirSys7-11,Common_Cafeteria_Zn,3251.946,1625.973,-99996,,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE SchSmlCECStd19010012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Common_Mech/Elec_CoilClg,BaseSys7 CoilClg,DirectExpansion,BaseAirSys7,n/a,15684.217,16363.51,-99996,13,10.845,1,,,
Wing1_Side1_CoilClg,BaseSys7 CoilClg-2,DirectExpansion,BaseAirSys7-2,n/a,28239.445,29462.513,-99996,13,10.845,1,,,
Wing1_Corridor_CoilClg,BaseSys7 CoilClg-3,DirectExpansion,BaseAirSys7-3,n/a,31671.171,33042.869,-99996,13,10.845,1,,,
Wing1_Side2_CoilClg,BaseSys7 CoilClg-4,DirectExpansion,BaseAirSys7-4,n/a,20801.472,21702.396,-99996,13,10.845,1,,,
Common_Lobby_CoilClg,BaseSys7 CoilClg-5,DirectExpansion,BaseAirSys7-5,n/a,18869.826,19687.09,-99996,13,10.845,1,,,
Common_Corridor_CoilClg,BaseSys7 CoilClg-6,DirectExpansion,BaseAirSys7-6,n/a,31437.49,32799.066,-99996,13,10.845,1,,,
Wing2_Side1_CoilClg,BaseSys7 CoilClg-7,DirectExpansion,BaseAirSys7-7,n/a,27787.881,28991.391,-99996,13,10.845,1,,,
Wing2_Corridor_CoilClg,BaseSys7 CoilClg-8,DirectExpansion,BaseAirSys7-8,n/a,31869.632,33249.925,-99996,13,10.845,1,,,
Wing2_Side2_CoilClg,BaseSys7 CoilClg-9,DirectExpansion,BaseAirSys7-9,n/a,21121.395,22036.175,-99996,13,10.845,1,,,
