;,,,,,,,,,,,,,
TABLE RetlMedCECStd19050012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
Back_Space_TU,BaseVAVNoReheatTrmlUnit,VAVNoReheatBox,BaseAirSys7,Back_Space Thermal Zone,2667.545,1333.773,-99996,,,,,,
Core_Retail_TU,BaseVAVNoReheatTrmlUnit-2,VAVNoReheatBox,BaseAirSys7-2,Core_Retail Thermal Zone,16687.269,8343.635,-99996,,,,,,
Front_Retail_TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7-3,Front_Retail Thermal Zone,2040.534,-99996,-99996,,,,,,
Point_Of_Sale_TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7-4,Point_Of_Sale Thermal Zone,2031.537,-99996,-99996,,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RetlMedCECStd19050012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Back_Space_CoilClg,BaseSys7 CoilClg,DirectExpansion,BaseAirSys7,n/a,69157.297,72152.541,-99996,-99996,11,2,,,
Core_Retail_CoilClg,BaseSys7 CoilClg-2,DirectExpansion,BaseAirSys7-2,n/a,467530.834,487779.878,-99996,-99996,9.8,2,,,
Front_Retail_CoilClg,BaseSys7 CoilClg-3,DirectExpansion,BaseAirSys7-3,n/a,57548.042,60040.482,-99996,13,10.845,1,,,
Point_Of_Sale_CoilClg,BaseSys7 CoilClg-4,DirectExpansion,BaseAirSys7-4,n/a,57294.312,59775.763,-99996,13,10.845,1,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RetlMedCECStd19050012CoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Back_Space_CoilHtg,BaseSys7 CoilHtg,Furnace,BaseAirSys7,n/a,68422.488,68422.488,0,0.78,0.8,,,,
Core_Retail_CoilHtg,BaseSys7 CoilHtg-2,Furnace,BaseAirSys7-2,n/a,475626.338,475626.338,0,-99996,0.8,,,,
Front_Retail_CoilHtg,BaseSys7 CoilHtg-3,Furnace,BaseAirSys7-3,n/a,51621.375,51621.375,0,0.78,0.8,,,,
Point_Of_Sale_CoilHtg,BaseSys7 CoilHtg-4,Furnace,BaseAirSys7-4,n/a,51484.537,51484.537,0,0.78,0.8,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RetlMedCECStd19050012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
Back_Space_Fan,BaseSys7 Fan,VariableSpeedDrive,BaseAirSys7,n/a,2667.545,1333.773,0.65,BrakeHorsePower,3.877,2.507,3,InAirStream,0.895
Core_Retail_Fan,BaseSys7 Fan-2,VariableSpeedDrive,BaseAirSys7-2,n/a,16687.269,8343.635,0.65,BrakeHorsePower,3.877,15.686,20,InAirStream,0.93
Front_Retail_Fan,BaseSys7 Fan-3,ConstantVolume,BaseAirSys7-3,n/a,2040.534,-99996,0.65,BrakeHorsePower,3.877,1.918,2,InAirStream,0.865
Point_Of_Sale_Fan,BaseSys7 Fan-4,ConstantVolume,BaseAirSys7-4,n/a,2031.537,-99996,0.65,BrakeHorsePower,3.877,1.91,2,InAirStream,0.865
ENDTABLE,,,,,,,,,,,,,
TABLE RetlMedCECStd19050012OACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
Back_Space_OACtrl,BaseSys7 OACtrl,DifferentialDryBulb,BaseAirSys7,Integrated,,,,,,,,,
Core_Retail_OACtrl,BaseSys7 OACtrl-2,DifferentialDryBulb,BaseAirSys7-2,Integrated,,,,,,,,,
Front_Retail_OACtrl,BaseSys7 OACtrl-3,DifferentialDryBulb,BaseAirSys7-3,Integrated,,,,,,,,,
Point_Of_Sale_OACtrl,BaseSys7 OACtrl-4,DifferentialDryBulb,BaseAirSys7-4,Integrated,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
