;,,,,,,,,,,,,,
TABLE RstntSmlCECStd19060012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
Dining TerminalUnit,BaseVAVNoReheatTrmlUnit,Uncontrolled,BaseAirSys7,Dining Thermal Zone,1354.963,-99996,-99996,,,,,,
Kitchen TerminalUnit,BaseUnctrl TrmlUnit,VAVNoReheatBox,BaseAirSys13,Kitchen Thermal Zone,2000,2000,-99996,,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RstntSmlCECStd19060012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Dining CoilClg,BaseSys7 CoilClg,DirectExpansion,BaseAirSys7,n/a,54285.751,56636.9,-99996,13,10.845,1,,,
Kitchen CoilClg,BaseSys13 CoilClg,DirectExpansion,BaseAirSys13,n/a,82156.057,85714.286,-99996,-99996,11,2,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RstntSmlCECStd19060012CoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
DiningCoilHtg,BaseSys7 CoilHtg,Furnace,BaseAirSys7,n/a,50488.075,50488.075,0,0.78,0.8,,,,
KitchenCoilHtg,BaseSys13 CoilHtg,Furnace,BaseAirSys13,n/a,85692,85692,0,0.78,0.8,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RstntSmlCECStd19060012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
Dining Fan,BaseSys7 Fan,ConstantVolume,BaseAirSys7,n/a,1354.963,-99996,0.65,BrakeHorsePower,3.877,1.274,1.5,InAirStream,0.865
Kitchen Fan,BaseSys13 Fan,VariableSpeedDrive,BaseAirSys13,n/a,2000,2000,0.65,BrakeHorsePower,3.877,1.88,2,InAirStream,0.865
ENDTABLE,,,,,,,,,,,,,
TABLE RstntSmlCECStd19060012OACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
DiningOAControl,BaseSys7 OACtrl,DifferentialDryBulb,BaseAirSys7,Integrated,,,,,,,,,
Kitchen OAControl,BaseSys13 OACtrl,DifferentialDryBulb,BaseAirSys13,Integrated,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
