;,,,,,,,,,,,,,
TABLE HotSmlCECStd19070012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
BaseVAVTrmlUnit,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys5,CorridorFlr1 Thermal Zone,1103.677,243.005,551.838,DualMaximum,,,,,
BaseVAVTrmlUnit-5,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys5,EmployeeLoungeFlr1 Thermal Zone,175.382,52.65,87.691,DualMaximum,,,,,
BaseVAVTrmlUnit-6,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys5,ExerciseCenterFlr1 Thermal Zone,185.385,52.65,92.692,DualMaximum,,,,,
BaseVAVTrmlUnit-7,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys5,FrontLoungeFlr1 Thermal Zone,2269.082,453.816,1134.541,DualMaximum,,,,,
BaseVAVTrmlUnit-8,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys5,FrontOfficeFlr1 Thermal Zone,923.326,210.6,461.663,DualMaximum,,,,,
BaseVAVTrmlUnit-9,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys5,LaundryRoomFlr1 Thermal Zone,909.621,181.924,454.81,DualMaximum,,,,,
BaseVAVTrmlUnit-10,BaseVAVBox TrmlUnit-7,VAVReheatBox,BaseAirSys5,MechanicalRoomFlr1 Thermal Zone,425.32,85.064,212.66,DualMaximum,,,,,
BaseVAVTrmlUnit-11,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys5,MeetingRoomFlr1 Thermal Zone,1088.941,217.788,544.471,DualMaximum,,,,,
BaseVAVTrmlUnit-12,BaseVAVBox TrmlUnit-9,VAVReheatBox,BaseAirSys5,FrontStairsFlr1 Thermal Zone,177.065,35.413,88.532,DualMaximum,,,,,
BaseVAVTrmlUnit-16,BaseVAVBox TrmlUnit-10,VAVReheatBox,BaseAirSys5,FrontStorageFlr1 Thermal Zone,128.993,25.799,64.496,DualMaximum,,,,,
BaseVAVTrmlUnit-20,BaseVAVBox TrmlUnit-11,VAVReheatBox,BaseAirSys5,RearStairsFlr1 Thermal Zone,165.612,33.122,82.806,DualMaximum,,,,,
BaseVAVTrmlUnit-24,BaseVAVBox TrmlUnit-12,VAVReheatBox,BaseAirSys5,RearStorageFlr1 Thermal Zone,163.819,32.764,81.909,DualMaximum,,,,,
BaseVAVTrmlUnit-28,BaseVAVBox TrmlUnit-13,VAVReheatBox,BaseAirSys5,RestroomFlr1 Thermal Zone,270.421,54.084,135.21,DualMaximum,,,,,
BaseVAVTrmlUnit-2,BaseVAVBox TrmlUnit-14,VAVReheatBox,BaseAirSys5-2,CorridorFlr2 Thermal Zone,287.122,202.502,202.502,DualMaximum,,,,,
BaseVAVTrmlUnit-13,BaseVAVBox TrmlUnit-15,VAVReheatBox,BaseAirSys5-2,FrontStairsFlr2 Thermal Zone,98.857,32.4,49.428,DualMaximum,,,,,
BaseVAVTrmlUnit-17,BaseVAVBox TrmlUnit-16,VAVReheatBox,BaseAirSys5-2,FrontStorageFlr2 Thermal Zone,37.703,20.25,20.25,DualMaximum,,,,,
BaseVAVTrmlUnit-21,BaseVAVBox TrmlUnit-17,VAVReheatBox,BaseAirSys5-2,RearStairsFlr2 Thermal Zone,87.164,32.408,43.582,DualMaximum,,,,,
BaseVAVTrmlUnit-25,BaseVAVBox TrmlUnit-18,VAVReheatBox,BaseAirSys5-2,RearStorageFlr2 Thermal Zone,89.554,32.41,44.777,DualMaximum,,,,,
BaseVAVTrmlUnit-3,BaseVAVBox TrmlUnit-19,VAVReheatBox,BaseAirSys5-3,CorridorFlr3 Thermal Zone,283.934,202.502,202.502,DualMaximum,,,,,
BaseVAVTrmlUnit-14,BaseVAVBox TrmlUnit-20,VAVReheatBox,BaseAirSys5-3,FrontStairsFlr3 Thermal Zone,100.556,32.4,50.278,DualMaximum,,,,,
BaseVAVTrmlUnit-18,BaseVAVBox TrmlUnit-21,VAVReheatBox,BaseAirSys5-3,FrontStorageFlr3 Thermal Zone,38.502,20.25,20.25,DualMaximum,,,,,
BaseVAVTrmlUnit-22,BaseVAVBox TrmlUnit-22,VAVReheatBox,BaseAirSys5-3,RearStairsFlr3 Thermal Zone,87.145,32.408,43.572,DualMaximum,,,,,
BaseVAVTrmlUnit-26,BaseVAVBox TrmlUnit-23,VAVReheatBox,BaseAirSys5-3,RearStorageFlr3 Thermal Zone,89.676,32.41,44.838,DualMaximum,,,,,
BaseVAVTrmlUnit-4,BaseVAVBox TrmlUnit-24,VAVReheatBox,BaseAirSys5-4,CorridorFlr4 Thermal Zone,417.536,202.502,208.768,DualMaximum,,,,,
BaseVAVTrmlUnit-15,BaseVAVBox TrmlUnit-25,VAVReheatBox,BaseAirSys5-4,FrontStairsFlr4 Thermal Zone,125.453,32.4,62.727,DualMaximum,,,,,
BaseVAVTrmlUnit-19,BaseVAVBox TrmlUnit-26,VAVReheatBox,BaseAirSys5-4,FrontStorageFlr4 Thermal Zone,53.725,20.25,26.863,DualMaximum,,,,,
BaseVAVTrmlUnit-23,BaseVAVBox TrmlUnit-27,VAVReheatBox,BaseAirSys5-4,RearStairsFlr4 Thermal Zone,112.548,32.408,56.274,DualMaximum,,,,,
BaseVAVTrmlUnit-27,BaseVAVBox TrmlUnit-28,VAVReheatBox,BaseAirSys5-4,RearStorageFlr4 Thermal Zone,116.853,32.41,58.426,DualMaximum,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE HotSmlCECStd19070012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
BaseSys5 CoilClg,BaseSys5 CoilClg,DirectExpansion,BaseAirSys5,UNDEFINED,372838.647,388986.514,-99996,-99996,9.8,2,,,
BaseSys5 CoilClg-2,BaseSys5 CoilClg-2,DirectExpansion,BaseAirSys5-2,UNDEFINED,27344.247,28528.543,-99996,13,10.845,2,,,
BaseSys5 CoilClg-3,BaseSys5 CoilClg-3,DirectExpansion,BaseAirSys5-3,UNDEFINED,27523.758,28715.829,-99996,13,10.845,2,,,
BaseSys5 CoilClg-4,BaseSys5 CoilClg-4,DirectExpansion,BaseAirSys5-4,UNDEFINED,37097.786,38704.513,-99996,13,10.845,2,,,
GuestRoom101_SZAC CoilClg,BaseSys1 CoilClg,DirectExpansion,BaseZnSys1,GuestRoom101 Thermal Zone,5535.899,5775.662,-99996,14,12.2,-99996,,,
GuestRoom102_SZAC CoilClg,BaseSys1 CoilClg-2,DirectExpansion,BaseZnSys1-2,GuestRoom102 Thermal Zone,5572.094,5813.425,-99996,14,12.2,-99996,,,
GuestRoom103_SZAC CoilClg,BaseSys1 CoilClg-3,DirectExpansion,BaseZnSys1-3,GuestRoom103 Thermal Zone,5609.475,5852.424,-99996,14,12.2,-99996,,,
GuestRoom104_SZAC CoilClg,BaseSys1 CoilClg-4,DirectExpansion,BaseZnSys1-4,GuestRoom104 Thermal Zone,5605.507,5848.285,-99996,14,12.2,-99996,,,
GuestRoom105_SZAC CoilClg,BaseSys1 CoilClg-5,DirectExpansion,BaseZnSys1-5,GuestRoom105 Thermal Zone,5548.304,5788.605,-99996,14,12.2,-99996,,,
GuestRoom201_SZAC CoilClg,BaseSys1 CoilClg-6,DirectExpansion,BaseZnSys1-6,GuestRoom201 Thermal Zone,6232.085,6502.001,-99996,14,12.2,-99996,,,
GuestRoom202_205_SZAC CoilClg,BaseSys1 CoilClg-7,DirectExpansion,BaseZnSys1-7,GuestRoom202_205 Thermal Zone,4801.036,5008.971,-99996,14,12.2,-99996,,,
GuestRoom206_208_SZAC CoilClg,BaseSys1 CoilClg-8,DirectExpansion,BaseZnSys1-8,GuestRoom206_208 Thermal Zone,4909.744,5122.388,-99996,14,12.2,-99996,,,
GuestRoom209_212_SZAC CoilClg,BaseSys1 CoilClg-9,DirectExpansion,BaseZnSys1-9,GuestRoom209_212 Thermal Zone,4424.388,4616.011,-99996,14,12.2,-99996,,,
GuestRoom213_SZAC CoilClg,BaseSys1 CoilClg-10,DirectExpansion,BaseZnSys1-10,GuestRoom213 Thermal Zone,4679.578,4882.254,-99996,14,12.2,-99996,,,
GuestRoom214_SZAC CoilClg,BaseSys1 CoilClg-11,DirectExpansion,BaseZnSys1-11,GuestRoom214 Thermal Zone,4678.237,4880.854,-99996,14,12.2,-99996,,,
GuestRoom215_218_SZAC CoilClg,BaseSys1 CoilClg-12,DirectExpansion,BaseZnSys1-12,GuestRoom215_218 Thermal Zone,4192.809,4374.403,-99996,14,12.2,-99996,,,
GuestRoom219_SZAC CoilClg,BaseSys1 CoilClg-13,DirectExpansion,BaseZnSys1-13,GuestRoom219 Thermal Zone,4597.472,4796.591,-99996,14,12.2,-99996,,,
GuestRoom220_223_SZAC CoilClg,BaseSys1 CoilClg-14,DirectExpansion,BaseZnSys1-14,GuestRoom220_223 Thermal Zone,4184.12,4365.336,-99996,14,12.2,-99996,,,
GuestRoom224_SZAC CoilClg,BaseSys1 CoilClg-15,DirectExpansion,BaseZnSys1-15,GuestRoom224 Thermal Zone,4579.394,4777.73,-99996,14,12.2,-99996,,,
GuestRoom301_SZAC CoilClg,BaseSys1 CoilClg-16,DirectExpansion,BaseZnSys1-16,GuestRoom301 Thermal Zone,5868.475,6122.642,-99996,14,12.2,-99996,,,
GuestRoom302_305_SZAC CoilClg,BaseSys1 CoilClg-17,DirectExpansion,BaseZnSys1-17,GuestRoom302_305 Thermal Zone,4459.453,4652.594,-99996,14,12.2,-99996,,,
GuestRoom306_308_SZAC CoilClg,BaseSys1 CoilClg-18,DirectExpansion,BaseZnSys1-18,GuestRoom306_308 Thermal Zone,4798.08,5005.887,-99996,14,12.2,-99996,,,
GuestRoom309_312_SZAC CoilClg,BaseSys1 CoilClg-19,DirectExpansion,BaseZnSys1-19,GuestRoom309_312 Thermal Zone,4399.357,4589.896,-99996,14,12.2,-99996,,,
GuestRoom313_SZAC CoilClg,BaseSys1 CoilClg-20,DirectExpansion,BaseZnSys1-20,GuestRoom313 Thermal Zone,4737.095,4942.262,-99996,14,12.2,-99996,,,
GuestRoom314_SZAC CoilClg,BaseSys1 CoilClg-21,DirectExpansion,BaseZnSys1-21,GuestRoom314 Thermal Zone,4735.793,4940.903,-99996,14,12.2,-99996,,,
