;,,,,,,,,,,,,,
TABLE WhseCECStd19080012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
Office_TU,BaseVAVNoReheatTrmlUnit,VAVNoReheatBox,BaseAirSys7,Zn_Office,2597.774,1298.887,-99996,,,,,,
FineStorage_TU,BaseUnctrl TrmlUnit,Uncontrolled,BaseAirSys9,Zn_FineStorage,6128.588,-99996,-99996,,,,,,
BulkStorage_TU,BaseUnctrl TrmlUnit-2,Uncontrolled,BaseAirSys9-2,Zn_BulkStorage,27419.457,-99996,-99996,,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE WhseCECStd19080012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Office_CoilClg,BaseSys7 CoilClg,DirectExpansion,BaseAirSys7,n/a,73032.821,76195.917,-99996,-99996,11,2,,,
ENDTABLE,,,,,,,,,,,,,
TABLE WhseCECStd19080012CoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Office_CoilHtg,BaseSys7 CoilHtg,Furnace,BaseAirSys7,n/a,59421.738,59421.738,0,0.78,0.8,,,,
FineStorage_CoilHtg,BaseSys9 CoilHtg,Furnace,BaseAirSys9,n/a,356858.45,356858.45,0,-99996,0.8,,,,
BulkStorage_CoilHtg,BaseSys9 CoilHtg-2,Furnace,BaseAirSys9-2,n/a,1478433.8,1478433.8,0,-99996,0.8,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE WhseCECStd19080012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
Office_SupplyFan,BaseSys7 Fan,VariableSpeedDrive,BaseAirSys7,n/a,2597.774,1298.887,0.65,BrakeHorsePower,3.877,2.442,3,InAirStream,0.895
FineStorage_SupplyFan,BaseSys9 Fan,ConstantVolume,BaseAirSys9,n/a,6128.588,-99996,0.65,BrakeHorsePower,2.624,3.899,5,InAirStream,0.895
BulkStorage_SupplyFan,BaseSys9 Fan-2,ConstantVolume,BaseAirSys9-2,n/a,27419.457,-99996,0.65,BrakeHorsePower,2.727,18.126,20,InAirStream,0.93
ENDTABLE,,,,,,,,,,,,,
TABLE WhseCECStd19080012OACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
Office_OACtrl,BaseSys7 OACtrl,DifferentialDryBulb,BaseAirSys7,Integrated,,,,,,,,,
FineStorage_OACtrl,BaseSys9 OACtrl,NoEconomizer,BaseAirSys9,UNDEFINED,,,,,,,,,
BulkStorage_OACtrl,BaseSys9 OACtrl-2,NoEconomizer,BaseAirSys9-2,UNDEFINED,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
