;,,,,,,,,,,,,,
TABLE RetlLrgCECStd19090012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
Back_Office_TU,BaseVAVNoReheatTrmlUnit,VAVNoReheatBox,BaseAirSys7,Back_Office Zone,3576.547,1788.274,-99996,,,,,,
Back_Shelving/Refrig_TU,BaseVAVNoReheatTrmlUnit-2,VAVNoReheatBox,BaseAirSys7-2,Back_Shelving/Refrig Zone,12715.573,6357.787,-99996,,,,,,
Back_Storage_TU,BaseVAVNoReheatTrmlUnit-3,VAVNoReheatBox,BaseAirSys7-3,Back_Storage Zone,9961.004,4980.502,-99996,,,,,,
Main_Entry_TU,BaseVAVNoReheatTrmlUnit-4,VAVNoReheatBox,BaseAirSys7-4,Main_Entry Zone,9723.214,4861.607,-99996,,,,,,
Registers/Aisle_TU,BaseVAVNoReheatTrmlUnit-5,VAVNoReheatBox,BaseAirSys7-5,Registers/Aisle Zone,16348.885,8174.443,-99996,,,,,,
Side_Entry_1_TU,BaseVAVNoReheatTrmlUnit-6,VAVNoReheatBox,BaseAirSys7-6,Side_Entry_1 Zone,9705.94,4852.97,-99996,,,,,,
Side_Entry_2_TU,BaseVAVNoReheatTrmlUnit-7,VAVNoReheatBox,BaseAirSys7-7,Side_Entry_2 Zone,10052.357,5026.178,-99996,,,,,,
Side_Shelving_East_TU,BaseVAVNoReheatTrmlUnit-8,VAVNoReheatBox,BaseAirSys7-8,Side_Shelving_East Zone,16162.042,8081.021,-99996,,,,,,
Side_Shelving_West_TU,BaseVAVNoReheatTrmlUnit-9,VAVNoReheatBox,BaseAirSys7-9,Side_Shelving_West Zone,16067.644,8033.822,-99996,,,,,,
Side_Storage_1_TU,BaseVAVNoReheatTrmlUnit-10,VAVNoReheatBox,BaseAirSys7-10,Side_Storage_1 Zone,9162.616,4581.308,-99996,,,,,,
Side_Storage_2_TU,BaseVAVNoReheatTrmlUnit-11,VAVNoReheatBox,BaseAirSys7-11,Side_Storage_2 Zone,4759.421,2379.711,-99996,,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RetlLrgCECStd19090012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Back_Office_CoilClg,BaseSys7 CoilClg,DirectExpansion,BaseAirSys7,n/a,100549.683,104904.55,-99996,-99996,11,2,,,
Back_Shelving/Refrig_CoilClg,BaseSys7 CoilClg-2,DirectExpansion,BaseAirSys7-2,n/a,356458.504,371896.938,-99996,-99996,9.8,2,,,
Back_Storage_CoilClg,BaseSys7 CoilClg-3,DirectExpansion,BaseAirSys7-3,n/a,279427.71,291529.893,-99996,-99996,9.8,2,,,
Main_Entry_CoilClg,BaseSys7 CoilClg-4,DirectExpansion,BaseAirSys7-4,n/a,288315.873,300803.008,-99996,-99996,9.8,2,,,
Registers/Aisle_CoilClg,BaseSys7 CoilClg-5,DirectExpansion,BaseAirSys7-5,n/a,458050.267,477888.701,-99996,-99996,9.8,2,,,
Side_Entry_1_CoilClg,BaseSys7 CoilClg-6,DirectExpansion,BaseAirSys7-6,n/a,287947.875,300419.071,-99996,-99996,9.8,2,,,
Side_Entry_2_CoilClg,BaseSys7 CoilClg-7,DirectExpansion,BaseAirSys7-7,n/a,297444.288,310326.78,-99996,-99996,9.8,2,,,
Side_Shelving_East_CoilClg,BaseSys7 CoilClg-8,DirectExpansion,BaseAirSys7-8,n/a,452815.458,472427.17,-99996,-99996,9.8,2,,,
